,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,20.33,0.1303,0.71,18.1952,3.3632
0,20240103,20.21,0.1203,0.68,18.0878,3.3434
0,20240104,20.27,0.1099,0.73,18.1415,3.3533
0,20240105,20.05,0.1265,0.89,17.9446,3.3169
0,20240108,19.89,0.1276,0.98,17.8014,3.2905
0,20240109,20.18,0.182,1.48,18.061,3.3384
0,20240110,20.65,0.7249,5.44,18.4816,3.4162
0,20240111,20.48,0.562,2.21,18.3295,3.3881
0,20240112,20.85,0.8306,2.41,18.6606,3.4493
0,20240115,20.58,0.4893,1.01,18.419,3.4046
0,20240116,20.4,0.4887,0.88,18.2579,3.3748
0,20240117,21.06,0.822,1.33,18.8486,3.484
0,20240118,20.55,0.6219,0.97,18.3921,3.3996
0,20240119,21.4,1.0508,1.62,19.1529,3.5403
0,20240122,20.57,0.905,1.3,18.41,3.403
0,20240123,19.78,0.6678,0.86,17.703,3.2723
0,20240124,20.93,0.9382,1.15,18.7322,3.4625
0,20240125,20.95,0.5217,0.62,18.7501,3.4658
0,20240126,20.53,0.3769,0.46,18.3742,3.3963
0,20240129,19.67,0.453,0.66,17.6045,3.2541
0,20240130,18.96,0.3636,0.61,16.9691,3.1366
0,20240131,17.7,0.475,0.9,15.8414,2.9282
0,20240201,17.34,0.2939,0.67,15.5192,2.8686
0,20240202,17.0,0.4214,1.07,15.2149,2.8124
0,20240205,15.98,0.3702,0.92,14.302,2.6436
0,20240206,17.15,0.389,1.01,15.3492,2.8372
0,20240207,17.4,0.4148,1.06,15.5729,2.8785
0,20240208,17.98,0.3241,0.86,16.092,2.9745
0,20240219,18.16,0.2462,0.64,16.2531,3.0043
0,20240220,18.23,0.183,0.52,16.3158,3.0158
0,20240221,18.52,0.3244,1.04,16.5753,3.0638
0,20240222,18.48,0.1372,0.46,16.5395,3.0572
0,20240223,18.58,0.181,0.74,16.629,3.0737
0,20240226,18.9,0.2231,1.04,16.9154,3.1267
0,20240227,20.0,0.4739,2.26,17.8999,3.3087
0,20240228,19.02,0.3464,1.29,17.0228,3.1465
0,20240229,19.61,0.1961,0.72,17.5508,3.2441
0,20240301,19.83,0.3073,1.08,17.7477,3.2805
0,20240304,19.75,0.2051,0.66,17.6761,3.2673
0,20240305,19.35,0.1487,0.49,17.3182,3.2011
0,20240306,19.26,0.114,0.47,17.2376,3.1862
0,20240307,18.89,0.1273,0.66,16.9065,3.125
0,20240308,18.94,0.0977,0.54,16.9512,3.1333
0,20240311,19.67,0.3199,2.31,17.6045,3.2541
0,20240312,19.82,0.1985,1.23,17.7388,3.2789
0,20240313,20.04,0.1887,1.1,17.9357,3.3153
0,20240314,20.14,0.1792,0.96,18.0252,3.3318
0,20240315,20.43,0.1946,0.99,18.2847,3.3798
0,20240318,20.74,0.2047,0.95,18.5622,3.4311
0,20240319,20.99,0.331,1.71,18.7859,3.4724
0,20240320,20.83,0.1722,0.78,18.6427,3.446
0,20240321,20.82,0.1872,0.87,18.6338,3.4443
0,20240322,20.85,0.1674,0.77,18.6606,3.4493
0,20240325,21.4,0.3173,1.49,19.1529,3.5403
0,20240326,20.8,0.2352,1.0,18.6159,3.441
0,20240327,20.99,0.2752,1.27,18.7859,3.4724
0,20240328,20.64,0.1374,0.58,18.4727,3.4145
0,20240329,20.6,0.1097,0.48,18.4369,3.4079
0,20240401,21.42,0.1985,0.92,19.1708,3.5436
0,20240402,21.64,0.1544,0.81,19.3677,3.58
0,20240403,21.77,0.1541,0.88,19.484,3.6015
