,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.81,0.3775,1.11,19.0268,0.9479
0,20240103,5.82,0.2976,0.8,19.0595,0.9495
0,20240104,5.77,0.3628,0.97,18.8958,0.9413
0,20240105,5.72,0.3351,0.89,18.7321,0.9332
0,20240108,5.63,0.354,1.03,18.4373,0.9185
0,20240109,5.55,0.5073,1.47,18.1753,0.9055
0,20240110,5.53,0.2929,0.79,18.1098,0.9022
0,20240111,5.57,0.4026,1.09,18.2408,0.9087
0,20240112,5.48,0.4365,1.15,17.9461,0.894
0,20240115,5.4,0.6152,1.54,17.6841,0.881
0,20240116,5.46,0.592,1.31,17.8806,0.8908
0,20240117,5.4,0.4929,1.05,17.6841,0.881
0,20240118,5.5,0.7999,1.58,18.0116,0.8973
0,20240119,5.46,0.4823,0.82,17.8806,0.8908
0,20240122,5.3,0.7962,1.33,17.3566,0.8647
0,20240123,5.4,0.6246,0.99,17.6841,0.881
0,20240124,5.59,0.9134,1.43,18.3063,0.912
0,20240125,5.65,0.8897,1.23,18.5028,0.9218
0,20240126,5.63,0.692,0.93,18.4373,0.9185
0,20240129,5.6,0.6173,0.79,18.3391,0.9136
0,20240130,5.53,0.6049,0.81,18.1098,0.9022
0,20240131,5.45,0.6254,0.84,17.8478,0.8891
0,20240201,5.43,0.554,0.81,17.7824,0.8859
0,20240202,5.29,0.7797,1.26,17.3239,0.863
0,20240205,5.2,0.8208,1.29,17.0291,0.8483
0,20240206,5.47,0.7552,1.12,17.9133,0.8924
0,20240207,5.58,0.9771,1.38,18.2736,0.9103
0,20240208,5.64,0.89,1.14,18.4701,0.9201
0,20240219,5.6,0.6489,0.77,18.3391,0.9136
0,20240220,5.64,0.6348,0.78,18.4701,0.9201
0,20240221,5.7,0.9052,1.16,18.6666,0.9299
0,20240222,5.75,0.5864,0.72,18.8303,0.9381
0,20240223,5.77,0.5064,0.69,18.8958,0.9413
0,20240226,5.71,0.4949,0.75,18.6993,0.9316
0,20240227,5.78,0.5861,0.94,18.9285,0.943
0,20240228,5.71,1.1703,1.9,18.6993,0.9316
0,20240229,5.81,0.7109,1.06,19.0268,0.9479
0,20240301,5.85,0.5964,0.86,19.1578,0.9544
0,20240304,5.82,0.4782,0.67,19.0595,0.9495
0,20240305,5.79,0.4984,0.7,18.9613,0.9446
0,20240306,5.77,0.4449,0.64,18.8958,0.9413
0,20240307,5.76,0.5971,1.09,18.863,0.9397
0,20240308,5.73,0.4188,0.8,18.7648,0.9348
0,20240311,5.8,0.5219,1.07,18.994,0.9462
0,20240312,5.8,0.577,1.16,18.994,0.9462
0,20240313,5.75,0.3504,0.68,18.8303,0.9381
0,20240314,5.69,0.4145,0.84,18.6338,0.9283
0,20240315,5.73,0.3387,0.74,18.7648,0.9348
0,20240318,5.84,0.6935,1.57,19.125,0.9528
0,20240319,5.75,0.3991,0.84,18.8303,0.9381
0,20240320,5.75,0.3765,0.86,18.8303,0.9381
0,20240321,5.75,0.4967,1.12,18.8303,0.9381
0,20240322,5.65,0.5383,1.17,18.5028,0.9218
0,20240325,5.51,0.5662,1.13,18.0443,0.8989
0,20240326,5.52,0.4346,0.91,18.0771,0.9006
0,20240327,5.41,0.4274,0.89,17.7169,0.8826
0,20240328,5.43,0.4066,0.83,17.7824,0.8859
0,20240329,5.44,0.3735,0.79,17.8151,0.8875
0,20240401,5.55,0.509,1.15,18.1753,0.9055
0,20240402,5.55,0.4611,1.07,18.1753,0.9055
0,20240403,5.52,0.3045,0.7,18.0771,0.9006
