,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,17.92,9.1165,6.87,24.3281,2.2986
0,20240103,18.4,12.5344,4.48,24.9797,2.3602
0,20240104,18.35,5.8486,1.15,24.9118,2.3538
0,20240105,17.4,4.8058,0.79,23.6221,2.2319
0,20240108,16.91,5.689,0.85,22.9569,2.1691
0,20240109,16.99,3.018,0.4,23.0655,2.1793
0,20240110,17.0,3.6062,0.57,23.0791,2.1806
0,20240111,17.26,3.5609,0.78,23.432,2.214
0,20240112,17.12,5.4923,1.33,23.242,2.196
0,20240115,17.0,3.6543,0.86,23.0791,2.1806
0,20240116,15.9,5.4725,1.42,21.5857,2.0395
0,20240117,15.2,3.2989,0.76,20.6354,1.9497
0,20240118,15.4,3.5656,0.83,20.9069,1.9754
0,20240119,14.72,1.7529,0.41,19.9838,1.8881
0,20240122,13.8,2.3363,0.66,18.7348,1.7701
0,20240123,13.74,1.2904,0.39,18.6533,1.7624
0,20240124,13.83,1.4705,0.6,18.7755,1.774
0,20240125,14.33,1.8591,0.89,19.4543,1.8381
0,20240126,14.14,1.3811,0.79,19.1964,1.8138
0,20240129,13.83,1.1248,0.67,18.7755,1.774
0,20240130,13.14,1.5551,1.09,17.8388,1.6855
0,20240131,12.24,2.7198,1.84,16.6169,1.57
0,20240201,11.87,2.679,1.55,16.1146,1.5226
0,20240202,11.36,2.1292,1.13,15.4222,1.4572
0,20240205,12.12,4.5533,2.23,16.454,1.5378
0,20240206,12.16,5.1317,1.88,16.5083,1.5429
0,20240207,11.82,2.8915,0.84,16.0467,1.4998
0,20240208,12.57,2.5734,0.74,17.0649,1.5949
0,20240219,12.78,2.6466,0.77,17.35,1.6216
0,20240220,12.75,1.2611,0.35,17.3093,1.6178
0,20240221,12.88,1.9003,0.66,17.4858,1.6343
0,20240222,13.1,1.5866,0.7,17.7845,1.6622
0,20240223,13.37,1.6118,0.81,18.151,1.6964
0,20240226,13.67,2.5323,1.41,18.5583,1.7345
0,20240227,14.1,1.7892,1.01,19.142,1.7891
0,20240228,13.14,2.4752,1.31,17.8388,1.6672
0,20240229,13.5,1.5806,0.79,18.3275,1.7129
0,20240301,13.51,1.2717,0.64,18.3411,1.7142
0,20240304,13.4,1.404,0.73,18.1917,1.7002
0,20240305,13.15,1.0066,0.59,17.8523,1.6685
0,20240306,13.13,1.0342,0.67,17.8252,1.666
0,20240307,12.95,1.1362,0.9,17.5808,1.6431
0,20240308,13.17,1.3004,1.11,17.8795,1.671
0,20240311,13.55,1.5455,1.31,18.3954,1.7193
0,20240312,13.65,1.0476,0.87,18.5311,1.732
0,20240313,13.96,1.9084,1.57,18.952,1.7713
0,20240314,13.84,1.1651,0.84,18.7891,1.7561
0,20240315,13.82,0.8732,0.63,18.7619,1.7535
0,20240318,14.2,1.5605,1.19,19.2778,1.8017
0,20240319,14.46,2.1135,1.61,19.6308,1.8347
0,20240320,14.64,1.4762,0.97,19.8751,1.8576
0,20240321,14.57,1.6807,1.17,16.1763,1.8487
0,20240322,14.11,1.5523,1.01,15.6656,1.7903
0,20240325,13.83,1.202,0.72,15.3547,1.7548
0,20240326,13.9,0.8648,0.54,15.4324,1.7637
0,20240327,13.57,0.7359,0.54,15.0661,1.7218
0,20240328,13.54,1.0509,0.87,15.0328,1.718
0,20240329,13.89,1.0733,0.99,15.4213,1.7624
0,20240401,14.04,1.3693,1.39,15.5879,1.7814
0,20240402,14.61,2.2577,2.22,16.2207,1.8537
0,20240403,14.91,2.968,2.29,16.5538,1.8918
