,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,7.49,1.0671,0.97,35.231,4.4101
0,20240103,7.48,0.7909,0.72,35.184,4.4042
0,20240104,7.37,0.9261,0.85,34.6666,4.3394
0,20240105,7.25,0.8572,0.8,34.1021,4.2687
0,20240108,7.14,0.701,0.73,33.5847,4.204
0,20240109,7.19,0.5599,0.64,33.8199,4.2334
0,20240110,7.11,0.5255,0.69,33.4436,4.1863
0,20240111,7.2,0.6403,0.9,33.8669,4.2393
0,20240112,7.17,0.553,0.84,33.7258,4.2216
0,20240115,7.23,0.7049,1.18,34.008,4.257
0,20240116,7.09,1.0529,1.76,33.3495,4.1745
0,20240117,6.81,1.1805,1.7,32.0325,4.0097
0,20240118,6.62,1.6515,2.0,31.1388,3.8978
0,20240119,6.5,0.6928,0.68,30.5743,3.8271
0,20240122,6.11,1.1704,1.12,28.7398,3.5975
0,20240123,6.26,1.1036,0.97,29.4454,3.6858
0,20240124,6.36,1.0115,0.88,29.9158,3.7447
0,20240125,6.62,1.6049,1.43,31.1388,3.8978
0,20240126,6.69,1.4962,1.34,31.468,3.939
0,20240129,6.57,1.0293,0.81,30.9036,3.8684
0,20240130,6.75,2.8815,2.31,31.7502,3.9743
0,20240131,6.35,2.2131,1.38,29.8687,3.7388
0,20240201,6.28,1.158,0.63,29.5395,3.6976
0,20240202,6.15,1.4051,0.8,28.928,3.6211
0,20240205,6.19,2.815,1.62,29.1161,3.6446
0,20240206,6.37,2.424,1.16,29.9628,3.7506
0,20240207,6.56,2.6968,1.35,30.8565,3.8625
0,20240208,6.73,2.5382,1.21,31.6562,3.9626
0,20240219,6.72,2.0425,0.86,31.6091,3.9567
0,20240220,6.69,1.2835,0.51,31.468,3.939
0,20240221,6.74,2.3261,1.06,31.7032,3.9685
0,20240222,6.87,2.53,1.16,32.3147,4.045
0,20240223,6.88,2.0042,0.93,32.3617,4.0509
0,20240226,6.88,1.8759,0.92,32.3617,4.0509
0,20240227,7.04,2.3374,1.17,33.1143,4.1451
0,20240228,7.49,6.2928,2.84,35.231,4.4101
0,20240229,7.86,7.8032,2.59,36.9714,4.6279
0,20240301,7.7,4.8312,1.19,36.2188,4.5337
0,20240304,7.79,4.6531,1.01,36.6421,4.5867
0,20240305,7.44,4.0387,0.78,34.9958,4.3806
0,20240306,7.38,2.2628,0.41,34.7136,4.3453
0,20240307,7.28,2.2971,0.49,34.2432,4.2864
0,20240308,7.23,1.8266,0.51,34.008,4.257
0,20240311,7.38,1.8283,0.61,34.7136,4.3453
0,20240312,7.44,2.0917,0.85,34.9958,4.3806
0,20240313,7.41,2.6315,1.28,34.8547,4.3629
0,20240314,7.29,1.8064,0.85,34.2903,4.2923
0,20240315,7.37,1.4327,0.7,34.6666,4.3394
0,20240318,7.4,1.5673,0.8,34.8077,4.3571
0,20240319,7.44,2.232,1.17,34.9958,4.3806
0,20240320,7.4,1.5908,0.82,34.8077,4.3571
0,20240321,7.45,1.7805,1.03,35.0429,4.3865
0,20240322,7.18,2.0342,1.18,33.7728,4.2275
0,20240325,7.07,1.0763,0.58,33.2554,4.1628
0,20240326,7.0,1.2893,0.74,32.9262,4.1215
0,20240327,6.93,1.5486,1.0,32.5969,4.0803
0,20240328,6.94,1.2261,0.79,32.6439,4.0862
0,20240329,7.02,1.1466,0.8,33.0202,4.1333
0,20240401,7.08,1.1799,0.94,33.3025,4.1686
0,20240402,7.08,0.9104,0.71,33.3025,4.1686
0,20240403,7.14,1.2083,1.0,33.5847,4.204
