,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.7,1.2925,0.88,,0.6675
0,20240103,4.07,2.9097,2.02,,0.7342
0,20240104,4.03,6.444,3.66,,0.727
0,20240105,3.93,4.0813,1.47,,0.709
0,20240108,3.85,3.8842,1.16,,0.6946
0,20240109,3.78,3.2594,0.88,,0.6819
0,20240110,4.16,3.6141,0.88,,0.7505
0,20240111,4.07,8.7394,2.05,,0.7342
0,20240112,3.97,4.5873,0.97,,0.7162
0,20240115,4.0,3.7749,0.78,,0.7216
0,20240116,3.98,4.3975,0.92,,0.718
0,20240117,3.86,3.3128,0.66,,0.6964
0,20240118,3.77,3.9713,0.8,,0.6801
0,20240119,3.65,2.1149,0.53,,0.6585
0,20240122,3.39,2.9638,0.84,,0.6116
0,20240123,3.43,2.1385,0.64,,0.6188
0,20240124,3.58,2.4393,0.84,,0.6459
0,20240125,3.71,2.6226,0.96,,0.6693
0,20240126,3.9,3.6406,1.48,,0.7036
0,20240129,3.84,3.4353,1.24,,0.6928
0,20240130,3.68,3.8162,1.34,,0.6639
0,20240131,3.48,2.7627,0.87,,0.6278
0,20240201,3.33,2.4233,0.74,,0.6007
0,20240202,3.22,2.5073,0.78,,0.5809
0,20240205,2.9,2.945,0.99,,0.5232
0,20240206,2.75,3.7997,1.31,,0.4961
0,20240207,2.53,4.9708,1.72,,0.4564
0,20240208,2.77,3.4339,1.03,,0.4997
0,20240219,2.95,2.8106,0.8,,0.5322
0,20240220,2.93,1.9299,0.54,,0.5286
0,20240221,3.01,2.5826,0.76,,0.543
0,20240222,3.03,1.4924,0.47,,0.5466
0,20240223,3.12,1.4889,0.61,,0.5629
0,20240226,3.16,1.6378,0.79,,0.5701
0,20240227,3.24,1.6809,0.92,,0.5845
0,20240228,3.0,2.3647,1.33,,0.5412
0,20240229,3.12,1.9579,1.13,,0.5629
0,20240301,3.08,1.3745,0.75,,0.5556
0,20240304,3.04,1.1302,0.63,,0.5484
0,20240305,2.96,1.0647,0.63,,0.534
0,20240306,2.98,0.9214,0.58,,0.5376
0,20240307,2.99,0.9377,0.73,,0.5394
0,20240308,3.01,0.8457,0.78,,0.543
0,20240311,3.05,1.0948,1.12,,0.5502
0,20240312,3.14,1.8165,1.87,,0.5665
0,20240313,3.15,2.0756,1.85,,0.5683
0,20240314,3.11,1.3501,1.0,,0.5611
0,20240315,3.14,0.958,0.67,,0.5665
0,20240318,3.17,0.8393,0.58,,0.5719
0,20240319,3.16,0.8935,0.63,,0.5701
0,20240320,3.21,1.0932,0.89,,0.5791
0,20240321,3.23,1.4689,1.43,,0.5827
0,20240322,3.21,1.4871,1.42,,0.5791
0,20240325,3.15,1.2354,1.07,,0.5683
0,20240326,3.19,0.9999,0.81,,0.5755
0,20240327,3.08,0.9592,0.76,,0.5556
0,20240328,3.08,0.9178,0.75,,0.5556
0,20240329,3.12,0.7833,0.7,,0.5629
0,20240401,3.14,1.1076,1.13,383.1357,0.5726
0,20240402,3.19,1.4599,1.53,389.2366,0.5817
0,20240403,3.17,1.0675,1.02,386.7962,0.5781
