,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.95,3.5845,1.4,72.505,2.0949
0,20240103,6.88,2.4616,0.93,71.7747,2.0738
0,20240104,7.01,2.6605,1.0,73.1309,2.113
0,20240105,6.86,3.0946,1.12,71.566,2.0678
0,20240108,6.84,2.5122,0.88,71.3574,2.0617
0,20240109,6.94,2.5374,0.89,72.4006,2.0919
0,20240110,6.88,2.4441,0.92,71.7747,2.0738
0,20240111,6.99,2.4278,0.92,72.9222,2.107
0,20240112,6.87,2.7693,1.06,71.6704,2.0708
0,20240115,6.87,2.0189,0.8,71.6704,2.0708
0,20240116,6.91,2.6162,1.07,72.0877,2.0828
0,20240117,7.33,16.7292,6.81,76.4693,2.2094
0,20240118,7.01,15.4354,2.91,73.1309,2.113
0,20240119,7.39,20.1166,2.54,77.0952,2.2275
0,20240122,6.65,18.6408,1.64,69.3752,2.0045
0,20240123,5.99,8.9439,0.61,62.4899,1.8055
0,20240124,6.17,13.4378,0.84,64.3677,1.8598
0,20240125,6.74,12.1496,0.79,70.3142,2.0316
0,20240126,6.71,6.4757,0.44,70.0012,2.0226
0,20240129,6.37,5.3689,0.45,66.4542,1.9201
0,20240130,6.46,9.3327,1.01,67.3931,1.9472
0,20240131,5.97,7.3396,0.78,62.2812,1.7995
0,20240201,5.81,5.6325,0.69,60.6121,1.7513
0,20240202,5.56,5.1543,0.75,58.004,1.6759
0,20240205,5.0,3.4974,0.53,52.1618,1.5071
0,20240206,4.6,9.217,1.49,47.9889,1.3866
0,20240207,4.15,10.6781,1.73,43.2943,1.2509
0,20240208,4.46,9.0498,1.32,46.5284,1.3444
0,20240219,4.76,7.4076,0.99,49.6581,1.4348
0,20240220,4.8,3.9025,0.49,50.0754,1.4468
0,20240221,4.96,5.145,0.64,51.7445,1.4951
0,20240222,5.13,4.9156,0.68,53.518,1.5463
0,20240223,5.28,3.7017,0.61,55.0829,1.5915
0,20240226,5.47,5.0696,1.01,57.065,1.6488
0,20240227,5.54,3.4691,0.76,57.7953,1.6699
0,20240228,5.02,8.5833,1.92,52.3705,1.5132
0,20240229,5.2,6.1281,1.19,54.2483,1.5674
0,20240301,5.16,5.5629,1.03,53.831,1.5554
0,20240304,5.12,3.846,0.67,53.4137,1.5433
0,20240305,4.99,3.3106,0.6,52.0575,1.5041
0,20240306,5.09,3.4255,0.62,53.1007,1.5343
0,20240307,5.14,3.9,0.88,53.6224,1.5493
0,20240308,5.18,3.1049,0.77,54.0397,1.5614
0,20240311,5.25,2.8079,0.8,54.7699,1.5825
0,20240312,5.5,4.5779,1.38,57.378,1.6578
0,20240313,5.49,3.1199,0.88,57.2737,1.6548
0,20240314,5.52,2.4427,0.7,57.5867,1.6639
0,20240315,5.61,2.3976,0.75,58.5256,1.691
0,20240318,5.72,2.4794,0.81,59.6731,1.7241
0,20240319,5.75,2.7433,0.91,59.9861,1.7332
0,20240320,5.84,1.9781,0.75,60.925,1.7603
0,20240321,5.92,2.7961,1.16,61.7596,1.7844
0,20240322,5.83,2.4524,0.99,60.8207,1.7573
0,20240325,5.67,3.0236,1.21,59.1515,1.7091
0,20240326,5.76,2.3468,0.9,60.0904,1.7362
0,20240327,5.87,6.3977,2.54,61.238,1.7694
0,20240328,5.86,4.7311,1.39,61.1337,1.7663
0,20240329,6.09,4.8987,1.29,63.5331,1.8357
0,20240401,5.94,9.3809,2.19,5.9566,1.4661
0,20240402,5.97,6.9983,1.26,5.9867,1.4735
0,20240403,6.04,6.2524,0.96,6.0569,1.4907
