,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,13.22,1.3015,0.72,88.9925,3.0701
0,20240103,12.52,2.6633,1.5,84.2803,2.9076
0,20240104,12.41,1.3782,0.7,83.5398,2.882
0,20240105,12.19,1.7384,0.95,82.0589,2.8309
0,20240108,11.78,1.4407,0.78,79.2989,2.7357
0,20240109,11.9,1.022,0.6,80.1067,2.7636
0,20240110,11.63,0.996,0.6,78.2891,2.7009
0,20240111,11.79,1.212,0.92,79.3662,2.738
0,20240112,11.79,0.9202,0.72,79.3662,2.738
0,20240115,11.81,0.7771,0.69,79.5008,2.7427
0,20240116,11.49,1.5167,1.54,77.3467,2.6684
0,20240117,11.25,0.8964,0.83,75.7311,2.6126
0,20240118,11.27,1.7258,1.62,75.8658,2.6173
0,20240119,11.14,0.6682,0.57,74.9906,2.5871
0,20240122,10.33,1.7545,1.57,69.538,2.399
0,20240123,10.39,1.2662,0.96,69.9419,2.4129
0,20240124,10.59,1.3687,1.08,71.2882,2.4593
0,20240125,11.27,1.898,1.4,75.8658,2.6173
0,20240126,10.98,1.1228,0.81,73.9136,2.5499
0,20240129,10.59,1.483,1.0,71.2882,2.4593
0,20240130,10.28,0.9424,0.66,69.2014,2.3874
0,20240131,9.74,2.0697,1.52,65.5663,2.2619
0,20240201,9.62,1.3964,0.93,64.7585,2.2341
0,20240202,9.32,2.0248,1.44,62.739,2.1644
0,20240205,8.58,2.8588,1.81,57.7576,1.9926
0,20240206,9.39,2.5732,1.38,63.2102,2.1807
0,20240207,9.99,2.5371,1.16,67.2492,2.32
0,20240208,10.51,2.2827,1.0,70.7497,2.4408
0,20240219,10.48,1.7506,0.71,70.5477,2.4338
0,20240220,10.71,1.7756,0.74,72.096,2.4872
0,20240221,10.67,2.3433,1.07,71.8268,2.4779
0,20240222,10.69,1.6851,0.79,71.9614,2.4826
0,20240223,10.67,1.8813,0.96,71.8268,2.4779
0,20240226,10.77,1.952,1.03,72.4999,2.5011
0,20240227,11.02,1.3431,0.7,74.1828,2.5592
0,20240228,10.26,2.4114,1.31,69.0668,2.3827
0,20240229,10.74,1.7047,0.92,72.298,2.4942
0,20240301,10.73,1.716,0.92,72.2307,2.4919
0,20240304,10.74,1.2974,0.71,72.298,2.4942
0,20240305,10.72,2.0008,1.18,72.1633,2.4895
0,20240306,10.76,1.6588,0.91,72.4326,2.4988
0,20240307,10.53,1.1232,0.67,70.8843,2.4454
0,20240308,10.65,1.3609,0.87,71.6921,2.4733
0,20240311,11.0,2.4327,1.63,74.0482,2.5546
0,20240312,11.15,2.3605,1.38,75.058,2.5894
0,20240313,11.32,2.6622,1.49,76.2023,2.6289
0,20240314,11.28,1.9014,0.96,75.9331,2.6196
0,20240315,11.53,1.772,0.83,77.616,2.6776
0,20240318,11.76,1.889,0.85,79.1643,2.7311
0,20240319,11.95,2.8155,1.33,80.4433,2.7752
0,20240320,12.27,2.4241,1.1,82.5974,2.8495
0,20240321,12.8,3.5086,1.62,86.1652,2.9726
0,20240322,12.41,2.7977,1.13,83.5398,2.882
0,20240325,11.85,2.4811,0.92,79.7701,2.752
0,20240326,12.3,2.6935,0.96,82.7994,2.8565
0,20240327,11.82,2.8896,1.04,79.5682,2.745
0,20240328,12.5,3.8054,1.32,84.1457,2.9029
0,20240329,13.07,4.4863,1.53,87.9827,3.0353
0,20240401,13.05,5.3913,1.65,87.8481,3.0306
0,20240402,12.9,3.756,0.97,86.8383,2.9958
0,20240403,12.49,3.2312,0.79,84.0784,2.9006
