,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,29.7,12.5836,4.63,42.4256,2.8898
0,20240103,31.1,36.1228,8.01,44.4254,3.0261
0,20240104,30.14,17.2424,1.81,43.0541,2.9327
0,20240105,30.2,13.9032,1.11,43.1398,2.9385
0,20240108,30.15,7.9827,0.54,43.0684,2.9336
0,20240109,30.4,6.3136,0.39,43.4255,2.958
0,20240110,30.62,7.3501,0.48,43.7398,2.9794
0,20240111,31.1,14.6757,1.39,44.4254,3.0261
0,20240112,30.8,11.7521,1.17,43.9969,2.9969
0,20240115,30.84,5.6127,0.58,44.054,3.0008
0,20240116,31.85,12.9059,1.41,45.4968,3.099
0,20240117,31.31,13.7996,1.32,44.7254,3.0465
0,20240118,32.03,10.7953,0.92,45.7539,3.1166
0,20240119,32.72,16.2925,1.48,46.7395,3.1837
0,20240122,31.07,13.8074,1.16,44.3826,3.0231
0,20240123,32.82,13.0349,0.96,46.8824,3.1934
0,20240124,32.32,10.4497,0.77,46.1682,3.1448
0,20240125,31.75,15.0819,1.17,45.3539,3.0893
0,20240126,30.16,13.0549,0.95,43.0827,2.9346
0,20240129,28.42,11.012,0.84,40.5971,2.7653
0,20240130,26.76,16.5499,1.32,38.2259,2.6038
0,20240131,25.99,15.1348,1.14,37.1259,2.5289
0,20240201,25.2,7.5891,0.54,35.9974,2.452
0,20240202,25.66,9.9946,0.79,36.6545,2.4967
0,20240205,25.0,10.4009,0.86,35.7118,2.4325
0,20240206,25.0,9.7926,0.82,35.7118,2.4325
0,20240207,23.8,11.0291,1.04,33.9976,2.3158
0,20240208,25.07,9.4153,0.96,35.8117,2.4393
0,20240219,25.92,4.9085,0.48,37.0259,2.522
0,20240220,26.03,3.1833,0.35,37.1831,2.5327
0,20240221,26.64,5.2051,0.68,38.0544,2.5921
0,20240222,28.49,9.0359,1.34,40.6971,2.7721
0,20240223,29.0,6.8727,1.08,41.4256,2.8217
0,20240226,29.18,6.3116,1.08,41.6828,2.8392
0,20240227,30.3,12.7831,2.09,43.2826,2.9482
0,20240228,27.27,6.3145,0.79,38.9544,2.6534
0,20240229,27.82,2.6846,0.32,39.74,2.7069
0,20240301,27.77,2.7151,0.39,39.6686,2.7021
0,20240304,27.24,10.8829,1.77,38.9115,2.6505
0,20240305,25.29,16.8818,2.39,36.126,2.4607
0,20240306,25.15,17.4607,2.21,35.926,2.4471
0,20240307,24.4,12.6207,1.25,34.8547,2.3741
0,20240308,24.44,9.6782,0.8,34.9118,2.378
0,20240311,24.2,16.0766,1.19,34.569,2.3547
0,20240312,25.5,21.0585,1.45,36.426,2.4812
0,20240313,25.24,14.5762,0.95,36.0546,2.4559
0,20240314,24.87,9.2672,0.63,35.526,2.4199
0,20240315,25.18,8.3414,0.59,35.9689,2.45
0,20240318,25.72,11.7306,0.85,36.7402,2.5026
0,20240319,25.4,7.7756,0.6,36.2831,2.4714
0,20240320,25.43,8.2274,0.8,36.326,2.4744
0,20240321,25.0,10.4816,1.16,35.7118,2.4325
0,20240322,24.43,6.8006,0.73,34.8975,2.3771
0,20240325,24.34,7.6021,0.84,34.769,2.3683
0,20240326,24.25,6.5016,0.8,34.6404,2.3596
0,20240327,23.19,5.7956,0.73,33.1262,2.2564
0,20240328,23.45,6.8759,0.92,33.4976,2.2817
0,20240329,24.1,6.3553,0.95,34.4261,2.345
0,20240401,24.49,6.8827,1.04,34.9832,2.3829
0,20240402,24.85,12.1853,1.88,35.4975,2.4179
0,20240403,24.83,10.6937,1.4,35.4689,2.416
