,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.9,3.0143,0.65,,4.1735
0,20240103,5.82,2.648,0.62,,4.1169
0,20240104,5.78,1.9228,0.5,,4.0886
0,20240105,5.73,3.1785,1.01,,4.0532
0,20240108,5.67,5.3618,1.85,,4.0108
0,20240109,5.67,3.1203,0.97,,4.0108
0,20240110,5.53,2.7404,0.84,,3.9117
0,20240111,5.64,2.2879,0.7,,3.9895
0,20240112,5.5,2.7357,0.82,,3.8905
0,20240115,5.4,2.3019,0.71,,3.8198
0,20240116,5.31,2.4779,0.94,,3.7561
0,20240117,5.14,1.8423,0.73,,3.6359
0,20240118,5.07,2.7405,1.18,,3.5863
0,20240119,4.97,1.7192,0.71,,3.5156
0,20240122,4.59,3.0873,1.39,,3.2468
0,20240123,4.59,2.0726,0.87,,3.2468
0,20240124,4.66,1.9781,0.86,,3.2963
0,20240125,4.84,2.3394,1.01,,3.4236
0,20240126,4.85,1.6659,0.74,,3.4307
0,20240129,4.68,1.6412,0.74,,3.3105
0,20240130,4.53,1.3093,0.68,,3.2044
0,20240131,4.18,3.2904,1.84,,2.9568
0,20240201,4.1,2.036,0.99,,2.9002
0,20240202,3.93,2.5711,1.29,,2.7799
0,20240205,3.54,2.8116,1.3,,2.5041
0,20240206,3.47,3.0161,1.25,,2.4546
0,20240207,3.26,3.456,1.26,,2.306
0,20240208,3.58,3.5012,1.26,,2.5324
0,20240219,3.76,3.7119,1.21,,2.6597
0,20240220,3.79,2.0124,0.61,,2.6809
0,20240221,3.86,2.9778,0.95,,2.7304
0,20240222,4.0,2.7183,0.87,,2.8295
0,20240223,4.17,3.2755,1.1,,2.9497
0,20240226,4.24,3.1553,1.07,,2.9992
0,20240227,4.34,2.171,0.77,,3.07
0,20240228,4.05,4.2186,1.48,,2.8648
0,20240229,4.24,3.0654,0.99,,2.9992
0,20240301,4.66,4.2064,1.32,,3.2963
0,20240304,4.81,15.4511,4.59,,3.4024
0,20240305,4.65,8.3221,1.43,,3.2892
0,20240306,4.61,6.1178,0.87,,3.261
0,20240307,4.5,4.3324,0.58,,3.1831
0,20240308,4.48,2.8456,0.37,,3.169
0,20240311,4.64,3.8358,0.52,,3.2822
0,20240312,4.62,2.8826,0.57,,3.268
0,20240313,4.6,2.2771,0.57,,3.2539
0,20240314,4.55,2.2029,0.68,,3.2185
0,20240315,4.58,1.5134,0.54,,3.2397
0,20240318,4.65,2.7491,1.08,,3.2892
0,20240319,4.8,6.2483,2.69,,3.3954
0,20240320,4.98,6.7587,2.25,,3.5227
0,20240321,4.95,5.9701,1.53,,3.5015
0,20240322,5.17,8.5704,1.84,,3.6571
0,20240325,4.96,5.639,0.93,,3.5085
0,20240326,4.81,4.7303,0.71,,3.4024
0,20240327,4.48,3.3902,0.54,,3.169
0,20240328,4.62,2.6926,0.48,,3.268
0,20240329,4.66,1.963,0.39,,3.2963
0,20240401,4.76,2.2137,0.6,,3.3671
0,20240402,4.75,2.494,0.83,,3.36
0,20240403,4.64,1.9293,0.76,,3.2822
