,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,18.64,0.9583,0.96,,1.7737
0,20240103,18.49,0.7177,0.68,,1.7594
0,20240104,18.6,0.4534,0.47,,1.7699
0,20240105,18.52,0.6583,0.84,,1.7623
0,20240108,18.04,0.7436,1.01,,1.7166
0,20240109,18.25,0.633,0.9,,1.7366
0,20240110,18.34,0.6346,0.99,,1.7452
0,20240111,19.03,0.8728,1.4,,1.8108
0,20240112,18.8,0.6338,0.89,,1.7889
0,20240115,18.74,0.5339,0.76,,1.7832
0,20240116,18.43,0.6465,0.98,,1.7537
0,20240117,17.92,0.6442,0.97,,1.7052
0,20240118,18.0,0.907,1.36,,1.7128
0,20240119,17.77,0.5441,0.81,,1.6909
0,20240122,16.95,1.0828,1.65,,1.6129
0,20240123,17.11,0.7104,0.93,,1.6281
0,20240124,17.88,0.8815,1.13,,1.7014
0,20240125,19.0,1.1427,1.38,,1.808
0,20240126,18.35,0.925,1.06,,1.7461
0,20240129,18.06,1.0945,1.15,,1.7185
0,20240130,17.39,0.5871,0.62,,1.6548
0,20240131,16.95,0.8347,0.9,,1.6129
0,20240201,17.1,0.8597,0.94,,1.6272
0,20240202,16.35,0.9008,1.05,,1.5558
0,20240205,16.0,1.2543,1.47,,1.5225
0,20240206,17.26,1.1174,1.26,,1.6424
0,20240207,18.55,1.6543,1.67,,1.7651
0,20240208,18.51,1.3739,1.19,,1.7613
0,20240219,18.28,1.2367,0.98,,1.7395
0,20240220,18.12,0.863,0.65,,1.7242
0,20240221,18.35,0.8392,0.67,,1.7461
0,20240222,18.3,0.5264,0.44,,1.7414
0,20240223,18.46,0.426,0.44,,1.7566
0,20240226,18.77,0.7252,0.93,,1.7861
0,20240227,19.4,0.9981,1.48,,1.846
0,20240228,18.51,0.8912,1.27,,1.7613
0,20240229,18.71,1.0742,1.51,,1.7804
0,20240301,18.52,0.7906,0.96,,1.7623
0,20240304,18.48,0.7424,0.83,,1.7585
0,20240305,18.46,0.6547,0.73,,1.7566
0,20240306,18.24,0.5589,0.67,,1.7356
0,20240307,18.04,0.5173,0.68,,1.7166
0,20240308,17.86,0.43,0.66,,1.6995
0,20240311,18.2,0.5537,0.95,,1.7318
0,20240312,18.8,0.6923,1.28,,1.7889
0,20240313,20.68,3.4299,6.23,,1.9678
0,20240314,20.12,2.9021,2.58,,1.9145
0,20240315,19.8,1.403,0.88,,1.8841
0,20240318,20.01,1.3638,0.76,,1.9041
0,20240319,19.63,0.9037,0.46,,1.8679
0,20240320,19.87,0.9473,0.47,,1.8907
0,20240321,19.72,1.0302,0.68,,1.8765
0,20240322,19.2,1.151,1.02,,1.827
0,20240325,19.0,0.9714,0.9,,1.808
0,20240326,19.57,1.1563,1.16,,1.8622
0,20240327,19.05,0.9185,0.87,,1.8127
0,20240328,19.28,0.6915,0.66,,1.8346
0,20240329,19.21,0.5252,0.54,,1.8279
0,20240401,20.28,1.3182,1.55,,1.9298
0,20240402,20.27,0.8268,0.9,,1.9288
0,20240403,20.35,0.9983,1.17,,1.9364
