,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.07,3.3649,1.06,,4.0115
0,20240103,5.96,1.879,0.54,,3.9388
0,20240104,5.82,1.612,0.45,,3.8463
0,20240105,5.66,1.8055,0.57,,3.7405
0,20240108,5.55,1.6858,0.62,,3.6678
0,20240109,5.56,1.4331,0.69,,3.6744
0,20240110,5.56,1.2279,0.73,,3.6744
0,20240111,5.66,1.418,0.91,,3.7405
0,20240112,5.55,1.2687,0.84,,3.6678
0,20240115,5.54,1.0054,0.71,,3.6612
0,20240116,5.38,3.1056,2.44,,3.5555
0,20240117,5.24,1.4724,0.92,,3.463
0,20240118,5.19,2.1249,1.28,,3.4299
0,20240119,5.08,1.1727,0.65,,3.3572
0,20240122,4.86,1.979,1.11,,3.2118
0,20240123,4.85,1.782,0.9,,3.2052
0,20240124,4.88,1.9583,1.15,,3.2251
0,20240125,4.99,2.4023,1.33,,3.2977
0,20240126,4.95,1.8312,0.99,,3.2713
0,20240129,4.78,1.4487,0.73,,3.159
0,20240130,4.66,1.2917,0.69,,3.0797
0,20240131,4.39,2.086,1.17,,2.9012
0,20240201,4.33,1.7587,0.97,,2.8616
0,20240202,4.12,2.3707,1.41,,2.7228
0,20240205,3.71,3.371,1.88,,2.4518
0,20240206,3.95,2.9594,1.36,,2.6104
0,20240207,4.06,3.3712,1.35,,2.6831
0,20240208,4.17,2.8852,1.04,,2.7558
0,20240219,4.35,2.9707,0.99,,2.8748
0,20240220,4.44,3.0848,0.99,,2.9343
0,20240221,4.65,3.9603,1.3,,3.0731
0,20240222,4.78,2.8651,0.88,,3.159
0,20240223,4.93,3.2953,1.05,,3.2581
0,20240226,5.42,5.8193,1.8,,3.5819
0,20240227,5.74,7.2183,1.9,,3.7934
0,20240228,5.53,7.9837,1.72,,3.6546
0,20240229,5.95,7.7965,1.43,,3.9322
0,20240301,6.38,7.803,1.21,,4.2164
0,20240304,6.07,6.3046,0.86,,4.0115
0,20240305,6.12,7.7154,1.04,,4.0445
0,20240306,6.05,4.6201,0.61,,3.9983
0,20240307,6.06,4.6616,0.68,,4.0049
0,20240308,6.11,2.691,0.43,,4.0379
0,20240311,6.72,8.5891,1.65,,4.4411
0,20240312,7.03,11.4319,2.02,,4.6459
0,20240313,7.73,12.1712,1.9,,5.1085
0,20240314,7.42,15.5266,1.96,,4.9037
0,20240315,8.07,14.2674,1.42,,5.3332
0,20240318,8.4,13.5329,1.09,,5.5513
0,20240319,8.18,8.7452,0.65,,5.4059
0,20240320,8.17,10.4214,0.81,,5.3993
0,20240321,8.17,8.5491,0.68,,5.3993
0,20240322,8.01,6.1373,0.55,,5.2936
0,20240325,8.12,8.6744,0.92,,5.3663
0,20240326,8.05,6.9746,0.82,,5.32
0,20240327,7.29,10.0898,1.24,,4.8178
0,20240328,7.57,7.0196,0.87,,5.0028
0,20240329,7.54,5.9556,0.77,,4.983
0,20240401,8.18,11.9326,1.54,,5.4059
0,20240402,7.79,8.507,1.01,,5.1482
0,20240403,7.38,6.4556,0.74,,4.8772
