,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,15.89,0.8966,0.96,47.4835,4.7005
0,20240103,15.75,0.7948,0.82,47.0651,4.6591
0,20240104,15.44,0.8913,0.87,46.1387,4.5674
0,20240105,15.2,0.8092,0.75,45.4216,4.4964
0,20240108,14.73,1.1803,1.32,44.0171,4.3574
0,20240109,14.9,0.865,0.95,44.5251,4.4077
0,20240110,15.39,1.2667,1.39,45.9893,4.5526
0,20240111,15.42,0.7809,0.78,46.079,4.5615
0,20240112,15.5,0.786,0.8,46.318,4.5852
0,20240115,15.39,0.4796,0.49,45.9893,4.5526
0,20240116,15.56,0.5809,0.7,46.4973,4.6029
0,20240117,15.02,0.7603,0.98,44.8837,4.4432
0,20240118,15.23,1.0388,1.53,45.5112,4.5053
0,20240119,15.16,0.5203,0.71,45.302,4.4846
0,20240122,14.28,1.2704,1.88,42.6724,4.2243
0,20240123,14.38,0.9854,1.18,42.9712,4.2539
0,20240124,14.62,1.0528,1.15,43.6884,4.3249
0,20240125,14.89,1.1888,1.22,44.4952,4.4047
0,20240126,15.04,1.4025,1.4,44.9434,4.4491
0,20240129,14.77,1.1575,0.98,44.1366,4.3692
0,20240130,14.15,0.9595,0.83,42.2839,4.1858
0,20240131,13.99,0.9488,0.82,41.8058,4.1385
0,20240201,13.9,0.9012,0.8,41.5368,4.1119
0,20240202,13.94,1.2459,1.16,41.6563,4.1237
0,20240205,13.7,1.6102,1.54,40.9392,4.0527
0,20240206,14.68,1.7955,1.58,43.8677,4.3426
0,20240207,15.36,1.8015,1.39,45.8997,4.5438
0,20240208,15.3,1.6621,1.13,45.7204,4.526
0,20240219,15.19,1.5873,0.98,45.3917,4.4935
0,20240220,14.99,1.6737,0.99,44.794,4.4343
0,20240221,15.61,2.6415,1.55,46.6467,4.6177
0,20240222,15.64,1.4551,0.78,46.7364,4.6266
0,20240223,15.61,1.3267,0.74,46.6467,4.6177
0,20240226,15.76,1.6402,0.94,47.095,4.6621
0,20240227,15.85,1.6267,0.93,47.3639,4.6887
0,20240228,15.58,2.2114,1.27,46.5571,4.6088
0,20240229,15.82,1.3072,0.79,47.2701,4.6804
0,20240301,15.8,1.3975,0.86,47.2104,4.6745
0,20240304,15.71,1.2455,0.76,46.9415,4.6478
0,20240305,15.68,1.0087,0.65,46.8518,4.639
0,20240306,15.42,0.9698,0.68,46.0749,4.562
0,20240307,15.18,0.7952,0.67,45.3578,4.491
0,20240308,15.08,0.841,0.78,45.059,4.4615
0,20240311,15.68,1.599,1.65,46.8518,4.639
0,20240312,16.34,2.48,2.38,48.8239,4.8342
0,20240313,16.13,1.5222,1.14,48.1964,4.7721
0,20240314,16.19,1.2889,0.89,48.3757,4.7899
0,20240315,16.31,1.448,0.94,48.7343,4.8254
0,20240318,16.81,2.2209,1.33,50.2283,5.2861
0,20240319,16.83,1.3329,0.74,50.288,5.2924
0,20240320,17.05,1.2408,0.79,50.9454,5.3615
0,20240321,17.36,1.7391,1.15,51.8717,5.459
0,20240322,16.85,1.9213,1.2,50.3478,5.2986
0,20240325,16.86,1.0962,0.65,50.3777,5.3018
0,20240326,17.24,1.321,0.9,51.5131,5.4213
0,20240327,16.98,1.5339,1.05,50.7362,5.3395
0,20240328,16.89,1.1195,0.74,50.4673,5.3112
0,20240329,16.97,0.7014,0.5,50.7063,5.3364
0,20240401,17.2,0.9193,0.8,51.3936,5.4087
0,20240402,17.1,0.9521,0.85,51.0948,5.3773
0,20240403,17.4,1.0284,0.98,51.9912,5.4716
