,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,40.59,0.4855,1.0,28.4938,3.5083
0,20240103,40.67,0.3501,0.66,28.55,3.5152
0,20240104,38.93,0.8997,1.66,27.3285,3.3648
0,20240105,36.69,1.8803,2.92,25.756,3.1712
0,20240108,35.56,1.0161,1.12,24.9628,3.0735
0,20240109,35.18,0.7093,0.77,24.696,3.0407
0,20240110,35.5,0.8964,0.92,24.9207,3.0684
0,20240111,36.09,0.7652,0.71,25.3348,3.1193
0,20240112,36.46,0.6106,0.58,25.5946,3.1513
0,20240115,35.45,0.6866,0.86,24.8856,3.064
0,20240116,35.74,0.4132,0.56,25.0891,3.0891
0,20240117,34.72,0.4445,0.66,24.3731,3.0009
0,20240118,34.85,0.6416,1.1,24.4644,3.0122
0,20240119,34.46,0.4572,0.82,24.1906,2.9785
0,20240122,32.7,0.9843,1.86,22.9551,2.8263
0,20240123,32.93,0.6525,1.11,23.1166,2.8462
0,20240124,32.88,0.6415,1.01,23.0815,2.8419
0,20240125,33.07,0.7795,1.15,23.2148,2.8583
0,20240126,31.56,1.0112,1.44,22.1548,2.7278
0,20240129,31.05,0.7919,0.97,21.7968,2.6837
0,20240130,29.69,1.051,1.36,20.8421,2.5662
0,20240131,28.95,0.761,0.89,20.3226,2.5022
0,20240201,29.72,0.9161,1.04,20.8632,2.5688
0,20240202,28.96,0.9439,1.04,20.3297,2.5031
0,20240205,28.95,1.1292,1.26,20.3226,2.5022
0,20240206,31.5,1.3083,1.36,22.1127,2.7226
0,20240207,31.63,1.2458,1.23,22.204,2.7339
0,20240208,31.68,1.042,0.94,22.2391,2.7382
0,20240219,32.55,1.0467,0.92,22.8498,2.8134
0,20240220,33.26,1.0325,0.89,23.3482,2.8747
0,20240221,33.15,0.9137,0.8,23.271,2.8652
0,20240222,33.14,1.0411,0.99,23.264,2.8644
0,20240223,33.06,0.5999,0.59,23.2078,2.8575
0,20240226,32.99,0.5685,0.61,23.1587,2.8514
0,20240227,33.48,0.6983,0.84,23.5027,2.8938
0,20240228,33.27,0.9677,1.27,23.3552,2.8756
0,20240229,33.68,0.7711,0.99,23.643,2.911
0,20240301,33.31,0.728,1.01,23.3833,2.8791
0,20240304,33.5,0.9729,1.3,23.5167,2.8955
0,20240305,32.88,0.856,1.03,23.0815,2.8419
0,20240306,32.79,0.5809,0.68,23.0183,2.8341
0,20240307,31.53,0.8657,1.11,22.1338,2.7252
0,20240308,32.04,0.5251,0.66,22.4918,2.7693
0,20240311,32.42,0.6663,0.88,22.7585,2.8021
0,20240312,33.05,0.8734,1.25,23.2008,2.8566
0,20240313,33.13,0.8036,1.14,23.257,2.8635
0,20240314,33.34,1.2798,1.71,23.4044,2.8817
0,20240315,33.79,0.8904,1.07,23.7203,2.9206
0,20240318,33.77,0.7099,0.79,23.7062,2.9188
0,20240319,33.36,0.4442,0.49,23.4184,2.8834
0,20240320,33.4,0.4263,0.52,23.4465,2.8868
0,20240321,32.9,0.4261,0.57,23.0955,2.8436
0,20240322,31.7,0.7983,1.38,22.2531,2.7399
0,20240325,31.17,0.4753,0.85,21.8811,2.6941
0,20240326,31.02,0.4547,0.88,21.7758,2.6811
0,20240327,31.0,0.47,0.91,21.7617,2.6794
0,20240328,30.72,0.5552,1.06,21.564,2.6554
0,20240329,31.0,0.3853,0.7,21.7605,2.6796
0,20240401,31.38,0.6269,1.34,22.0272,2.7124
0,20240402,30.96,0.535,1.07,21.7324,2.6761
0,20240403,31.11,1.018,1.98,21.8377,2.6891
