,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.95,1.3138,1.74,7.42,0.825
0,20240103,6.9,1.2119,1.46,7.3666,0.8191
0,20240104,6.76,1.1685,1.25,7.2172,0.8024
0,20240105,6.96,1.9214,1.78,7.4307,0.8262
0,20240108,6.81,0.8336,0.66,7.2706,0.8084
0,20240109,6.83,0.6109,0.47,7.2919,0.8107
0,20240110,6.87,0.627,0.55,7.3346,0.8155
0,20240111,6.83,1.0012,0.97,7.2919,0.8107
0,20240112,6.88,0.9123,0.91,7.3453,0.8167
0,20240115,7.04,1.1722,1.47,7.5161,0.8357
0,20240116,6.94,0.7833,0.91,7.4093,0.8238
0,20240117,6.73,0.644,0.72,7.1851,0.7989
0,20240118,6.66,1.2993,1.44,7.1104,0.7906
0,20240119,6.64,1.1176,1.16,7.0891,0.7882
0,20240122,6.25,1.6837,1.68,6.6727,0.7419
0,20240123,6.46,1.3882,1.26,6.8969,0.7668
0,20240124,6.66,1.1274,0.92,7.1104,0.7906
0,20240125,6.97,1.8564,1.4,7.4414,0.8274
0,20240126,7.18,2.1201,1.48,7.6656,0.8523
0,20240129,7.28,2.6002,1.59,7.7723,0.8642
0,20240130,6.89,3.6681,2.02,7.356,0.8179
0,20240131,6.66,2.4378,1.07,7.1104,0.7906
0,20240201,6.55,1.6017,0.63,6.993,0.7775
0,20240202,6.68,2.0277,0.82,7.1318,0.7929
0,20240205,6.43,2.1002,0.85,6.8649,0.7633
0,20240206,6.79,1.6801,0.71,7.2492,0.806
0,20240207,7.2,2.1221,1.08,7.6869,0.8547
0,20240208,7.31,2.0257,1.06,7.8044,0.8677
0,20240219,7.15,2.3922,1.2,7.6335,0.8487
0,20240220,7.37,2.2253,1.08,7.8684,0.8748
0,20240221,7.37,2.268,1.09,7.8684,0.8748
0,20240222,7.26,1.3245,0.6,7.751,0.8618
0,20240223,7.26,1.2741,0.62,7.751,0.8618
0,20240226,7.12,1.438,0.76,7.6015,0.8452
0,20240227,7.18,1.0562,0.62,7.6656,0.8523
0,20240228,7.16,1.7293,1.17,7.6442,0.8499
0,20240229,7.22,1.4946,1.1,7.7083,0.857
0,20240301,6.99,2.2342,1.6,7.4627,0.8297
0,20240304,6.78,2.3139,1.45,7.2385,0.8048
0,20240305,6.6,2.1611,1.22,7.0464,0.7834
0,20240306,6.57,1.4828,0.75,7.0143,0.7799
0,20240307,6.5,1.4686,0.76,6.9396,0.7716
0,20240308,6.35,2.0357,1.05,6.7794,0.7538
0,20240311,6.58,2.3222,1.23,7.025,0.7811
0,20240312,7.06,5.0429,2.66,7.5375,0.838
0,20240313,6.89,2.1768,0.88,7.356,0.8179
0,20240314,7.01,1.7641,0.68,7.4841,0.8321
0,20240315,7.0,1.5429,0.58,7.4734,0.8309
0,20240318,6.84,1.5152,0.59,7.3026,0.8119
0,20240319,6.82,1.0442,0.43,7.2812,0.8096
0,20240320,6.73,1.2778,0.79,7.1851,0.7989
0,20240321,6.81,1.2562,0.88,7.2706,0.8084
0,20240322,6.81,1.1879,0.89,7.2706,0.8084
0,20240325,7.22,3.7672,3.0,7.7083,0.857
0,20240326,7.25,2.3044,1.35,7.7403,0.8606
0,20240327,7.16,1.5689,0.8,7.6442,0.8499
0,20240328,7.14,1.4461,0.72,7.6229,0.8475
0,20240329,7.06,1.1479,0.56,7.5375,0.838
0,20240401,7.13,2.3276,1.14,7.6122,0.8464
0,20240402,7.11,1.9718,1.12,7.5908,0.844
0,20240403,7.04,1.3146,0.78,7.5161,0.8357
