,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,7.46,0.8396,1.45,17.44,0.9426
0,20240103,7.57,0.8352,1.35,17.6971,0.9565
0,20240104,7.62,0.6488,0.93,17.814,0.9629
0,20240105,7.49,0.4911,0.67,17.5101,0.9464
0,20240108,7.35,0.4399,0.62,17.1828,0.9287
0,20240109,7.35,0.4214,0.65,17.1828,0.9287
0,20240110,7.17,0.3098,0.55,16.762,0.906
0,20240111,7.35,0.3516,0.76,17.1828,0.9287
0,20240112,7.25,0.3131,0.78,16.9491,0.9161
0,20240115,7.3,0.401,1.09,17.0659,0.9224
0,20240116,7.17,0.4293,1.19,16.762,0.906
0,20240117,7.01,0.3658,1.01,16.388,0.8858
0,20240118,6.89,0.5822,1.56,16.1074,0.8706
0,20240119,6.96,0.5661,1.35,16.2711,0.8795
0,20240122,6.48,0.7114,1.52,15.1489,0.8188
0,20240123,6.61,0.6614,1.25,15.4529,0.8352
0,20240124,6.77,0.67,1.16,15.8269,0.8554
0,20240125,7.17,0.6593,1.03,16.762,0.906
0,20240126,7.22,0.5912,0.9,16.8789,0.9123
0,20240129,7.09,0.4838,0.73,16.575,0.8959
0,20240130,6.83,0.5183,0.85,15.9672,0.863
0,20240131,6.7,0.7037,1.2,15.6633,0.8466
0,20240201,6.56,0.6474,1.09,15.336,0.8289
0,20240202,6.43,0.8145,1.38,15.0321,0.8125
0,20240205,5.91,1.3253,2.09,13.8164,0.7468
0,20240206,6.29,1.2453,1.55,14.7048,0.7948
0,20240207,6.91,1.4976,1.58,16.1542,0.8731
0,20240208,7.14,1.4808,1.34,16.6919,0.9022
0,20240219,7.09,0.9835,0.77,16.575,0.8959
0,20240220,7.12,0.6933,0.53,16.6451,0.8997
0,20240221,7.1,0.7489,0.63,16.5984,0.8971
0,20240222,7.15,0.4589,0.42,16.7153,0.9035
0,20240223,7.26,0.5557,0.64,16.9724,0.9174
0,20240226,7.18,0.6112,0.89,16.7854,0.9073
0,20240227,7.4,0.5666,0.92,17.2997,0.9351
0,20240228,7.14,0.9044,1.54,16.6919,0.9022
0,20240229,7.37,0.6573,1.06,17.2296,0.9313
0,20240301,7.45,0.6367,0.97,17.4166,0.9414
0,20240304,7.46,0.6251,0.93,17.44,0.9426
0,20240305,7.44,0.5962,0.88,17.3932,0.9401
0,20240306,7.35,0.4619,0.68,17.1828,0.9287
0,20240307,7.2,0.558,0.94,16.8322,0.9098
0,20240308,7.25,0.4512,0.78,16.9491,0.9161
0,20240311,7.37,0.4469,0.83,17.2296,0.9313
0,20240312,7.28,0.6721,1.34,17.0192,0.9199
0,20240313,7.43,0.7192,1.39,17.3699,0.9388
0,20240314,7.27,0.4825,0.85,16.9958,0.9186
0,20240315,7.33,0.5759,1.04,17.1361,0.9262
0,20240318,7.44,0.5482,0.95,17.3932,0.9401
0,20240319,7.42,0.5927,0.99,17.3465,0.9376
0,20240320,7.64,1.0712,1.84,17.8608,0.9654
0,20240321,7.72,0.9694,1.48,18.0478,0.9755
0,20240322,8.49,3.2436,4.32,19.8479,1.0728
0,20240325,8.25,7.5261,5.86,19.2869,1.0425
0,20240326,8.6,5.4992,2.05,20.1051,1.0867
0,20240327,8.03,4.5622,1.25,18.7725,1.0147
0,20240328,8.65,5.0785,1.16,20.222,1.093
0,20240329,8.43,3.2836,0.63,19.7077,1.0652
0,20240401,8.36,2.786,0.54,19.544,1.0564
0,20240402,7.99,2.7224,0.64,18.679,1.0096
0,20240403,7.71,2.0233,0.55,18.0244,0.9742
