,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,34.59,1.016,0.78,136.1477,3.0892
0,20240103,32.8,2.2406,1.85,129.1022,2.9294
0,20240104,32.39,2.0059,1.36,127.4884,2.8927
0,20240105,31.97,1.5302,0.9,125.8353,2.8552
0,20240108,31.11,1.2195,0.73,122.4503,2.7784
0,20240109,30.87,1.1609,0.73,121.5056,2.757
0,20240110,30.59,1.056,0.65,120.4036,2.732
0,20240111,31.14,1.221,0.88,122.5684,2.7811
0,20240112,30.7,1.0813,0.87,120.8365,2.7418
0,20240115,31.01,1.2962,1.13,122.0567,2.7695
0,20240116,30.36,1.3785,1.19,119.4983,2.7114
0,20240117,29.47,1.2667,1.05,115.9952,2.632
0,20240118,29.1,1.8361,1.47,114.5389,2.5989
0,20240119,29.3,2.0322,1.48,115.3261,2.6168
0,20240122,26.96,2.3223,1.49,106.1157,2.4078
0,20240123,27.05,1.6596,0.94,106.47,2.4158
0,20240124,26.89,1.8192,1.0,105.8402,2.4015
0,20240125,27.43,2.0831,1.08,107.9657,2.4498
0,20240126,27.06,2.765,1.39,106.5093,2.4167
0,20240129,25.67,1.8715,0.88,101.0382,2.2926
0,20240130,24.5,2.2193,1.09,96.4331,2.1881
0,20240131,22.37,5.9268,2.75,88.0493,1.9979
0,20240201,22.12,4.6965,1.58,87.0653,1.9755
0,20240202,20.7,3.2636,0.93,81.4761,1.8487
0,20240205,18.63,2.3657,0.66,73.3285,1.6638
0,20240206,17.18,5.8679,1.59,67.6212,1.5343
0,20240207,15.46,5.3399,1.21,60.8512,1.3807
0,20240208,17.01,9.3992,2.18,66.9521,1.5192
0,20240219,18.71,4.376,0.83,73.6434,1.671
0,20240220,19.15,9.7141,1.78,75.3752,1.7103
0,20240221,19.42,6.3692,0.92,76.438,1.7344
0,20240222,20.4,5.4161,0.77,80.2953,1.8219
0,20240223,21.8,5.5755,0.79,85.8057,1.947
0,20240226,22.31,4.1573,0.66,87.8131,1.9925
0,20240227,23.51,3.974,0.64,92.5364,2.0997
0,20240228,21.16,6.9309,1.36,83.2867,1.8898
0,20240229,23.07,8.2344,1.58,90.8045,2.0604
0,20240301,22.55,7.927,1.37,88.7578,2.0139
0,20240304,22.7,4.4703,0.72,89.3482,2.0273
0,20240305,22.28,3.7006,0.59,87.695,1.9898
0,20240306,22.08,3.3918,0.54,86.9078,1.972
0,20240307,22.22,3.9528,0.71,87.4589,1.9845
0,20240308,24.44,6.4476,1.38,96.1969,2.1827
0,20240311,23.74,10.7576,2.45,93.4417,2.1202
0,20240312,23.3,6.4635,1.14,91.7098,2.0809
0,20240313,23.8,9.3358,1.51,93.6778,2.1256
0,20240314,23.05,5.3161,0.72,90.7258,2.0586
0,20240315,24.25,6.9058,0.9,95.449,2.1658
0,20240318,26.68,9.2725,1.2,105.0136,2.3828
0,20240319,26.44,7.6106,1.02,104.069,2.3614
0,20240320,27.82,8.4357,1.1,109.5007,2.4846
0,20240321,26.3,6.2088,0.83,103.5179,2.3488
0,20240322,25.93,3.5178,0.46,102.0616,2.3158
0,20240325,25.28,5.6879,0.81,99.5032,2.2578
0,20240326,25.65,4.3649,0.69,100.9595,2.2908
0,20240327,24.03,4.9573,0.88,94.5831,2.1461
0,20240328,25.24,6.0783,1.23,99.3457,2.2542
0,20240329,26.18,5.9728,1.21,103.0456,2.3381
0,20240401,27.05,6.8702,1.27,106.47,2.4158
0,20240402,26.9,5.4152,0.96,105.8796,2.4024
0,20240403,26.15,3.6912,0.63,102.9275,2.3355
