,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.33,1.2346,2.32,546.1613,1.3719
0,20240103,5.51,1.2305,1.78,564.6057,1.4182
0,20240104,5.53,0.8112,0.93,566.6551,1.4234
0,20240105,5.53,0.8921,0.96,566.6551,1.4234
0,20240108,5.6,0.9843,1.02,573.828,1.4414
0,20240109,5.56,0.6722,0.65,569.7292,1.4311
0,20240110,5.63,0.6645,0.72,576.902,1.4491
0,20240111,5.46,0.6632,0.82,559.4823,1.4054
0,20240112,5.51,0.5609,0.72,564.6057,1.4182
0,20240115,5.68,0.8208,1.16,582.0255,1.462
0,20240116,5.7,0.6412,0.95,584.0749,1.4671
0,20240117,5.64,0.4704,0.7,577.9267,1.4517
0,20240118,5.61,0.9182,1.45,574.8527,1.444
0,20240119,5.31,1.2258,1.8,544.1119,1.3668
0,20240122,5.25,0.7927,0.97,537.9637,1.3513
0,20240123,5.43,0.8003,0.99,556.4082,1.3977
0,20240124,5.6,0.6154,0.73,573.828,1.4414
0,20240125,5.7,0.6638,0.76,584.0749,1.4671
0,20240126,5.82,0.7879,0.96,596.3712,1.498
0,20240129,5.97,0.8365,1.14,611.7416,1.5366
0,20240130,5.8,0.6008,0.81,594.3218,1.4929
0,20240131,6.07,1.3785,1.97,621.9885,1.5624
0,20240201,5.99,0.8012,0.94,613.791,1.5418
0,20240202,5.98,0.7665,0.87,612.7663,1.5392
0,20240205,5.93,0.8181,0.93,607.6428,1.5263
0,20240206,6.0,0.7235,0.83,614.8157,1.5444
0,20240207,5.85,1.1546,1.29,599.4453,1.5058
0,20240208,5.99,0.775,0.91,613.791,1.5418
0,20240219,6.24,0.7053,0.83,639.4083,1.6061
0,20240220,6.27,0.6128,0.73,642.4824,1.6139
0,20240221,6.24,0.483,0.61,639.4083,1.6061
0,20240222,6.29,0.403,0.54,644.5318,1.619
0,20240223,6.45,0.6829,1.15,660.9268,1.6602
0,20240226,6.16,0.8013,1.39,631.2108,1.5855
0,20240227,6.16,0.6465,1.08,631.2108,1.5855
0,20240228,6.13,0.7972,1.32,628.1367,1.5778
0,20240229,6.19,0.5379,0.81,634.2848,1.5933
0,20240301,6.0,0.878,1.27,614.8157,1.5444
0,20240304,6.2,0.8934,1.22,635.3095,1.5958
0,20240305,6.32,0.9613,1.28,647.6058,1.6267
0,20240306,6.3,0.663,0.81,645.5565,1.6216
0,20240307,6.59,1.0592,1.35,675.2725,1.6962
0,20240308,6.71,0.7382,0.83,687.5689,1.7271
0,20240311,6.59,0.6604,0.77,675.2725,1.6962
0,20240312,6.3,0.8109,0.99,645.5565,1.6216
0,20240313,6.35,0.6119,0.78,650.6799,1.6345
0,20240314,6.41,0.5387,0.69,656.8281,1.6499
0,20240315,6.6,0.9806,1.46,676.2972,1.6988
0,20240318,6.69,0.7359,1.02,685.5195,1.722
0,20240319,6.54,0.4702,0.64,670.1491,1.6834
0,20240320,6.57,0.3405,0.51,673.2232,1.6911
0,20240321,6.58,0.469,0.76,674.2479,1.6937
0,20240322,6.45,0.58,0.97,660.9268,1.6602
0,20240325,6.54,0.4969,0.96,670.1491,1.6834
0,20240326,6.72,0.6516,1.38,688.5935,1.7297
0,20240327,6.74,0.7133,1.41,690.6429,1.7348
0,20240328,6.78,0.757,1.3,15.3341,1.7735
0,20240329,6.87,0.5318,0.83,15.5377,1.797
0,20240401,6.74,0.6993,1.11,15.2437,1.763
0,20240402,6.88,0.7314,1.09,15.5603,1.7996
0,20240403,6.91,0.5031,0.73,15.6281,1.8075
