,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.1,1.9048,0.48,77.7225,3.1113
0,20240103,5.15,1.7597,0.5,78.4844,3.1418
0,20240104,5.16,1.3544,0.51,78.6368,3.1479
0,20240105,5.06,1.6305,0.77,77.1129,3.0869
0,20240108,4.96,1.3911,0.77,75.5889,3.0259
0,20240109,4.96,1.4783,0.92,75.5889,3.0259
0,20240110,4.88,1.1907,0.79,74.3697,2.9771
0,20240111,5.17,6.4573,4.6,78.7892,3.154
0,20240112,4.9,5.0119,2.07,74.6745,2.9893
0,20240115,4.91,2.4919,0.8,74.8269,2.9954
0,20240116,4.87,1.9761,0.59,74.2173,2.971
0,20240117,4.79,1.608,0.47,72.9982,2.9222
0,20240118,4.65,2.5769,0.73,70.8646,2.8368
0,20240119,4.66,1.2272,0.45,71.017,2.8429
0,20240122,4.32,1.9056,0.96,65.8355,2.6355
0,20240123,4.29,1.9322,1.04,65.3783,2.6172
0,20240124,4.4,1.6579,0.9,67.0547,2.6843
0,20240125,4.58,1.745,0.94,69.7978,2.7941
0,20240126,4.59,1.5865,0.94,69.9502,2.8002
0,20240129,4.45,1.2585,0.71,67.8167,2.7148
0,20240130,4.29,1.4243,0.87,65.3783,2.6172
0,20240131,4.05,1.8977,1.24,61.7208,2.4708
0,20240201,3.92,1.5617,0.99,59.7396,2.3914
0,20240202,3.69,2.597,1.68,56.2345,2.2511
0,20240205,3.32,2.501,1.43,50.5958,2.0254
0,20240206,3.27,3.5628,1.78,49.8338,1.9949
0,20240207,3.1,4.8269,1.99,47.2431,1.8912
0,20240208,3.37,4.7975,1.59,51.3578,2.0559
0,20240219,3.52,3.5902,0.98,53.6437,2.1474
0,20240220,3.6,1.8229,0.47,54.8629,2.1962
0,20240221,3.66,2.5268,0.68,55.7773,2.2328
0,20240222,3.74,1.8211,0.52,56.9965,2.2816
0,20240223,3.85,2.059,0.71,58.6728,2.3487
0,20240226,3.98,2.6152,1.11,60.654,2.428
0,20240227,4.04,1.7157,0.79,61.5684,2.4647
0,20240228,3.72,3.7862,1.76,56.6917,2.2694
0,20240229,3.84,2.7989,1.17,58.5204,2.3426
0,20240301,3.85,1.5945,0.61,58.6728,2.3487
0,20240304,3.92,2.0285,0.81,59.7396,2.3914
0,20240305,3.81,1.495,0.63,58.0633,2.3243
0,20240306,3.82,1.0055,0.43,58.2156,2.3304
0,20240307,3.83,1.726,0.97,58.368,2.3365
0,20240308,3.83,1.5514,0.99,58.368,2.3365
0,20240311,3.9,1.3501,0.86,59.4348,2.3792
0,20240312,4.01,2.1772,1.53,61.1112,2.4463
0,20240313,4.02,1.7011,1.09,61.2636,2.4524
0,20240314,4.02,1.7276,1.02,61.2636,2.4524
0,20240315,4.06,1.2039,0.71,61.8732,2.4769
0,20240318,4.13,1.6423,1.01,62.94,2.5196
0,20240319,4.14,1.5105,0.89,63.0924,2.5257
0,20240320,4.19,1.2917,0.83,63.8543,2.5562
0,20240321,4.19,1.3646,0.93,63.8543,2.5562
0,20240322,4.11,1.7758,1.27,62.6352,2.5074
0,20240325,4.0,1.3635,0.9,60.9588,2.4402
0,20240326,4.07,1.503,1.03,62.0256,2.483
0,20240327,3.99,1.6531,1.13,60.8064,2.4341
0,20240328,4.15,2.8883,1.89,63.2447,2.5318
0,20240329,4.13,1.6989,0.92,62.94,2.5196
0,20240401,4.24,3.9967,2.19,64.6163,2.5867
0,20240402,4.45,5.6075,2.39,67.8167,2.7148
0,20240403,4.18,6.4061,2.02,63.7019,2.5501
