,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.0,0.642,1.51,,2.1738
0,20240103,8.33,0.8115,1.63,,2.2635
0,20240104,8.42,0.6068,1.02,,2.2879
0,20240105,8.35,0.6033,0.96,,2.2689
0,20240108,8.45,0.5582,0.91,,2.2961
0,20240109,8.55,0.476,0.74,,2.3233
0,20240110,8.58,0.3424,0.56,,2.3314
0,20240111,8.37,0.5397,1.04,,2.2744
0,20240112,8.45,0.3449,0.68,,2.2961
0,20240115,8.61,0.4666,1.03,,2.3396
0,20240116,8.65,0.4239,0.98,,2.3504
0,20240117,8.55,0.2757,0.65,,2.3233
0,20240118,8.44,0.6978,1.7,,2.2934
0,20240119,8.18,0.7567,1.71,,2.2227
0,20240122,8.06,0.4813,0.92,,2.1901
0,20240123,8.25,0.486,0.92,,2.2417
0,20240124,8.45,0.3885,0.72,,2.2961
0,20240125,8.69,0.4108,0.73,,2.3613
0,20240126,8.88,0.4591,0.91,,2.4129
0,20240129,8.92,0.5594,1.26,,2.4238
0,20240130,8.75,0.3993,0.87,,2.3776
0,20240131,8.76,0.9539,2.15,,2.3803
0,20240201,8.49,0.5603,1.01,,2.307
0,20240202,8.66,0.4903,0.84,,2.3532
0,20240205,8.55,0.6691,1.13,,2.3233
0,20240206,8.55,0.5862,0.95,,2.3233
0,20240207,8.52,0.6718,1.03,,2.3151
0,20240208,8.74,0.4709,0.79,,2.3749
0,20240219,8.99,0.4456,0.77,,2.4428
0,20240220,8.95,0.3841,0.68,,2.432
0,20240221,8.81,0.5335,1.04,,2.3939
0,20240222,8.98,0.4501,0.9,,2.4401
0,20240223,8.98,0.4451,0.97,,2.4401
0,20240226,8.73,0.4956,1.1,,2.3722
0,20240227,8.63,0.4946,1.07,,2.345
0,20240228,8.89,0.7221,1.49,,2.4157
0,20240229,8.82,0.4706,0.9,,2.3966
0,20240301,8.63,0.489,0.93,,2.345
0,20240304,8.95,0.5871,1.1,,2.432
0,20240305,9.13,0.6493,1.17,,2.4809
0,20240306,9.1,0.5374,0.92,,2.4727
0,20240307,9.28,0.4803,0.88,,2.5216
0,20240308,9.45,0.4618,0.84,,2.5678
0,20240311,9.37,0.4562,0.84,,2.5461
0,20240312,9.01,0.5755,1.11,,2.4483
0,20240313,9.05,0.468,0.93,,2.4591
0,20240314,9.14,0.3715,0.76,,2.4836
0,20240315,9.28,0.4542,0.97,,2.5216
0,20240318,9.28,0.5495,1.18,,2.5216
0,20240319,9.18,0.3358,0.69,,2.4945
0,20240320,9.11,0.4377,1.0,16.9331,2.7233
0,20240321,8.99,0.3947,0.92,16.7101,2.6875
0,20240322,9.0,0.3684,0.85,16.7287,2.6905
0,20240325,9.07,0.3468,0.83,16.8588,2.7114
0,20240326,9.27,0.4038,1.07,17.2305,2.7712
0,20240327,9.17,0.4012,1.03,17.0446,2.7413
0,20240328,9.15,0.3529,0.92,17.0075,2.7353
0,20240329,9.38,0.353,0.94,17.435,2.8041
0,20240401,9.2,0.4777,1.29,17.1004,2.7502
0,20240402,9.45,0.4358,1.1,17.5651,2.825
0,20240403,9.44,0.2977,0.74,17.5465,2.822
