,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,15.13,3.0517,1.12,,2.6263
0,20240103,14.98,2.2538,0.83,,2.6002
0,20240104,15.13,2.1086,0.83,,2.6263
0,20240105,14.69,2.6299,1.04,,2.5499
0,20240108,14.41,1.9431,0.79,,2.5013
0,20240109,14.6,1.9152,0.8,,2.5343
0,20240110,14.09,2.5489,1.17,,2.4457
0,20240111,14.49,2.5525,1.15,,2.5152
0,20240112,14.08,2.3231,1.0,,2.444
0,20240115,14.13,1.7215,0.76,,2.4527
0,20240116,13.83,2.7449,1.24,,2.4006
0,20240117,13.48,1.5522,0.65,,2.3399
0,20240118,13.68,2.8862,1.32,,2.3746
0,20240119,14.28,10.8947,4.85,,2.4787
0,20240122,12.85,11.0747,2.8,,2.2305
0,20240123,12.82,6.8006,1.17,,2.2253
0,20240124,12.99,5.8947,0.89,,2.2548
0,20240125,13.65,9.4582,1.26,,2.3694
0,20240126,13.19,5.7301,0.65,,2.2895
0,20240129,12.41,3.9192,0.5,,2.1541
0,20240130,11.97,3.0264,0.48,,2.0777
0,20240131,11.11,4.3187,0.77,,1.9285
0,20240201,11.18,3.4743,0.66,,1.9406
0,20240202,10.43,4.4509,1.09,,1.8104
0,20240205,9.39,2.3477,0.61,,1.6299
0,20240206,8.46,8.8742,2.52,,1.4685
0,20240207,7.61,9.2239,1.97,,1.3209
0,20240208,7.99,11.6681,2.06,,1.3869
0,20240219,8.79,9.9207,1.36,,1.5258
0,20240220,8.97,7.1567,0.85,,1.557
0,20240221,9.36,8.9223,0.95,,1.6247
0,20240222,10.27,10.2454,1.09,,1.7827
0,20240223,10.69,10.1236,1.06,,1.8556
0,20240226,11.0,9.6497,1.04,,1.9094
0,20240227,11.9,9.5825,1.04,,2.0656
0,20240228,10.71,14.7264,1.52,,1.859
0,20240229,11.0,11.1007,1.02,,1.9094
0,20240301,11.25,7.7373,0.7,,1.9528
0,20240304,11.42,7.8189,0.74,,1.9823
0,20240305,11.34,9.2221,0.9,,1.9684
0,20240306,11.44,7.0323,0.69,,1.9858
0,20240307,11.13,6.1557,0.72,,1.9319
0,20240308,11.7,8.3048,1.09,,2.0309
0,20240311,11.6,6.6193,0.86,,2.0135
0,20240312,11.85,6.3536,0.85,,2.0569
0,20240313,11.79,7.005,1.02,,2.0465
0,20240314,11.88,6.0021,0.87,,2.0621
0,20240315,11.87,4.8365,0.71,,2.0604
0,20240318,12.2,5.7003,0.92,,2.1177
0,20240319,12.42,7.365,1.23,,2.1559
0,20240320,13.0,17.5086,2.83,,2.2565
0,20240321,14.3,26.3295,3.18,,2.4822
0,20240322,14.04,28.1958,2.28,,2.4371
0,20240325,13.18,18.6505,1.1,,2.2878
0,20240326,12.79,14.1489,0.72,,2.2201
0,20240327,11.83,13.1319,0.63,,2.0534
0,20240328,12.68,15.3291,0.76,,2.201
0,20240329,13.05,14.7096,0.82,,2.2652
0,20240401,13.07,10.7987,0.71,,2.2687
0,20240402,13.25,14.525,1.07,,2.2999
0,20240403,12.26,10.8915,0.8,,2.1281
