,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.4,0.4463,0.78,,4.9267
0,20240103,2.39,0.455,0.82,,4.9062
0,20240104,2.37,0.3209,0.59,,4.8651
0,20240105,2.31,0.5854,1.29,,4.742
0,20240108,2.27,0.4665,1.02,,4.6598
0,20240109,2.28,0.4429,0.97,,4.6804
0,20240110,2.3,0.5921,1.3,,4.7214
0,20240111,2.37,0.8903,1.85,,4.8651
0,20240112,2.36,0.7733,1.3,,4.8446
0,20240115,2.34,0.4359,0.69,,4.8035
0,20240116,2.34,0.5535,0.88,,4.8035
0,20240117,2.3,0.7804,1.2,,4.7214
0,20240118,2.26,0.8134,1.18,,4.6393
0,20240119,2.27,0.5095,0.76,,4.6598
0,20240122,2.13,0.9048,1.46,,4.3725
0,20240123,2.12,0.6583,0.92,,4.3519
0,20240124,2.17,0.8052,1.1,,4.4546
0,20240125,2.22,0.6244,0.85,,4.5572
0,20240126,2.25,0.7966,1.14,,4.6188
0,20240129,2.22,0.6386,0.84,,4.5572
0,20240130,2.18,0.5023,0.71,,4.4751
0,20240131,2.07,0.8186,1.22,,4.2493
0,20240201,2.0,0.9457,1.4,,4.1056
0,20240202,1.96,1.0808,1.46,,4.0235
0,20240205,1.77,1.1143,1.4,,3.6334
0,20240206,1.78,1.2323,1.38,,3.654
0,20240207,1.68,1.3995,1.35,,3.4487
0,20240208,1.78,1.0724,0.93,,3.654
0,20240219,1.86,0.9073,0.77,,3.8182
0,20240220,1.88,0.5761,0.5,,3.8593
0,20240221,1.9,0.8192,0.79,,3.9003
0,20240222,1.92,0.5589,0.59,,3.9414
0,20240223,1.95,0.7048,0.9,,4.0029
0,20240226,1.96,0.8614,1.21,,4.0235
0,20240227,2.02,1.0332,1.47,,4.1466
0,20240228,1.92,1.3091,1.65,,3.9414
0,20240229,1.96,0.7373,0.83,,4.0235
0,20240301,1.94,0.5998,0.65,,3.9824
0,20240304,1.92,0.4947,0.54,,3.9414
0,20240305,1.88,0.6045,0.72,,3.8593
0,20240306,1.88,0.4263,0.57,,3.8593
0,20240307,1.88,0.4809,0.84,,3.8593
0,20240308,1.95,0.9058,1.74,,4.0029
0,20240311,1.94,0.6818,1.17,,3.9824
0,20240312,1.98,0.8132,1.31,,4.0645
0,20240313,1.96,0.6095,0.92,,4.0235
0,20240314,1.95,0.5382,0.77,,4.0029
0,20240315,1.97,0.783,1.1,,4.044
0,20240318,1.98,0.6472,0.94,,4.0645
0,20240319,2.02,0.9199,1.36,,4.1466
0,20240320,2.02,0.8343,1.19,,4.1466
0,20240321,2.08,1.0959,1.47,,4.2698
0,20240322,2.03,0.852,1.0,,4.1672
0,20240325,1.97,0.7909,0.91,,4.044
0,20240326,1.98,0.5527,0.62,,4.0645
0,20240327,1.94,0.5378,0.65,,3.9824
0,20240328,1.95,0.5758,0.75,,4.0029
0,20240329,1.98,0.4621,0.7,,4.0645
0,20240401,2.01,0.4332,0.74,,4.1261
0,20240402,2.02,0.6113,1.19,,4.1466
0,20240403,2.04,0.5462,1.04,,4.1877
