,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.58,5.0822,2.59,,4.9453
0,20240103,2.7,10.9398,4.05,,5.1753
0,20240104,2.64,6.2829,1.38,,5.0603
0,20240105,2.55,4.5126,0.82,,4.8878
0,20240108,2.51,2.7223,0.46,,4.8111
0,20240109,2.52,2.7587,0.47,,4.8303
0,20240110,2.52,3.4352,0.63,,4.8303
0,20240111,2.58,3.2862,0.83,,4.9453
0,20240112,2.55,2.8758,0.86,,4.8878
0,20240115,2.55,2.2321,0.74,,4.8878
0,20240116,2.53,2.0697,0.71,,4.8494
0,20240117,2.48,1.8932,0.68,,4.7536
0,20240118,2.46,2.8997,1.17,,4.7152
0,20240119,2.4,1.9557,0.82,,4.6002
0,20240122,2.24,4.0232,1.82,,4.2936
0,20240123,2.23,3.0405,1.18,,4.2744
0,20240124,2.27,3.0499,1.1,,4.3511
0,20240125,2.34,2.4456,0.82,,4.4852
0,20240126,2.38,3.2381,1.12,,4.5619
0,20240129,2.3,2.6933,0.85,,4.4086
0,20240130,2.23,1.9244,0.67,,4.2744
0,20240131,2.13,4.2465,1.59,,4.0827
0,20240201,2.08,2.6987,0.93,,3.9869
0,20240202,1.96,4.1818,1.41,,3.7569
0,20240205,1.76,4.676,1.48,,3.3735
0,20240206,1.82,5.7493,1.62,,3.4885
0,20240207,1.86,5.3589,1.24,,3.5652
0,20240208,2.0,4.1697,0.92,,3.8335
0,20240219,2.05,3.3276,0.69,,3.9294
0,20240220,2.05,1.9307,0.41,,3.9294
0,20240221,2.07,2.236,0.54,,3.9677
0,20240222,2.1,1.7939,0.53,,4.0252
0,20240223,2.15,2.8847,1.07,,4.1211
0,20240226,2.22,3.7612,1.54,,4.2552
0,20240227,2.28,2.8742,1.14,,4.3702
0,20240228,2.15,5.3227,1.96,,4.1211
0,20240229,2.22,2.7236,0.82,,4.2552
0,20240301,2.24,2.447,0.7,,4.2936
0,20240304,2.24,2.1744,0.63,,4.2936
0,20240305,2.23,1.6701,0.54,,4.2744
0,20240306,2.45,3.9534,1.38,,4.6961
0,20240307,2.38,11.0368,4.26,,4.5619
0,20240308,2.37,5.3381,1.25,,4.5427
0,20240311,2.61,4.9161,1.02,,5.0028
0,20240312,2.65,17.2817,3.21,,5.0794
0,20240313,2.79,13.4354,1.58,,5.3478
0,20240314,2.64,8.0801,0.78,,5.0603
0,20240315,2.65,3.915,0.4,,5.0794
0,20240318,2.68,4.3159,0.45,,5.1369
0,20240319,2.77,6.1058,0.65,,5.3094
0,20240320,2.71,3.7559,0.52,,5.1944
0,20240321,2.67,5.1766,0.99,,5.1178
0,20240322,2.69,3.756,0.81,,5.1561
0,20240325,2.73,6.2777,1.36,,5.2328
0,20240326,2.74,4.2522,0.85,,5.2519
0,20240327,2.56,7.6159,1.64,,4.9069
0,20240328,2.61,3.7248,0.69,,5.0028
0,20240329,2.67,3.0187,0.59,,5.1178
0,20240401,2.82,14.8301,2.98,,5.4053
0,20240402,2.76,7.091,1.06,,5.2903
0,20240403,2.77,4.9578,0.68,,5.3094
