,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.08,1.4513,2.27,20.4282,1.7724
0,20240103,7.67,2.5885,3.17,19.3916,1.6824
0,20240104,7.77,1.8571,1.51,19.6445,1.7044
0,20240105,8.55,4.7372,3.16,21.6165,1.8755
0,20240108,9.41,7.8629,3.41,23.7908,2.0641
0,20240109,8.64,11.1,3.0,21.844,1.8952
0,20240110,9.22,12.2622,2.18,23.3104,2.0224
0,20240111,9.03,9.241,1.22,22.8301,1.9808
0,20240112,8.66,6.3165,0.7,21.8946,1.8996
0,20240115,8.5,5.2233,0.56,21.4901,1.8645
0,20240116,8.21,5.421,0.61,20.7569,1.8009
0,20240117,7.75,3.6694,0.48,19.5939,1.7
0,20240118,7.77,3.1114,0.52,19.6445,1.7044
0,20240119,7.52,2.2631,0.48,19.0124,1.6495
0,20240122,7.06,2.8171,0.72,17.8494,1.5486
0,20240123,7.03,1.9048,0.55,17.7736,1.5421
0,20240124,7.23,1.7809,0.65,18.2792,1.5859
0,20240125,7.32,1.8113,0.76,18.5068,1.6057
0,20240126,7.31,1.5704,0.74,18.4815,1.6035
0,20240129,7.07,1.3329,0.67,17.8747,1.5508
0,20240130,7.13,3.3441,1.99,18.0264,1.564
0,20240131,6.72,2.5641,1.3,16.9898,1.4741
0,20240201,6.72,1.8414,0.87,16.9898,1.4741
0,20240202,6.41,2.0137,0.95,16.2061,1.4061
0,20240205,5.77,2.7045,1.22,14.588,1.2657
0,20240206,5.75,3.1612,1.27,14.5374,1.2613
0,20240207,5.2,4.4904,1.83,13.1469,1.1406
0,20240208,5.72,3.9156,1.38,14.4616,1.2547
0,20240219,6.07,3.6466,1.12,15.3465,1.3315
0,20240220,6.22,1.9544,0.55,15.7257,1.3644
0,20240221,6.31,1.9747,0.58,15.9532,1.3841
0,20240222,6.39,1.286,0.4,16.1555,1.4017
0,20240223,6.72,1.8719,0.73,16.9898,1.4741
0,20240226,6.84,2.3489,1.09,17.2932,1.5004
0,20240227,6.93,1.3287,0.7,17.5207,1.5201
0,20240228,6.44,2.3418,1.33,16.2819,1.4126
0,20240229,6.74,2.0404,1.11,17.0404,1.4784
0,20240301,6.77,1.405,0.71,17.1162,1.485
0,20240304,6.92,1.5175,0.8,17.4955,1.5179
0,20240305,6.78,1.0903,0.63,17.1415,1.4872
0,20240306,6.83,1.0548,0.63,17.2679,1.4982
0,20240307,7.09,1.9639,1.38,17.9253,1.5552
0,20240308,7.06,1.8815,1.34,17.8494,1.5486
0,20240311,7.02,1.5754,1.05,17.7483,1.5399
0,20240312,7.04,1.1509,0.76,17.7988,1.5442
0,20240313,7.08,1.2794,0.84,17.9,1.553
0,20240314,7.11,1.0266,0.65,17.9758,1.5596
0,20240315,7.23,0.9791,0.71,18.2792,1.5859
0,20240318,7.37,1.3734,1.14,18.6332,1.6166
0,20240319,7.57,1.5158,1.3,19.1388,1.6605
0,20240320,7.53,1.5595,1.26,19.0377,1.6517
0,20240321,7.58,1.3237,1.03,19.1641,1.6627
0,20240322,7.63,1.6187,1.2,19.2905,1.6737
0,20240325,7.63,1.8559,1.26,19.2905,1.6737
0,20240326,7.85,2.2881,1.45,19.8467,1.7219
0,20240327,7.63,3.4216,1.98,19.2905,1.6737
0,20240328,7.68,2.5247,1.2,19.4169,1.6846
0,20240329,7.71,1.4441,0.62,19.4928,1.6912
0,20240401,8.01,1.9481,0.84,20.2512,1.757
0,20240402,8.35,2.7639,1.19,21.1109,1.8316
0,20240403,8.06,2.4045,0.99,20.3777,1.768
