,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,1.52,0.8789,0.69,,1.4056
0,20240103,1.54,1.1298,1.0,,1.424
0,20240104,1.52,1.015,0.89,,1.4056
0,20240105,1.52,1.1828,1.04,,1.4056
0,20240108,1.51,0.9618,0.91,,1.3963
0,20240109,1.51,0.8233,0.8,,1.3963
0,20240110,1.51,0.7386,0.72,,1.3963
0,20240111,1.53,0.9789,1.04,,1.4148
0,20240112,1.55,1.6754,1.79,,1.4333
0,20240115,1.59,1.8847,1.82,,1.4703
0,20240116,1.55,1.8567,1.52,,1.4333
0,20240117,1.5,1.2799,0.9,,1.3871
0,20240118,1.49,1.8612,1.21,,1.3778
0,20240119,1.48,0.8662,0.51,,1.3686
0,20240122,1.39,1.6571,1.07,,1.2853
0,20240123,1.43,1.2902,0.86,,1.3223
0,20240124,1.47,1.6692,1.2,,1.3593
0,20240125,1.54,2.6973,1.84,,1.424
0,20240126,1.6,4.0028,2.45,,1.4795
0,20240129,1.55,2.4392,1.08,,1.4333
0,20240130,1.48,1.6598,0.69,,1.3686
0,20240131,1.4,1.9943,0.8,,1.2946
0,20240201,1.35,1.8669,0.73,,1.2484
0,20240202,1.3,2.3077,0.96,,1.2021
0,20240205,1.17,2.4683,1.2,,1.0819
0,20240206,1.11,4.2458,2.06,,1.0264
0,20240207,1.1,4.2262,1.64,,1.0172
0,20240208,1.13,2.8728,0.95,,1.0449
0,20240219,1.19,2.8106,0.87,,1.1004
0,20240220,1.19,1.812,0.55,,1.1004
0,20240221,1.23,2.7148,0.85,,1.1374
0,20240222,1.23,1.746,0.6,,1.1374
0,20240223,1.28,2.3343,0.98,,1.1836
0,20240226,1.29,2.5433,1.11,,1.1929
0,20240227,1.35,2.586,1.16,,1.2484
0,20240228,1.25,3.3082,1.39,,1.1559
0,20240229,1.28,1.8466,0.74,,1.1836
0,20240301,1.26,1.552,0.61,,1.1651
0,20240304,1.24,1.4511,0.61,,1.1466
0,20240305,1.22,1.0341,0.48,,1.1281
0,20240306,1.25,1.2696,0.69,,1.1559
0,20240307,1.24,1.2364,0.86,,1.1466
0,20240308,1.24,0.6458,0.49,,1.1466
0,20240311,1.28,1.4247,1.26,,1.1836
0,20240312,1.32,2.0677,1.84,,1.2206
0,20240313,1.27,1.9223,1.45,,1.1744
0,20240314,1.28,1.3274,0.91,,1.1836
0,20240315,1.28,1.1436,0.77,,1.1836
0,20240318,1.27,1.575,1.0,,1.1744
0,20240319,1.28,1.1863,0.74,,1.1836
0,20240320,1.28,0.684,0.48,,1.1836
0,20240321,1.28,1.2274,1.04,,1.1836
0,20240322,1.26,1.3521,1.16,,1.1651
0,20240325,1.26,1.2848,1.07,,1.1651
0,20240326,1.3,2.2109,1.93,,1.2021
0,20240327,1.33,3.586,2.65,,1.2299
0,20240328,1.35,3.4748,1.8,,1.2484
0,20240329,1.29,2.4109,1.01,,1.1929
0,20240401,1.3,1.644,0.63,,1.2021
0,20240402,1.31,1.8175,0.68,,1.2114
0,20240403,1.28,1.0459,0.4,,1.1836
