,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,12.58,2.661,1.05,439.0462,3.1381
0,20240103,12.55,2.448,0.91,437.9991,3.1306
0,20240104,12.46,2.4623,0.86,434.8581,3.1082
0,20240105,12.23,1.9513,0.67,426.831,3.0508
0,20240108,11.93,1.6689,0.61,416.3609,2.976
0,20240109,11.87,1.4822,0.66,414.2669,2.961
0,20240110,11.83,1.6978,0.85,412.8709,2.951
0,20240111,12.2,1.6059,0.87,425.784,3.0433
0,20240112,12.59,3.8953,2.32,439.3952,3.1406
0,20240115,12.4,2.6261,1.27,432.7641,3.0932
0,20240116,12.18,2.829,1.25,425.086,3.0384
0,20240117,12.05,2.2391,0.88,420.549,3.0059
0,20240118,11.69,4.172,1.58,407.9849,2.9161
0,20240119,11.58,2.0946,0.66,404.1458,2.8887
0,20240122,11.15,5.4509,1.95,389.1387,2.7814
0,20240123,11.8,5.6346,1.68,411.8239,2.9436
0,20240124,12.27,6.1173,1.56,428.2271,3.0608
0,20240125,12.57,6.1595,1.31,438.6972,3.1356
0,20240126,12.83,5.5794,1.1,447.7712,3.2005
0,20240129,12.28,4.26,0.74,428.5761,3.0633
0,20240130,11.78,3.4605,0.62,411.1259,2.9386
0,20240131,11.28,3.9303,0.77,393.6757,2.8138
0,20240201,11.68,4.7948,1.02,407.6359,2.9136
0,20240202,10.6,5.9986,1.36,369.9435,2.6442
0,20240205,9.54,5.3059,1.18,332.9492,2.3798
0,20240206,10.06,5.6984,1.21,351.0973,2.5095
0,20240207,10.04,4.3791,0.85,350.3993,2.5045
0,20240208,10.81,3.8385,1.01,377.2726,2.6966
0,20240219,11.3,2.7537,0.71,394.3737,2.8188
0,20240220,11.33,1.7717,0.5,395.4207,2.8263
0,20240221,11.61,3.319,1.06,405.1928,2.8962
0,20240222,11.66,2.4396,0.82,406.9379,2.9086
0,20240223,11.65,2.044,0.72,406.5888,2.9061
0,20240226,11.85,3.0488,1.24,413.5689,2.956
0,20240227,11.92,2.0253,0.8,416.0119,2.9735
0,20240228,11.35,2.85,1.11,396.1187,2.8313
0,20240229,11.78,2.4074,0.97,411.1259,2.9386
0,20240301,11.82,1.6785,0.68,412.5219,2.9485
0,20240304,11.8,1.3574,0.57,411.8239,2.9436
0,20240305,11.69,2.3473,1.14,407.9849,2.9161
0,20240306,11.7,1.4511,0.68,408.3339,2.9186
0,20240307,12.19,5.1751,2.8,425.435,3.0408
0,20240308,12.54,3.7235,1.55,437.6501,3.1282
0,20240311,12.99,3.7598,1.34,453.3553,3.2404
0,20240312,12.7,3.3937,1.03,443.2342,3.1681
0,20240313,12.65,1.8899,0.54,441.4892,3.1556
0,20240314,12.89,4.0029,1.12,449.8653,3.2155
0,20240315,13.88,4.8042,1.43,484.4166,3.4624
0,20240318,14.5,5.5173,1.55,506.0548,3.6171
0,20240319,14.9,6.2636,1.6,520.0149,3.7169
0,20240320,14.34,3.7198,0.83,500.4707,3.5772
0,20240321,14.42,3.2648,0.67,503.2628,3.5971
0,20240322,13.71,2.9025,0.62,478.4835,3.42
0,20240325,13.71,2.7586,0.64,478.4835,2.5336
0,20240326,13.39,2.2556,0.6,467.3154,2.4744
0,20240327,13.23,1.6273,0.55,461.7314,2.4449
0,20240328,13.78,2.5689,1.0,480.9266,2.5465
0,20240329,14.26,3.081,1.27,497.6787,2.6352
0,20240401,14.15,2.474,1.01,493.8397,2.6149
0,20240402,14.4,2.2474,0.94,502.5648,2.6611
0,20240403,14.74,4.078,1.7,514.4309,2.7239
