,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.35,2.5295,1.17,5.3146,1.3394
0,20240103,10.31,1.806,0.83,5.294,1.3342
0,20240104,10.37,1.5313,0.79,5.3248,1.342
0,20240105,10.25,1.6254,0.87,5.2632,1.3265
0,20240108,10.1,1.1177,0.64,5.1862,1.3071
0,20240109,10.3,1.3356,0.78,5.2889,1.3329
0,20240110,10.16,1.065,0.72,5.217,1.3148
0,20240111,10.01,1.3005,0.97,5.14,1.2954
0,20240112,9.96,0.7158,0.56,5.1143,1.2889
0,20240115,9.92,0.7427,0.67,5.0938,1.2838
0,20240116,9.79,1.4971,1.45,5.027,1.2669
0,20240117,9.71,1.2417,1.17,4.9859,1.2566
0,20240118,9.59,1.313,1.19,4.9243,1.2411
0,20240119,9.48,0.9184,0.83,4.8678,1.2268
0,20240122,9.04,1.0067,0.88,4.6419,1.1699
0,20240123,9.31,1.0388,0.87,4.7805,1.2048
0,20240124,9.58,1.4263,1.29,4.9192,1.2398
0,20240125,9.97,1.5386,1.35,5.1194,1.2902
0,20240126,10.0,0.8791,0.74,5.1348,1.2941
0,20240129,9.97,0.93,0.79,5.1194,1.2902
0,20240130,9.72,0.8587,0.74,4.9911,1.2579
0,20240131,9.67,0.8953,0.79,4.9654,1.2514
0,20240201,9.5,0.8377,0.82,4.8781,1.2294
0,20240202,9.39,0.8987,1.02,4.8216,1.2152
0,20240205,9.3,1.3683,1.55,4.7754,1.2035
0,20240206,9.57,1.4481,1.49,4.914,1.2385
0,20240207,9.92,2.0022,1.84,5.0938,1.2838
0,20240208,9.91,1.4993,1.14,5.0886,1.2825
0,20240219,10.33,1.8802,1.3,5.3043,1.3368
0,20240220,10.62,1.7587,1.07,5.4532,1.3743
0,20240221,10.35,2.4606,1.43,5.3146,1.3394
0,20240222,10.77,3.9433,2.05,5.5302,1.3938
0,20240223,10.46,2.5644,1.11,5.371,1.3536
0,20240226,10.18,1.6868,0.67,5.2273,1.3174
0,20240227,10.24,1.0885,0.44,5.2581,1.3252
0,20240228,10.05,1.8527,0.79,5.1605,1.3006
0,20240229,10.12,1.2473,0.56,5.1965,1.3096
0,20240301,10.33,1.4115,0.84,5.3043,1.3368
0,20240304,10.61,2.1224,1.46,5.4481,1.3731
0,20240305,10.52,1.6125,1.04,5.4019,1.3614
0,20240306,10.64,1.6744,1.02,5.4635,1.3769
0,20240307,10.8,1.8559,1.15,5.5456,1.3976
0,20240308,10.55,2.7739,1.6,5.4173,1.3653
0,20240311,10.28,2.3278,1.16,5.2786,1.3303
0,20240312,9.99,2.0459,1.0,5.1297,1.2928
0,20240313,10.05,1.1474,0.54,5.1605,1.3006
0,20240314,10.1,1.2615,0.62,5.1862,1.3071
0,20240315,9.88,1.898,0.99,5.0732,1.2786
0,20240318,9.74,1.3298,0.77,5.0013,1.2605
0,20240319,9.79,1.3069,0.85,5.027,1.2669
0,20240320,9.76,0.9334,0.67,5.0116,1.2631
0,20240321,9.72,0.8688,0.65,4.9911,1.2579
0,20240322,9.75,0.8503,0.67,5.0065,1.2618
0,20240325,9.47,1.3347,1.26,4.8627,1.2255
0,20240326,9.3,1.5484,1.46,4.7754,1.2035
0,20240327,9.2,0.7391,0.67,4.7241,1.1906
0,20240328,9.18,0.8173,0.77,4.7138,1.188
0,20240329,9.38,0.99,0.94,4.8165,1.2139
0,20240401,9.24,1.3448,1.24,4.7446,1.1958
0,20240402,9.16,1.2997,1.19,4.7035,1.1854
0,20240403,9.68,2.3567,2.27,4.9705,1.2527
