,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,12.21,0.6284,0.6,29.1556,1.8441
0,20240103,12.11,0.5984,0.62,28.9168,1.829
0,20240104,11.94,0.697,0.79,28.5109,1.8034
0,20240105,11.67,0.5974,0.78,27.8662,1.7626
0,20240108,11.26,1.0005,1.48,26.8871,1.7007
0,20240109,11.32,1.1998,1.7,27.0304,1.7097
0,20240110,11.34,0.8377,1.02,27.0782,1.7127
0,20240111,11.49,0.5777,0.67,27.4364,1.7354
0,20240112,11.5,0.3585,0.43,27.4602,1.7369
0,20240115,11.5,0.4133,0.52,27.4602,1.7369
0,20240116,11.37,0.5057,0.75,27.1498,1.7173
0,20240117,10.88,0.6831,1.27,25.9798,1.6433
0,20240118,10.37,2.9886,5.89,24.762,1.5662
0,20240119,10.02,1.1467,1.16,23.9262,1.5134
0,20240122,9.55,1.5791,1.38,22.8039,1.4424
0,20240123,9.76,0.9055,0.66,23.3054,1.4741
0,20240124,9.82,1.0005,0.69,23.4487,1.4832
0,20240125,10.18,0.9873,0.65,24.3083,1.5375
0,20240126,10.14,0.6902,0.61,24.2128,1.5315
0,20240129,9.83,0.7876,0.76,23.4725,1.4847
0,20240130,9.57,0.6415,0.73,22.8517,1.4454
0,20240131,9.11,1.1307,1.38,21.7533,1.3759
0,20240201,8.89,0.9529,1.12,21.228,1.3427
0,20240202,8.47,1.7068,2.03,20.2251,1.2793
0,20240205,7.84,1.897,1.82,18.7207,1.1841
0,20240206,8.45,1.3388,1.06,20.1773,1.2763
0,20240207,8.8,1.4296,1.02,21.013,1.3291
0,20240208,9.11,1.3571,0.93,21.7533,1.3759
0,20240219,9.33,1.1651,0.75,22.2786,1.4092
0,20240220,9.29,0.7022,0.49,22.1831,1.4031
0,20240221,9.37,1.0203,0.85,22.3741,1.4152
0,20240222,9.55,0.7403,0.65,22.8039,1.4424
0,20240223,9.65,0.8785,0.88,23.0427,1.4575
0,20240226,9.66,0.8076,0.9,23.0666,1.459
0,20240227,9.94,0.8157,0.98,23.7352,1.5013
0,20240228,9.64,1.7899,2.1,23.0188,1.456
0,20240229,10.09,1.1569,1.15,24.0934,1.5239
0,20240301,10.26,1.0835,0.99,24.4993,1.5496
0,20240304,10.19,1.0845,0.96,24.3322,1.5391
0,20240305,9.85,1.2815,1.08,23.5203,1.4877
0,20240306,9.97,0.7895,0.62,23.8068,1.5058
0,20240307,9.72,0.9015,0.84,23.2099,1.4681
0,20240308,9.74,0.618,0.6,23.2576,1.4711
0,20240311,10.18,1.346,1.44,24.3083,1.5375
0,20240312,10.26,2.6061,2.64,24.4993,1.5496
0,20240313,11.29,3.7374,2.98,26.9588,1.7052
0,20240314,11.34,4.487,2.44,27.0782,1.7127
0,20240315,11.16,2.3569,0.92,26.6484,1.6856
0,20240318,11.55,3.4115,1.17,27.5796,1.7445
0,20240319,11.65,2.0501,0.62,27.8184,1.7596
0,20240320,11.46,1.6085,0.5,27.3647,1.7309
0,20240321,11.58,1.9963,0.72,27.6513,1.749
0,20240322,11.26,1.7331,0.76,26.8871,1.7007
0,20240325,10.87,1.5738,0.73,25.9559,1.6418
0,20240326,10.98,1.3133,0.73,26.2186,1.6584
0,20240327,10.34,1.4339,0.87,24.6903,1.5617
0,20240328,10.53,1.4431,0.9,25.144,1.5904
0,20240329,10.51,0.9936,0.66,25.0963,1.5874
0,20240401,10.66,1.2839,0.95,25.4544,1.61
0,20240402,10.49,1.0635,0.82,25.0485,1.5844
0,20240403,10.23,0.9366,0.75,24.4277,1.5451
