,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.89,1.0629,1.07,10.756,1.0183
0,20240103,4.94,1.2518,1.2,10.866,1.0287
0,20240104,4.95,0.7896,0.71,10.888,1.0308
0,20240105,4.9,1.026,0.94,10.778,1.0204
0,20240108,4.82,0.7245,0.7,10.6021,1.0037
0,20240109,4.83,1.0926,1.13,10.6241,1.0058
0,20240110,4.8,0.6647,0.68,10.5581,0.9996
0,20240111,4.81,0.8578,1.0,10.5801,1.0016
0,20240112,4.78,0.9472,1.08,10.5141,0.9954
0,20240115,4.78,0.6638,0.77,10.5141,0.9954
0,20240116,4.75,0.9785,1.16,10.4481,0.9891
0,20240117,4.66,0.7572,0.92,10.2501,0.9704
0,20240118,4.59,1.2316,1.46,10.0962,0.9558
0,20240119,4.56,0.4841,0.53,10.0302,0.9496
0,20240122,4.36,0.9029,1.1,9.5903,0.9079
0,20240123,4.37,0.7649,0.88,9.6123,0.91
0,20240124,4.46,0.8166,0.99,9.8102,0.9288
0,20240125,4.64,1.0632,1.27,10.2061,0.9662
0,20240126,4.68,1.1488,1.42,10.2941,0.9746
0,20240129,4.6,0.9523,1.01,10.1182,0.9579
0,20240130,4.49,0.6537,0.69,9.8762,0.935
0,20240131,4.37,0.892,0.96,9.6123,0.91
0,20240201,4.33,0.7401,0.79,9.5243,0.9017
0,20240202,4.18,1.3878,1.59,9.1943,0.8704
0,20240205,3.93,1.6585,1.8,8.6444,0.8184
0,20240206,4.16,1.5777,1.48,9.1503,0.8663
0,20240207,4.12,1.729,1.38,9.0624,0.858
0,20240208,4.34,1.8835,1.33,9.5463,0.9038
0,20240219,4.41,1.303,0.79,9.7002,0.9183
0,20240220,4.42,0.8465,0.52,9.7222,0.9204
0,20240221,4.44,1.1553,0.79,9.7662,0.9246
0,20240222,4.46,0.7824,0.57,9.8102,0.9288
0,20240223,4.51,0.9293,0.78,9.9202,0.9392
0,20240226,4.51,0.9504,0.95,9.9202,0.9392
0,20240227,4.55,0.8673,0.93,10.0082,0.9475
0,20240228,4.4,1.6509,1.76,9.6782,0.9163
0,20240229,4.49,0.8908,0.86,9.8762,0.935
0,20240301,4.51,0.9088,0.86,9.9202,0.9392
0,20240304,4.5,0.7559,0.72,9.8982,0.9371
0,20240305,4.44,0.6802,0.67,9.7662,0.9246
0,20240306,4.44,0.4842,0.5,9.7662,0.9246
0,20240307,4.43,0.6627,0.89,9.7442,0.9225
0,20240308,4.45,0.4776,0.68,9.7882,0.9267
0,20240311,4.48,0.6522,1.07,9.8542,0.9329
0,20240312,4.52,0.9065,1.53,9.9422,0.9413
0,20240313,4.49,0.6379,1.0,9.8762,0.935
0,20240314,4.5,0.7439,1.11,9.8982,0.9371
0,20240315,4.56,0.6978,1.02,10.0302,0.9496
0,20240318,4.59,0.942,1.29,10.0962,0.9558
0,20240319,4.56,0.6898,0.88,10.0302,0.9496
0,20240320,4.61,0.8845,1.19,10.1402,0.96
0,20240321,4.62,0.6626,0.84,10.1622,0.9621
0,20240322,4.58,0.684,0.88,10.0742,0.9537
0,20240325,4.51,0.6229,0.81,9.9202,0.9392
0,20240326,4.52,0.5239,0.74,9.9422,0.9413
0,20240327,4.45,0.6713,0.99,9.7882,0.9267
0,20240328,4.48,0.5961,0.94,9.8542,0.9329
0,20240329,4.55,0.5057,0.82,10.0082,0.9475
0,20240401,4.64,0.8413,1.44,10.2061,0.9662
0,20240402,4.66,0.7138,1.14,10.2501,0.9704
0,20240403,4.68,0.8482,1.27,10.2941,0.9746
