,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.72,0.867,1.52,10.6105,0.8811
0,20240103,3.74,0.7124,1.11,10.6675,0.8858
0,20240104,3.86,1.6658,2.47,11.0098,0.9142
0,20240105,3.86,1.8387,2.13,11.0098,0.9142
0,20240108,3.7,1.4503,1.31,10.5534,0.8763
0,20240109,3.7,0.8398,0.64,10.5534,0.8763
0,20240110,3.69,0.8251,0.63,10.5249,0.874
0,20240111,3.68,1.6343,1.23,10.4964,0.8716
0,20240115,3.54,2.0093,1.52,10.097,0.8384
0,20240116,3.67,1.24,0.92,10.4678,0.8692
0,20240117,3.68,0.6555,0.5,10.4964,0.8716
0,20240118,3.64,0.7142,0.56,10.3823,0.8621
0,20240119,3.56,0.408,0.33,10.1541,0.8432
0,20240122,3.41,0.6372,0.63,9.7262,0.8077
0,20240123,3.48,0.6452,0.88,9.9259,0.8242
0,20240124,3.54,0.5661,0.92,10.097,0.8384
0,20240125,3.68,0.9962,1.68,10.4964,0.8716
0,20240126,3.74,0.6899,1.06,10.6675,0.8858
0,20240129,3.75,0.63,0.89,10.696,0.8882
0,20240130,3.7,0.6517,0.92,10.5534,0.8763
0,20240131,3.7,0.6472,0.92,10.5534,0.8763
0,20240201,3.68,0.7892,1.09,10.4964,0.8716
0,20240202,3.64,1.3136,1.93,10.3823,0.8621
0,20240205,3.66,1.2089,1.5,10.4393,0.8669
0,20240206,3.79,1.0677,1.16,10.8101,0.8977
0,20240207,4.0,1.6305,1.62,11.4091,0.9474
0,20240208,4.09,1.4776,1.23,11.6658,0.9687
0,20240219,4.08,1.1632,0.87,11.6373,0.9663
0,20240220,4.22,1.0522,0.8,12.0366,0.9995
0,20240221,4.18,0.7715,0.6,11.9225,0.99
0,20240222,4.22,0.5575,0.46,12.0366,0.9995
0,20240223,4.15,0.8134,0.81,11.8369,0.9829
0,20240226,4.16,0.702,0.81,11.8655,0.9853
0,20240227,4.17,0.6918,0.89,11.894,0.9877
0,20240228,4.2,0.8086,1.14,11.9795,0.9948
0,20240229,4.25,0.6058,0.85,12.1222,1.0066
0,20240301,4.24,0.6568,0.91,12.0936,1.0042
0,20240304,4.32,0.7071,1.02,12.3218,1.0232
0,20240305,4.31,0.595,0.86,12.2933,1.0208
0,20240306,4.3,0.3987,0.59,12.2648,1.0184
0,20240307,4.47,1.1134,1.88,12.7497,1.0587
0,20240308,4.61,0.8735,1.26,13.149,1.0919
0,20240311,4.51,1.1518,1.56,13.0827,1.0475
0,20240312,4.42,1.0464,1.27,12.8216,1.0266
0,20240313,4.45,0.7607,0.83,12.9086,1.0336
0,20240314,4.42,0.6203,0.63,12.8216,1.0266
0,20240315,4.54,0.7665,0.86,13.1697,1.0545
0,20240318,4.46,0.7635,0.88,12.9376,1.0359
0,20240319,4.53,0.6586,0.83,13.1407,1.0522
0,20240320,4.46,0.4815,0.67,12.9376,1.0359
0,20240321,4.51,0.4833,0.73,13.0827,1.0475
0,20240322,4.51,0.4626,0.73,13.0827,1.0475
0,20240325,4.5,0.551,0.97,13.0537,1.0452
0,20240326,4.53,0.475,0.9,13.1407,1.0522
0,20240327,4.62,0.7394,1.51,13.4018,1.0731
0,20240328,4.63,0.5241,0.97,13.4308,1.0754
0,20240329,4.71,0.4365,0.79,13.6629,1.094
0,20240401,4.69,0.4928,0.9,13.6048,1.0893
0,20240402,4.79,0.5347,1.0,13.8949,1.1126
0,20240403,4.88,0.5399,0.99,14.156,1.1335
