,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,28.97,0.923,0.88,,2.5472
0,20240103,28.45,0.9557,0.9,,2.5015
0,20240104,28.17,0.7158,0.67,,2.4769
0,20240105,27.55,1.0307,1.01,,2.4224
0,20240108,26.94,1.0341,1.06,,2.3687
0,20240109,26.77,0.8912,0.96,,2.3538
0,20240110,26.39,1.1275,1.22,,2.3204
0,20240111,26.82,0.9734,1.01,,2.3582
0,20240112,26.53,0.7814,0.77,,2.3327
0,20240115,26.55,0.9826,1.02,,2.3345
0,20240116,26.18,1.1533,1.21,,2.3019
0,20240117,25.51,0.9361,0.93,,2.243
0,20240118,25.62,1.5033,1.56,,2.2527
0,20240119,26.15,2.6276,2.45,,2.2993
0,20240122,24.01,2.5637,1.78,,2.1111
0,20240123,24.14,1.527,0.87,,2.1226
0,20240124,24.2,1.5319,0.84,,2.1278
0,20240125,25.12,1.4585,0.75,,2.2087
0,20240126,24.86,1.1091,0.57,,2.1859
0,20240129,23.77,1.2167,0.74,,2.09
0,20240130,22.65,1.1941,0.87,,1.9915
0,20240131,21.45,1.4073,1.08,,1.886
0,20240201,20.99,1.7719,1.39,,1.8456
0,20240202,19.52,2.0629,1.54,,1.7163
0,20240205,17.57,2.1204,1.39,,1.5449
0,20240206,16.98,3.5594,2.08,,1.493
0,20240207,16.15,4.2228,1.93,,1.42
0,20240208,17.77,3.7993,1.38,,1.5625
0,20240219,18.83,2.9326,0.93,,1.6557
0,20240220,18.94,1.6273,0.49,,1.6653
0,20240221,19.26,1.9091,0.59,,1.6935
0,20240222,19.77,1.5575,0.54,,1.7383
0,20240223,20.89,2.0109,0.85,,1.8368
0,20240226,21.18,1.798,0.9,,1.8623
0,20240227,22.05,1.8063,1.01,,1.9388
0,20240228,19.86,3.1024,1.71,,1.7462
0,20240229,20.92,2.2357,1.09,,1.8394
0,20240301,21.57,1.9614,0.9,,1.8966
0,20240304,21.49,1.4194,0.65,,1.8895
0,20240305,21.2,1.2715,0.6,,1.864
0,20240306,21.19,1.2758,0.64,,1.8632
0,20240307,20.95,1.3954,0.85,,1.8421
0,20240308,21.39,1.3119,0.9,,1.8808
0,20240311,21.58,0.9567,0.72,,1.8975
0,20240312,22.27,1.8838,1.52,,1.9581
0,20240313,22.0,1.4946,1.1,,1.9344
0,20240314,21.75,1.0963,0.78,,1.9124
0,20240315,22.05,1.2975,0.96,,1.9388
0,20240318,22.56,1.1712,0.87,,1.9836
0,20240319,22.82,1.4607,1.05,,2.0065
0,20240320,23.64,4.1176,3.16,,2.0786
0,20240321,23.98,3.682,2.01,,2.1085
0,20240322,23.98,4.3973,1.87,,2.1085
0,20240325,22.42,3.4458,1.16,,1.9713
0,20240326,22.52,2.526,0.74,,1.9801
0,20240327,22.99,4.1016,1.13,,2.0214
0,20240328,23.99,5.381,1.48,,2.1094
0,20240329,23.58,3.9489,0.99,,2.0733
0,20240401,23.38,3.6722,0.95,,2.0557
0,20240402,22.45,2.7506,0.7,,1.974
0,20240403,21.93,1.9782,0.5,,1.9282
