,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.94,0.6117,1.63,4.2623,0.7197
0,20240103,7.01,0.5881,1.38,4.3053,0.7269
0,20240104,7.05,0.7746,1.61,4.3299,0.7311
0,20240105,7.2,1.6291,2.83,4.422,0.7467
0,20240108,7.09,0.8333,1.03,4.3544,0.7352
0,20240109,7.08,0.7201,0.81,4.3483,0.7342
0,20240110,7.02,0.5876,0.65,4.3114,0.728
0,20240111,7.04,0.5901,0.65,4.3237,0.7301
0,20240112,7.07,0.5133,0.59,4.3421,0.7332
0,20240115,7.11,0.5693,0.88,4.3667,0.7373
0,20240116,7.1,0.5702,0.96,4.3606,0.7363
0,20240117,6.95,0.742,1.31,4.2684,0.7207
0,20240118,6.88,0.9587,1.61,4.2254,0.7135
0,20240119,6.81,0.4511,0.67,4.1825,0.7062
0,20240122,6.59,0.8365,1.27,4.0473,0.6834
0,20240123,6.66,0.7361,1.03,4.0903,0.6907
0,20240124,6.89,0.8241,1.11,4.2316,0.7145
0,20240125,7.0,0.9041,1.19,4.2991,0.7259
0,20240126,7.1,1.4443,1.92,4.3606,0.7363
0,20240129,7.05,0.9392,0.99,4.3299,0.7311
0,20240130,6.93,0.7045,0.73,4.2562,0.7187
0,20240131,6.82,0.8633,0.9,4.1886,0.7072
0,20240201,6.7,0.9217,0.95,4.1149,0.6948
0,20240202,6.84,1.3876,1.42,4.2009,0.7093
0,20240205,6.83,1.4185,1.47,4.1947,0.7083
0,20240206,7.1,1.5616,1.47,4.3606,0.7363
0,20240207,7.33,1.9878,1.62,4.5018,0.7601
0,20240208,7.33,1.931,1.33,4.5018,0.7601
0,20240219,7.3,1.346,0.81,4.4834,0.757
0,20240220,7.47,1.1734,0.71,4.5878,0.7747
0,20240221,7.5,1.425,0.89,4.6062,0.7778
0,20240222,7.53,0.8688,0.55,4.6247,0.7809
0,20240223,7.56,0.8753,0.65,4.6431,0.784
0,20240226,7.52,0.9533,0.84,4.6185,0.7798
0,20240227,7.51,0.8277,0.78,4.6124,0.7788
0,20240228,7.44,1.194,1.21,4.5694,0.7715
0,20240229,7.52,0.8316,0.88,4.6185,0.7798
0,20240301,7.49,0.7053,0.75,4.6001,0.7767
0,20240304,7.44,0.9731,1.08,4.5694,0.7715
0,20240305,7.39,0.6314,0.7,4.5387,0.7664
0,20240306,7.38,0.5883,0.68,4.5325,0.7653
0,20240307,7.42,0.7453,1.0,4.5571,0.7695
0,20240308,7.47,0.7044,0.97,4.5878,0.7747
0,20240311,7.46,1.089,1.49,4.5817,0.7736
0,20240312,7.35,0.9033,1.2,4.5141,0.7622
0,20240313,7.25,0.8861,1.1,4.4527,0.7518
0,20240314,7.29,0.8786,1.01,4.4773,0.756
0,20240315,7.31,0.5806,0.65,4.4895,0.7581
0,20240318,7.33,0.6912,0.8,4.5018,0.7601
0,20240319,7.25,0.6477,0.82,4.4527,0.7518
0,20240320,7.24,0.4799,0.65,4.4465,0.7508
0,20240321,7.23,0.4589,0.7,4.4404,0.7498
0,20240322,7.16,0.5717,1.0,4.3974,0.7425
0,20240325,7.13,0.6452,1.13,4.379,0.7394
0,20240326,7.27,0.8753,1.56,4.465,0.7539
0,20240327,7.19,0.5881,0.97,4.4158,0.7456
0,20240328,7.18,0.6516,1.04,4.4097,0.7446
0,20240329,7.26,0.5952,0.89,4.4588,0.7529
0,20240401,7.3,0.7346,1.09,4.4834,0.757
0,20240402,7.41,0.8812,1.28,4.551,0.7684
0,20240403,7.47,0.8559,1.24,4.5878,0.7747
