,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.07,0.6556,1.36,5.3392,0.5756
0,20240103,5.09,0.59,1.1,5.3602,0.5779
0,20240104,5.1,0.5356,0.91,5.3708,0.579
0,20240105,5.18,1.6899,2.83,5.455,0.5881
0,20240108,5.06,1.1317,1.4,5.3286,0.5745
0,20240109,5.14,1.0059,1.09,5.4129,0.5835
0,20240110,5.11,0.5726,0.58,5.3813,0.5801
0,20240111,5.14,0.6589,0.67,5.4129,0.5835
0,20240112,5.19,0.8475,0.84,5.4655,0.5892
0,20240115,5.21,0.6878,0.82,5.4866,0.5915
0,20240116,5.24,1.0665,1.41,5.5182,0.5949
0,20240117,5.19,1.1057,1.44,5.4655,0.5892
0,20240118,5.15,1.3292,1.52,5.4234,0.5847
0,20240119,5.11,0.7189,0.71,5.3813,0.5801
0,20240122,4.94,1.3433,1.37,5.2023,0.5608
0,20240123,4.95,1.1816,1.06,5.2128,0.562
0,20240124,5.08,1.3163,1.16,5.3497,0.5767
0,20240125,5.18,1.3787,1.17,5.455,0.5881
0,20240126,5.3,2.5184,2.12,5.5814,0.6017
0,20240129,5.27,1.9152,1.24,5.5498,0.5983
0,20240130,5.15,1.2482,0.75,5.4234,0.5847
0,20240131,5.08,1.2603,0.75,5.3497,0.5767
0,20240201,5.01,1.3294,0.8,5.276,0.5539
0,20240202,4.99,1.7169,1.04,5.2549,0.5516
0,20240205,4.95,2.2715,1.52,5.2128,0.5472
0,20240206,5.08,2.2583,1.44,5.3497,0.5616
0,20240207,5.26,3.1785,1.8,5.5392,0.5815
0,20240208,5.27,2.5746,1.2,5.5498,0.5826
0,20240219,5.23,1.8561,0.77,5.5077,0.5782
0,20240220,5.23,1.5991,0.66,5.5077,0.5782
0,20240221,5.32,2.5253,1.1,5.6024,0.5881
0,20240222,5.33,1.3658,0.58,5.613,0.5892
0,20240223,5.35,1.3294,0.67,5.634,0.5914
0,20240226,5.25,1.4504,0.84,5.5287,0.5804
0,20240227,5.26,0.9718,0.59,5.5392,0.5815
0,20240228,5.36,3.157,2.07,5.6446,0.5925
0,20240229,5.37,2.0961,1.27,5.6551,0.5937
0,20240301,5.32,1.4424,0.8,5.6024,0.5881
0,20240304,5.26,1.8497,1.01,5.5392,0.5815
0,20240305,5.28,1.1344,0.6,5.5603,0.5837
0,20240306,5.24,1.0899,0.56,5.5182,0.5793
0,20240307,5.25,1.1063,0.73,5.5287,0.5804
0,20240308,5.29,0.8594,0.65,5.5708,0.5848
0,20240311,5.29,0.8613,0.71,5.5708,0.5848
0,20240312,5.25,0.9509,0.94,5.5287,0.5804
0,20240313,5.24,0.9118,0.94,5.5182,0.5793
0,20240314,5.23,0.7014,0.75,5.5077,0.5782
0,20240315,5.24,0.8408,0.98,5.5182,0.5793
0,20240318,5.26,0.7646,0.9,5.5392,0.5815
0,20240319,5.21,0.6798,0.82,5.4866,0.576
0,20240320,5.23,0.6148,0.79,5.5077,0.5782
0,20240321,5.25,0.8587,1.19,5.5287,0.5804
0,20240322,5.22,0.9796,1.3,5.4971,0.5771
0,20240325,5.22,0.8703,1.12,5.4971,0.5771
0,20240326,5.28,1.0381,1.3,5.5603,0.5837
0,20240327,5.26,1.2084,1.39,5.5392,0.5815
0,20240328,5.21,1.2548,1.27,5.4866,0.576
0,20240329,5.22,0.9177,0.86,5.4971,0.5771
0,20240401,5.28,1.0752,1.02,5.5603,0.5837
0,20240402,5.29,1.2957,1.18,5.5708,0.5848
0,20240403,5.33,1.0279,0.89,5.613,0.5892
