,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,26.56,0.2839,1.0,16.3713,4.5743
0,20240103,26.58,0.2732,0.92,16.3837,4.5778
0,20240104,26.63,0.2365,0.79,16.4145,4.5864
0,20240105,26.7,0.365,1.25,16.4576,4.5984
0,20240108,26.64,0.3256,1.13,16.4206,4.5881
0,20240109,26.55,0.2289,0.77,16.3652,4.5726
0,20240110,26.88,0.4637,1.62,16.5686,4.6294
0,20240111,26.59,0.2794,0.86,16.3898,4.5795
0,20240112,26.9,0.2845,0.86,16.5809,4.6329
0,20240115,27.24,0.405,1.28,16.7905,4.6914
0,20240116,27.31,0.3136,0.94,16.8336,4.7035
0,20240117,27.11,0.3436,0.98,16.7103,4.669
0,20240118,27.23,0.4698,1.44,16.7843,4.6897
0,20240119,27.12,0.3084,0.85,16.7165,4.6708
0,20240122,26.72,0.4316,1.17,16.47,4.6019
0,20240123,27.2,0.3594,0.96,16.7658,4.6845
0,20240124,27.42,0.405,1.06,16.9014,4.7224
0,20240125,27.95,0.4765,1.21,17.2281,4.8137
0,20240126,28.2,0.4808,1.21,17.3822,4.8568
0,20240129,28.22,0.4072,0.95,17.3945,4.8602
0,20240130,28.19,0.3656,0.86,17.3761,4.855
0,20240131,28.44,0.5622,1.32,17.5301,4.8981
0,20240201,28.45,0.4236,0.92,17.5363,4.8998
0,20240202,28.18,0.5287,1.18,17.3699,4.8533
0,20240205,29.1,0.7807,1.71,17.937,5.0118
0,20240206,29.38,0.8953,1.68,18.1096,5.06
0,20240207,29.4,0.7152,1.12,18.1219,5.0634
0,20240208,28.57,0.9016,1.35,17.6103,4.9205
0,20240219,29.31,0.666,0.87,18.0664,5.0479
0,20240220,29.78,0.4405,0.56,18.3561,5.1289
0,20240221,29.79,0.4329,0.6,18.3623,5.1306
0,20240222,29.97,0.2685,0.43,18.4732,5.1616
0,20240223,29.7,0.4172,0.77,18.3068,5.1151
0,20240226,29.44,0.2807,0.63,18.1465,5.0703
0,20240227,29.39,0.2636,0.72,18.1157,5.0617
0,20240228,29.36,0.2846,0.86,18.0972,5.0565
0,20240229,29.22,0.3988,1.32,18.0109,5.0324
0,20240301,29.14,0.3612,1.1,17.9616,5.0187
0,20240304,29.56,0.4365,1.37,18.2205,5.091
0,20240305,29.9,0.3967,1.14,18.4301,5.1495
0,20240306,29.42,0.3232,0.86,18.1342,5.0669
0,20240307,29.82,0.3577,0.93,18.3808,5.1358
0,20240308,29.29,0.404,1.08,18.0541,5.0445
0,20240311,29.13,0.4369,1.14,17.9555,5.0169
0,20240312,28.56,0.5058,1.32,17.6041,4.9188
0,20240313,28.33,0.352,0.87,17.4623,4.8791
0,20240314,28.49,0.2987,0.73,17.561,4.9067
0,20240315,28.61,0.2866,0.72,17.6349,4.9274
0,20240318,28.81,0.301,0.8,17.7582,4.9618
0,20240319,28.58,0.2024,0.58,17.6164,4.9222
0,20240320,28.76,0.2139,0.74,17.7274,4.9532
0,20240321,28.62,0.2954,1.13,17.6411,4.9291
0,20240322,28.46,0.2218,0.85,17.5425,4.9015
0,20240325,28.3,0.2338,0.95,17.4439,4.874
0,20240326,28.57,0.3046,1.3,17.6103,4.9205
0,20240327,25.87,1.7048,6.71,17.739,4.3003
0,20240328,25.78,0.9645,1.75,17.6773,4.2854
0,20240329,26.25,0.6282,0.92,17.9996,4.3635
0,20240401,26.72,0.6987,0.91,18.3219,4.4416
0,20240402,26.85,0.4778,0.56,18.411,4.4632
0,20240403,26.65,0.254,0.28,18.2739,4.43
