,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,47.94,11.5779,0.87,29.137,4.0921
0,20240103,48.8,60.0936,4.61,29.6597,4.1655
0,20240104,53.68,48.4794,2.03,32.6257,4.582
0,20240105,48.31,47.3588,1.48,29.3619,4.1236
0,20240108,45.09,45.1212,1.22,27.4049,3.8488
0,20240109,41.08,40.2973,0.95,24.9677,3.5065
0,20240110,38.86,26.3409,0.55,23.6184,3.317
0,20240111,40.39,25.8736,0.62,24.5483,3.4476
0,20240112,38.79,21.934,0.59,23.5758,3.311
0,20240115,38.63,14.0538,0.44,23.4786,3.2974
0,20240116,38.28,14.1759,0.55,23.2659,3.2675
0,20240117,37.46,11.7662,0.57,22.7675,3.1975
0,20240118,38.23,12.4432,0.71,23.2355,3.2632
0,20240119,36.46,12.9108,0.87,22.1597,3.1122
0,20240122,36.03,16.1739,1.24,21.8984,3.0754
0,20240123,36.11,14.5052,1.07,21.947,3.0823
0,20240124,35.27,13.1954,0.97,21.4364,3.0106
0,20240125,35.7,10.5043,0.76,21.6978,3.0473
0,20240126,34.97,8.1279,0.6,21.2541,2.985
0,20240129,32.46,12.3976,0.99,19.7286,2.7707
0,20240130,30.53,11.267,0.96,18.5556,2.606
0,20240131,28.38,9.244,0.83,17.2488,2.4225
0,20240201,28.38,8.1873,0.79,17.2488,2.4225
0,20240202,27.38,9.3861,0.95,16.641,2.3371
0,20240205,24.64,10.1773,1.01,14.9757,2.1032
0,20240206,24.68,11.0947,1.15,15.0,2.1066
0,20240207,25.08,13.61,1.42,15.2432,2.1408
0,20240208,27.59,11.8782,1.13,16.7687,2.355
0,20240219,29.2,12.756,1.14,17.7472,2.4925
0,20240220,29.79,10.4054,0.87,18.1058,2.5428
0,20240221,30.64,9.444,0.79,18.6224,2.6154
0,20240222,31.15,5.9679,0.51,18.9324,2.6589
0,20240223,33.4,7.9216,0.79,20.2999,2.851
0,20240226,32.92,7.0335,0.76,20.0082,2.81
0,20240227,33.94,7.9788,0.98,20.6281,2.897
0,20240228,30.57,12.2666,1.6,18.5799,2.6094
0,20240229,33.63,9.742,1.18,20.4397,2.8706
0,20240301,36.99,24.2355,2.7,22.4818,3.1574
0,20240304,37.46,28.9556,2.36,22.7675,3.1975
0,20240305,37.0,22.963,1.38,22.4879,3.1582
0,20240306,35.7,14.3409,0.73,21.6978,3.0473
0,20240307,34.55,9.858,0.49,20.9988,2.9491
0,20240308,35.45,9.1616,0.46,21.5458,3.0259
0,20240311,35.74,8.6023,0.5,21.7221,3.0507
0,20240312,35.99,9.1801,0.71,21.874,3.072
0,20240313,36.55,10.716,1.05,22.2144,3.1198
0,20240314,35.12,8.1674,0.86,21.3453,2.9978
0,20240315,35.62,5.9598,0.65,21.6492,3.0405
0,20240318,39.18,16.964,1.99,23.8129,3.3443
0,20240319,38.8,25.5477,2.51,23.5819,3.3119
0,20240320,38.95,12.2138,0.91,23.6731,3.3247
0,20240321,39.37,13.2601,0.96,23.9283,3.3605
0,20240322,39.75,15.5933,1.05,24.1593,3.393
0,20240325,38.22,9.8083,0.59,23.2294,3.2624
0,20240326,40.0,16.8066,1.1,24.3112,3.4143
0,20240327,39.78,18.8032,1.39,24.1775,3.3955
0,20240328,41.45,21.4358,1.44,25.1925,3.5381
0,20240329,42.79,20.6306,1.25,26.007,3.6525
0,20240401,43.6,20.1137,1.15,26.4993,3.7216
0,20240402,40.64,16.0343,0.82,24.7002,3.4689
0,20240403,38.28,13.6294,0.7,23.2659,3.2675
