,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.66,1.6442,2.54,12.7754,1.0341
0,20240103,2.7,1.0754,1.27,12.9675,1.0497
0,20240104,2.75,1.3042,1.38,13.2076,1.0691
0,20240105,2.72,1.1468,1.05,13.0635,1.0574
0,20240108,2.68,0.7681,0.65,12.8714,1.0419
0,20240109,2.8,2.1271,1.79,13.4478,1.0885
0,20240110,2.73,1.8545,1.44,13.1116,1.0613
0,20240111,2.71,1.0108,0.7,13.0155,1.0536
0,20240112,2.73,0.9767,0.71,13.1116,1.0613
0,20240115,2.74,0.9599,0.71,13.1596,1.0652
0,20240116,2.73,1.0069,0.73,13.1116,1.0613
0,20240117,2.72,1.0533,0.91,13.0635,1.0574
0,20240118,2.66,1.334,1.33,12.7754,1.0341
0,20240119,2.62,0.7417,0.7,12.5833,1.0186
0,20240122,2.44,1.507,1.48,11.7188,0.9486
0,20240123,2.41,1.2261,1.09,11.5747,0.9369
0,20240124,2.51,1.3961,1.19,12.055,0.9758
0,20240125,2.63,1.1054,0.89,12.6313,1.0225
0,20240126,2.72,1.401,1.17,13.0635,1.0574
0,20240129,2.65,1.1452,0.86,12.7273,1.0302
0,20240130,2.57,0.9884,0.79,12.3431,0.9991
0,20240131,2.46,1.4343,1.19,11.8148,0.9564
0,20240201,2.39,1.4254,1.17,11.4786,0.9292
0,20240202,2.31,1.7402,1.36,11.0944,0.8981
0,20240205,2.09,2.3344,1.73,10.0378,0.8125
0,20240206,2.12,2.6218,1.65,10.1819,0.8242
0,20240207,2.06,2.4176,1.26,9.8937,0.8009
0,20240208,2.21,2.4316,1.15,10.6141,0.8592
0,20240219,2.28,1.9599,0.85,10.9503,0.8864
0,20240220,2.31,1.0481,0.45,11.0944,0.8981
0,20240221,2.36,1.1359,0.54,11.3345,0.9175
0,20240222,2.37,0.7528,0.42,11.3826,0.9214
0,20240223,2.41,0.9182,0.63,11.5747,0.9369
0,20240226,2.39,1.053,0.91,11.4786,0.9292
0,20240227,2.42,0.7341,0.75,11.6227,0.9408
0,20240228,2.32,1.5767,1.72,11.1424,0.9019
0,20240229,2.36,1.0321,1.02,11.3345,0.9175
0,20240301,2.39,1.1432,1.08,11.4786,0.9292
0,20240304,2.36,0.8989,0.81,11.3345,0.9175
0,20240305,2.32,0.6855,0.64,11.1424,0.9019
0,20240306,2.34,0.6001,0.56,11.2385,0.9097
0,20240307,2.32,0.8517,0.98,11.1424,0.9019
0,20240308,2.33,0.6205,0.74,11.1905,0.9058
0,20240311,2.36,0.8008,1.1,11.3345,0.9175
0,20240312,2.36,0.8521,1.2,11.3345,0.9175
0,20240313,2.34,0.57,0.77,11.2385,0.9097
0,20240314,2.37,0.9963,1.35,11.3826,0.9214
0,20240315,2.38,0.7187,0.94,11.4306,0.9253
0,20240318,2.42,0.7476,0.95,11.6227,0.9408
0,20240319,2.38,0.6978,0.9,11.4306,0.9253
0,20240320,2.4,0.5004,0.67,11.5267,0.933
0,20240321,2.4,0.7548,1.03,11.5267,0.933
0,20240322,2.36,0.7075,1.03,11.3345,0.9175
0,20240325,2.34,0.7318,1.07,11.2385,0.9097
0,20240326,2.34,0.7942,1.17,11.2385,0.9097
0,20240327,2.31,0.787,1.13,11.0944,0.8981
0,20240328,2.33,0.6283,0.83,11.1905,0.9058
0,20240329,2.41,1.1413,1.56,11.5747,0.9369
0,20240401,2.41,0.9961,1.22,11.5747,0.9369
0,20240402,2.45,1.0535,1.21,11.7668,0.9525
0,20240403,2.49,1.0086,1.09,11.9589,0.968
