,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,7.2,7.3016,0.61,16.3114,2.4877
0,20240103,7.29,5.0811,0.45,16.5153,2.5188
0,20240104,7.4,4.4334,0.52,16.7645,2.5568
0,20240105,7.19,3.6821,0.54,16.2888,2.4843
0,20240108,7.18,3.3729,0.62,16.2661,2.4808
0,20240109,7.29,3.5545,0.75,16.5153,2.5188
0,20240110,7.27,3.1255,0.78,16.47,2.5119
0,20240111,7.42,8.8504,2.45,16.8098,2.5637
0,20240112,7.21,6.5018,1.44,16.3341,2.4912
0,20240115,7.56,12.8623,2.53,17.127,2.6121
0,20240116,7.41,11.5204,1.65,16.7872,2.5603
0,20240117,7.7,22.3185,2.6,17.4442,2.6605
0,20240118,7.69,19.4173,1.56,17.4215,2.657
0,20240119,7.89,24.2749,1.67,17.8746,2.7261
0,20240122,7.12,20.3838,1.13,16.1302,2.4601
0,20240123,7.01,17.0003,0.87,15.881,2.4221
0,20240124,7.71,9.8679,0.48,17.4668,2.6639
0,20240125,7.71,21.8491,1.2,17.4668,2.6639
0,20240126,7.83,18.5278,0.99,17.7387,2.7054
0,20240129,7.05,15.9713,0.91,15.9716,2.4359
0,20240130,7.18,13.4142,0.81,16.2661,2.4808
0,20240131,6.46,12.5722,0.79,14.635,2.232
0,20240201,5.81,12.4409,0.76,13.1624,2.0074
0,20240202,6.02,14.033,0.96,13.6382,2.08
0,20240205,5.42,10.6513,0.78,12.2789,1.8727
0,20240206,5.5,10.4508,0.83,12.4601,1.9003
0,20240207,5.2,7.4227,0.62,11.7805,1.7967
0,20240208,5.55,7.5891,0.69,12.5734,1.9176
0,20240219,5.66,7.1042,0.71,12.8226,1.9556
0,20240220,5.74,5.4529,0.63,13.0038,1.9833
0,20240221,5.95,8.8929,1.17,13.4796,2.0558
0,20240222,5.99,5.8184,0.8,13.5702,2.0696
0,20240223,6.17,5.9097,0.85,13.978,2.1318
0,20240226,6.23,6.979,1.05,14.1139,2.1526
0,20240227,6.32,4.8405,0.73,14.3178,2.1837
0,20240228,5.87,8.6537,1.33,13.2983,2.0282
0,20240229,6.07,5.4202,0.84,13.7514,2.0973
0,20240301,6.07,4.2628,0.67,13.7514,2.0973
0,20240304,6.11,3.6794,0.61,13.8421,2.1111
0,20240305,6.01,3.0839,0.57,13.6155,2.0765
0,20240306,6.1,3.0228,0.6,13.8194,2.1076
0,20240307,6.07,3.4832,0.89,13.7514,2.0973
0,20240308,6.18,2.6839,0.77,14.0006,2.1353
0,20240311,6.38,5.0451,1.58,14.4537,2.2044
0,20240312,6.46,4.0292,1.16,14.635,2.232
0,20240313,6.45,3.0234,0.83,14.6123,2.2286
0,20240314,6.55,4.0048,1.1,14.8389,2.2631
0,20240315,6.58,2.4612,0.66,14.9068,2.2735
0,20240318,6.63,2.4909,0.67,15.0201,2.2908
0,20240319,6.73,4.0002,1.25,15.2467,2.3253
0,20240320,6.86,3.034,0.95,15.5412,2.3702
0,20240321,6.8,2.8969,0.91,15.4052,2.3495
0,20240322,6.75,2.8477,0.96,15.292,2.3322
0,20240325,6.7,3.5499,1.16,15.1787,2.315
0,20240326,7.03,5.6803,1.74,15.9263,2.429
0,20240327,6.73,5.4395,1.51,15.2467,2.3253
0,20240328,6.86,3.2476,0.8,15.5412,2.3702
0,20240329,7.03,3.4024,0.82,15.9263,2.429
0,20240401,7.47,6.7255,1.58,16.9231,2.581
0,20240402,7.4,6.2055,1.27,13.8197,2.3517
0,20240403,7.42,5.5966,1.12,13.8571,2.3581
