,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.63,1.2837,2.27,12.731,1.0944
0,20240103,3.78,1.3734,1.82,13.2571,1.1397
0,20240104,3.8,0.8693,0.9,13.3272,1.1457
0,20240105,3.81,0.9227,0.86,13.3623,1.1487
0,20240108,3.81,0.927,0.88,13.3623,1.1487
0,20240109,3.88,0.8231,0.77,13.6078,1.1698
0,20240110,3.98,1.2876,1.31,13.9585,1.2
0,20240111,3.9,1.003,1.04,13.6779,1.1758
0,20240112,3.93,0.4858,0.49,13.7831,1.1849
0,20240115,3.96,0.5574,0.62,13.8883,1.1939
0,20240116,3.97,0.4448,0.53,13.9234,1.1969
0,20240117,3.9,0.5833,0.77,13.6779,1.1758
0,20240118,3.91,0.7499,1.22,13.713,1.1789
0,20240119,3.82,0.5955,1.06,13.3973,1.1517
0,20240122,3.63,0.6766,1.15,12.731,1.0944
0,20240123,3.75,0.6526,1.07,13.1518,1.1306
0,20240124,3.83,0.7215,1.11,13.4324,1.1547
0,20240125,3.86,0.8265,1.22,13.5376,1.1638
0,20240126,3.97,0.8038,1.16,13.9234,1.1969
0,20240129,4.01,0.9692,1.32,14.0637,1.209
0,20240130,4.02,0.9572,1.2,14.0988,1.212
0,20240131,4.04,0.9978,1.17,14.1689,1.218
0,20240201,3.98,0.6667,0.73,13.9585,1.2
0,20240202,4.05,1.0942,1.24,14.204,1.2211
0,20240205,4.09,1.3418,1.43,14.3443,1.2331
0,20240206,4.25,1.2268,1.21,14.9054,1.2814
0,20240207,4.47,1.3899,1.3,15.677,1.3477
0,20240208,4.26,1.7269,1.51,14.9405,1.2844
0,20240219,4.33,1.3477,0.99,15.186,1.3055
0,20240220,4.36,0.8917,0.63,15.2912,1.3145
0,20240221,4.3,0.9419,0.72,15.0808,1.2964
0,20240222,4.42,0.7999,0.64,15.5016,1.3326
0,20240223,4.31,0.8486,0.74,15.1158,1.2995
0,20240226,4.12,1.2108,1.25,14.4495,1.2422
0,20240227,4.24,0.9146,0.97,14.8703,1.2783
0,20240228,4.24,0.8073,0.86,14.8703,1.2783
0,20240229,4.36,0.7445,0.81,15.2912,1.3145
0,20240301,4.28,0.8432,0.93,15.0106,1.2904
0,20240304,4.38,0.8765,0.97,15.3613,1.3206
0,20240305,4.44,0.5893,0.7,15.5718,1.3386
0,20240306,4.4,0.7921,1.03,15.4315,1.3266
0,20240307,4.4,0.5321,0.69,15.4315,1.3266
0,20240308,4.61,0.7433,1.02,16.168,1.3899
0,20240311,4.4,1.4638,2.07,15.4315,1.3266
0,20240312,4.24,1.1565,1.4,14.8703,1.2783
0,20240313,4.23,0.6231,0.66,14.8353,1.2753
0,20240314,4.32,0.7383,0.82,15.1509,1.3025
0,20240315,4.3,0.529,0.56,15.0808,1.2964
0,20240318,4.32,0.5657,0.63,15.1509,1.3025
0,20240319,4.24,0.5831,0.81,14.8703,1.2783
0,20240320,4.26,0.4765,0.78,14.9405,1.2844
0,20240321,4.26,0.4769,0.82,14.9405,1.2844
0,20240322,4.26,0.5299,1.01,14.9405,1.2844
0,20240325,4.35,0.8438,1.6,15.2561,1.3115
0,20240326,4.35,0.4825,0.83,15.2561,1.3115
0,20240327,4.37,0.6177,1.1,15.3263,1.3175
0,20240328,4.36,0.6296,1.07,15.2912,1.3145
0,20240329,4.09,1.7237,2.78,12.591,1.2133
0,20240401,4.19,1.0433,1.21,12.8988,1.243
0,20240402,4.22,0.965,1.07,12.9912,1.2519
0,20240403,4.34,0.9155,0.92,13.3606,1.2875
