,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.16,2.6918,1.1,50.9109,1.7121
0,20240103,5.13,2.3632,0.91,50.6149,1.7021
0,20240104,5.1,1.5896,0.6,50.3189,1.6922
0,20240105,5.0,2.2521,0.92,49.3323,1.659
0,20240108,4.89,1.9724,0.83,48.247,1.6225
0,20240109,4.93,1.8006,0.83,48.6416,1.6358
0,20240110,4.81,1.69,0.85,47.4577,1.5959
0,20240111,4.94,2.7683,1.49,48.7403,1.6391
0,20240112,4.84,1.7277,0.82,47.7537,1.6059
0,20240115,4.87,1.3087,0.66,48.0497,1.6159
0,20240116,4.82,1.9411,1.04,47.5563,1.5993
0,20240117,4.69,1.3889,0.74,46.2737,1.5561
0,20240118,4.7,2.369,1.3,46.3724,1.5594
0,20240119,4.66,1.5278,0.87,45.9777,1.5462
0,20240122,4.38,2.2496,1.32,43.2151,1.4533
0,20240123,4.51,2.8529,1.51,44.4977,1.4964
0,20240124,4.55,2.2782,1.1,44.8924,1.5097
0,20240125,4.71,2.946,1.31,46.471,1.5628
0,20240126,4.68,2.6476,1.12,46.175,1.5528
0,20240129,4.55,1.9912,0.77,44.8924,1.5097
0,20240130,4.4,1.7956,0.71,43.4124,1.4599
0,20240131,4.24,2.2917,0.98,41.8338,1.4068
0,20240201,4.24,2.2957,0.98,41.8338,1.4068
0,20240202,4.08,2.4129,1.09,40.2552,1.3537
0,20240205,3.79,3.5868,1.66,37.3939,1.2575
0,20240206,4.02,3.2755,1.32,39.6632,1.3338
0,20240207,4.34,5.0932,1.84,42.8204,1.44
0,20240208,4.4,4.0111,1.2,43.4124,1.4599
0,20240219,4.55,4.0467,1.1,44.8924,1.5097
0,20240220,4.67,5.4826,1.37,46.0764,1.5495
0,20240221,4.75,7.2729,1.66,46.8657,1.576
0,20240222,4.81,5.6999,1.1,47.4577,1.5959
0,20240223,4.77,5.1694,0.97,47.063,1.5827
0,20240226,5.08,9.0528,1.64,50.1216,1.6855
0,20240227,5.31,10.0525,1.54,52.3909,1.7618
0,20240228,4.95,8.6155,1.16,48.839,1.6424
0,20240229,5.14,5.7543,0.75,50.7136,1.7054
0,20240301,5.25,6.2236,0.81,51.7989,1.7419
0,20240304,5.78,12.3215,1.55,57.0281,1.9178
0,20240305,5.63,15.6109,1.82,55.5482,1.868
0,20240306,5.55,8.0876,0.83,54.7589,1.8415
0,20240307,5.38,6.6447,0.69,53.0816,1.7851
0,20240308,5.53,6.2544,0.64,54.5615,1.8348
0,20240311,5.73,7.6215,0.78,56.5348,1.9012
0,20240312,5.64,6.437,0.73,55.6468,1.8713
0,20240313,5.7,5.7543,0.82,56.2388,1.8912
0,20240314,5.99,12.0668,1.84,59.1001,1.9875
0,20240315,6.09,8.6648,1.14,60.0867,2.0206
0,20240318,6.29,12.2707,1.51,62.06,2.087
0,20240319,6.09,9.0292,1.0,60.0867,2.0206
0,20240320,5.97,7.232,0.76,58.9028,1.9808
0,20240321,5.96,5.5853,0.57,58.8041,1.9775
0,20240322,5.8,6.3002,0.74,57.2255,1.9244
0,20240325,5.65,4.8862,0.6,55.7455,1.8747
0,20240326,5.51,4.7783,0.72,54.3642,1.8282
0,20240327,5.32,4.4176,0.77,52.4896,1.7652
0,20240328,5.48,4.7784,0.92,54.0682,1.8182
0,20240329,5.48,3.2441,0.64,54.0682,1.8182
0,20240401,5.63,4.324,0.98,55.5482,1.868
0,20240402,5.43,4.3868,1.02,53.5749,1.8017
0,20240403,5.31,3.0314,0.72,52.3909,1.7618
