,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.6,2.077,1.2,,4.0875
0,20240103,2.62,1.6155,0.89,,4.119
0,20240104,2.63,1.0732,0.6,,4.1347
0,20240105,2.61,1.3462,0.82,,4.1033
0,20240108,2.54,1.321,0.85,,3.9932
0,20240109,2.57,1.1804,0.79,,4.0404
0,20240110,2.56,1.2626,0.97,,4.0247
0,20240111,2.61,1.8341,1.48,,4.1033
0,20240112,2.59,1.7507,1.26,,4.0718
0,20240115,2.61,1.5665,1.07,,4.1033
0,20240116,2.56,1.5289,1.01,,4.0247
0,20240117,2.49,1.5218,0.96,,3.9146
0,20240118,2.44,2.7825,1.7,,3.836
0,20240119,2.4,1.5564,0.85,,3.7731
0,20240122,2.26,2.3776,1.33,,3.553
0,20240123,2.26,2.654,1.36,,3.553
0,20240124,2.35,2.9817,1.37,,3.6945
0,20240125,2.44,2.6435,1.07,,3.836
0,20240126,2.68,4.314,1.77,,4.2133
0,20240129,2.43,10.1088,3.38,,3.8203
0,20240130,2.34,8.6789,1.91,,3.6788
0,20240131,2.12,7.7526,1.35,,3.3329
0,20240201,1.94,8.9673,1.34,,3.0499
0,20240202,2.0,10.3107,1.29,,3.1443
0,20240205,1.8,4.9877,0.54,,2.8298
0,20240206,1.62,7.1057,0.87,,2.5469
0,20240207,1.46,5.6347,0.72,,2.2953
0,20240208,1.51,13.0507,1.76,,2.3739
0,20240219,1.54,9.0537,1.1,,2.4211
0,20240220,1.57,6.1775,0.78,,2.4682
0,20240221,1.66,8.6356,1.05,,2.6097
0,20240222,1.74,6.4052,0.75,,2.7355
0,20240223,1.84,6.089,0.7,,2.8927
0,20240226,1.9,6.6569,0.92,,2.987
0,20240227,1.92,4.5179,0.67,,3.0185
0,20240228,1.79,9.1058,1.41,,2.8141
0,20240229,1.97,5.5537,0.85,,3.0971
0,20240301,1.94,12.8538,2.01,,3.0499
0,20240304,2.13,12.497,1.62,,3.3486
0,20240305,2.22,15.2339,1.71,,3.4901
0,20240306,2.14,9.1683,0.83,,3.3644
0,20240307,2.19,7.9824,0.72,,3.443
0,20240308,2.33,9.2828,0.8,,3.6631
0,20240311,2.5,8.528,0.79,,3.9303
0,20240312,2.34,11.4744,1.14,,3.6788
0,20240313,2.31,6.936,0.75,,3.6316
0,20240314,2.27,6.2352,0.71,,3.5687
0,20240315,2.24,4.321,0.51,,3.5216
0,20240318,2.26,4.1139,0.55,,3.553
0,20240319,2.24,3.8498,0.58,,3.5216
0,20240320,2.46,9.4044,1.85,,3.8674
0,20240321,2.6,12.2394,2.19,,4.0875
0,20240322,2.62,7.2885,1.07,,4.119
0,20240325,2.54,6.649,0.9,,3.9932
0,20240326,2.48,5.1721,0.66,,3.8989
0,20240327,2.39,3.3734,0.41,,3.7574
0,20240328,2.4,3.1919,0.46,,3.7731
0,20240329,2.64,5.3464,1.04,,4.1504
0,20240401,2.7,8.0899,1.7,,4.2448
0,20240402,2.71,5.0886,1.01,,4.2605
0,20240403,2.82,7.872,1.57,,4.4334
