,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.43,0.3525,1.47,26.7458,3.8839
0,20240103,8.37,0.2602,1.01,26.5992,3.8396
0,20240104,8.29,0.2021,0.71,26.3449,3.8029
0,20240105,8.13,0.286,1.03,25.8365,3.7295
0,20240108,7.96,0.2932,1.07,25.2962,3.6516
0,20240109,8.1,0.2935,1.05,25.7411,3.7158
0,20240110,8.08,0.2379,0.89,25.6776,3.7066
0,20240111,8.19,0.2345,0.89,26.0271,3.7571
0,20240112,8.33,0.3984,1.48,26.4721,3.8213
0,20240115,8.13,0.2855,0.98,25.8365,3.7295
0,20240116,8.08,0.2482,0.86,25.6776,3.7066
0,20240117,7.96,0.6404,2.28,25.2962,3.6516
0,20240118,7.96,0.5431,1.5,25.2962,3.6516
0,20240119,7.87,0.3173,0.75,25.0102,3.6103
0,20240122,7.44,0.4719,1.16,23.6437,3.413
0,20240123,7.48,0.4439,1.0,23.7708,3.4314
0,20240124,7.68,0.4346,0.9,24.4064,3.5231
0,20240125,8.11,0.4796,1.08,25.7729,3.7204
0,20240126,8.11,0.4512,1.05,25.7729,3.7204
0,20240129,7.94,0.3539,0.78,25.2327,3.6424
0,20240130,7.67,0.3919,0.91,24.3746,3.5185
0,20240131,7.3,0.5207,1.23,23.1988,3.3488
0,20240201,7.23,0.4079,0.93,22.9763,3.3167
0,20240202,6.85,0.6086,1.43,21.7687,3.1424
0,20240205,6.22,0.8408,1.84,19.7666,2.8534
0,20240206,6.39,0.8694,1.57,20.3069,2.9313
0,20240207,6.28,0.9706,1.49,19.9573,2.8809
0,20240208,6.85,1.4071,1.9,21.7687,3.1424
0,20240219,7.26,1.0031,1.07,23.0717,3.3304
0,20240220,7.24,0.4562,0.45,23.0081,3.3213
0,20240221,7.31,0.4484,0.48,23.2306,3.3534
0,20240222,7.43,0.3644,0.43,23.6119,3.4084
0,20240223,7.53,0.4008,0.54,23.9297,3.4543
0,20240226,7.57,0.4184,0.78,24.0568,3.4727
0,20240227,7.7,0.3715,0.89,24.47,3.5323
0,20240228,7.43,0.6325,1.58,23.6119,3.4084
0,20240229,7.59,0.404,0.92,24.1204,3.4818
0,20240301,7.58,0.465,1.04,24.0886,3.4772
0,20240304,7.68,0.393,0.86,24.4064,3.5231
0,20240305,7.43,0.3329,0.73,23.6119,3.4084
0,20240306,7.32,0.4995,1.12,23.2624,3.358
0,20240307,7.33,0.5242,1.25,23.2941,3.3626
0,20240308,7.26,0.2782,0.63,23.0717,3.3304
0,20240311,7.29,0.367,0.9,23.167,3.3442
0,20240312,7.59,0.6024,1.5,24.1204,3.4818
0,20240313,7.41,0.5033,1.11,23.5484,3.3993
0,20240314,7.39,0.332,0.73,23.4848,3.3901
0,20240315,7.42,0.2242,0.54,23.5801,3.4038
0,20240318,7.5,0.3541,0.87,23.8344,3.4405
0,20240319,7.45,0.318,0.79,23.6755,3.4176
0,20240320,7.47,0.2661,0.77,23.739,3.4268
0,20240321,7.85,1.0278,3.44,24.9467,3.6011
0,20240322,7.67,0.7652,1.75,24.3746,3.5185
0,20240325,7.52,0.6508,1.19,23.8979,3.4497
0,20240326,7.47,0.5729,0.95,23.739,3.4268
0,20240327,7.16,0.3758,0.57,22.7539,3.2846
0,20240328,7.37,0.5288,0.78,23.4213,3.3809
0,20240329,7.45,0.3122,0.54,23.6755,3.4176
0,20240401,7.68,0.486,1.0,24.4064,3.5231
0,20240402,7.75,0.5293,1.16,24.6289,3.5552
0,20240403,7.8,0.3997,0.9,24.7901,3.5773
