,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.28,0.9051,1.44,27.025,1.565
0,20240103,4.37,0.8038,1.09,27.5933,1.5979
0,20240104,4.35,0.5118,0.63,27.467,1.5906
0,20240105,4.34,0.5979,0.76,27.4038,1.5869
0,20240108,4.28,0.5677,0.82,27.025,1.565
0,20240109,4.28,0.5273,0.78,27.025,1.565
0,20240110,4.28,0.6047,1.01,27.025,1.565
0,20240111,4.2,0.7129,1.27,26.5199,1.5357
0,20240112,4.23,0.6719,1.12,26.7093,1.5467
0,20240115,4.23,0.5141,0.83,26.7093,1.5467
0,20240116,4.22,0.4836,0.8,26.6461,1.543
0,20240117,4.18,0.4796,0.8,26.3936,1.5284
0,20240118,4.15,0.9555,1.67,26.2041,1.5175
0,20240119,4.07,0.7188,1.16,25.699,1.4882
0,20240122,3.96,0.8608,1.37,25.0044,1.448
0,20240123,4.06,0.6906,0.99,25.6359,1.4845
0,20240124,4.16,0.6927,0.93,26.2673,1.5211
0,20240125,4.28,0.7151,0.91,27.025,1.565
0,20240126,4.34,0.6901,0.94,27.4038,1.5869
0,20240129,4.39,1.0272,1.41,27.7196,1.6052
0,20240130,4.38,0.7748,1.02,27.6564,1.6016
0,20240131,4.47,1.5718,2.02,28.2247,1.6345
0,20240201,4.4,1.0312,1.08,27.7827,1.6089
0,20240202,4.47,1.0121,0.99,28.2247,1.6345
0,20240205,4.47,1.0512,0.97,28.2247,1.6345
0,20240206,4.47,1.0809,0.99,28.2247,1.6345
0,20240207,4.42,1.4031,1.22,27.909,1.6162
0,20240208,4.42,1.227,1.1,27.909,1.6162
0,20240219,4.65,1.3141,1.14,29.3613,1.7003
0,20240220,4.66,0.5861,0.48,29.4244,1.7039
0,20240221,4.62,0.7219,0.64,29.1718,1.6893
0,20240222,4.75,0.7177,0.68,29.9927,1.7368
0,20240223,4.8,0.5934,0.65,30.3084,1.7551
0,20240226,4.64,0.7306,0.93,29.2981,1.6966
0,20240227,4.65,0.5896,0.88,29.3613,1.7003
0,20240228,4.72,0.6964,1.04,29.8033,1.7259
0,20240229,4.68,0.5795,0.87,29.5507,1.7112
0,20240301,4.63,0.5938,0.93,29.235,1.693
0,20240304,4.78,0.8382,1.31,30.1821,1.7478
0,20240305,4.91,0.8938,1.36,31.003,1.7953
0,20240306,4.96,0.7077,0.98,31.3187,1.8136
0,20240307,5.01,0.6947,0.96,31.6344,1.8319
0,20240308,5.07,0.7197,0.97,32.0133,1.8539
0,20240311,5.08,0.933,1.21,32.0764,1.8575
0,20240312,4.83,0.9441,1.2,30.4978,1.7661
0,20240313,4.96,0.834,1.04,31.3187,1.8136
0,20240314,4.97,0.5198,0.63,31.3818,1.8173
0,20240315,5.08,0.9706,1.23,32.0764,1.8575
0,20240318,5.14,0.8434,1.0,32.4552,1.8794
0,20240319,5.02,0.6746,0.82,31.6975,1.8356
0,20240320,5.03,0.5325,0.69,31.7607,1.8392
0,20240321,4.97,0.4777,0.67,31.3818,1.8173
0,20240322,5.01,0.5975,0.85,31.6344,1.8319
0,20240325,5.0,0.5685,0.91,31.5713,1.8283
0,20240326,5.04,0.6512,1.14,31.8238,1.8429
0,20240327,4.99,0.4578,0.81,31.5081,1.8246
0,20240328,5.01,0.5906,1.07,31.6344,1.8319
0,20240329,5.05,0.5275,0.92,31.887,1.8465
0,20240401,4.95,0.7156,1.28,31.2555,1.81
0,20240402,4.99,0.7008,1.19,31.5081,1.8246
0,20240403,4.98,0.5066,0.85,31.445,1.8209
