,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.21,0.8806,0.55,,1.6182
0,20240103,9.26,0.8173,0.49,,1.627
0,20240104,9.17,0.7285,0.42,,1.6112
0,20240105,9.09,0.8602,0.58,,1.5971
0,20240108,8.86,0.9092,0.92,,1.5567
0,20240109,8.78,0.8311,0.99,,1.5427
0,20240110,9.11,2.3358,2.82,,1.6006
0,20240111,9.18,1.7552,1.55,,1.6129
0,20240112,8.98,1.016,0.76,,1.5778
0,20240115,9.5,5.7439,4.19,,1.6692
0,20240116,9.8,5.6406,2.41,,1.7219
0,20240117,9.8,5.8586,1.78,,1.7219
0,20240118,10.1,6.2594,1.56,,1.7746
0,20240119,9.73,3.9531,0.81,,1.7096
0,20240122,10.1,6.8642,1.25,,1.7746
0,20240123,10.71,8.2505,1.44,,1.8818
0,20240124,11.47,9.9827,1.6,,2.0153
0,20240125,10.98,8.4877,1.2,,1.9292
0,20240126,10.81,7.2534,0.97,,1.8993
0,20240129,10.08,5.1503,0.63,,1.7711
0,20240130,10.24,5.0459,0.64,,1.7992
0,20240131,10.26,4.855,0.68,,1.8027
0,20240201,9.99,4.3931,0.71,,1.7553
0,20240202,9.91,5.8184,1.09,,1.7412
0,20240205,8.92,4.1482,0.82,,1.5673
0,20240206,9.15,4.5846,0.94,,1.6077
0,20240207,9.37,3.8798,0.82,,1.6463
0,20240208,9.47,3.6184,0.79,,1.6639
0,20240219,9.45,2.8403,0.64,,1.6604
0,20240220,9.89,4.5436,1.19,,1.7377
0,20240221,9.77,4.9185,1.26,,1.7166
0,20240222,9.87,3.2871,0.83,,1.7342
0,20240223,9.92,3.0173,0.79,,1.743
0,20240226,9.82,2.3873,0.64,,1.7254
0,20240227,9.99,2.7328,0.75,,1.7553
0,20240228,9.9,5.6857,1.74,,1.7395
0,20240229,10.12,3.5913,1.05,,1.7781
0,20240301,10.15,2.703,0.78,,1.7834
0,20240304,10.0,1.9923,0.58,,1.757
0,20240305,9.78,2.2178,0.66,,1.7184
0,20240306,9.78,1.6919,0.52,,1.7184
0,20240307,9.62,1.744,0.71,,1.6903
0,20240308,9.6,1.1027,0.53,,1.6867
0,20240311,9.81,1.615,0.92,,1.7236
0,20240312,10.2,4.3397,2.59,,1.7922
0,20240313,10.21,3.0541,1.46,,1.7939
0,20240314,10.24,2.7664,1.17,,1.7992
0,20240315,10.59,4.76,1.85,,1.8607
0,20240318,10.7,5.3347,1.61,,1.88
0,20240319,10.32,3.2278,0.8,,1.8132
0,20240320,10.35,2.3918,0.62,,1.8185
0,20240321,10.43,3.0144,0.82,,1.8326
0,20240322,10.23,2.7895,0.74,,1.7974
0,20240325,9.77,2.4294,0.72,,1.7166
0,20240326,9.79,1.8818,0.68,,1.7201
0,20240327,9.24,2.1317,0.85,,1.6235
0,20240328,9.28,1.8232,0.74,,1.6305
0,20240329,9.36,2.0128,0.91,,1.6446
0,20240401,9.47,1.6189,0.79,,1.6767
0,20240402,9.31,1.3728,0.72,,1.6484
0,20240403,9.18,1.1387,0.64,,1.6254
