,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.09,0.5881,0.87,,4.5185
0,20240103,8.0,0.629,0.9,,4.4682
0,20240104,7.88,0.6276,0.88,,4.4012
0,20240105,7.96,1.8963,2.67,,4.4459
0,20240108,7.79,1.0027,1.14,,4.351
0,20240109,7.87,0.7106,0.75,,4.3956
0,20240110,7.92,0.8042,0.83,,4.4236
0,20240111,7.93,0.7528,0.75,,4.4292
0,20240112,7.8,0.5313,0.51,,4.3565
0,20240115,7.62,0.9424,1.24,,4.256
0,20240116,7.6,0.9323,1.25,,4.2448
0,20240117,7.36,0.7747,0.98,,4.1108
0,20240118,7.46,0.9731,1.24,,4.1666
0,20240119,7.42,0.3692,0.44,,4.1443
0,20240122,7.07,0.9689,1.21,,3.9488
0,20240123,7.11,0.7796,0.97,,3.9712
0,20240124,7.16,0.8348,1.08,,3.9991
0,20240125,7.15,1.6742,2.13,,3.9935
0,20240126,6.93,1.9471,2.1,,3.8706
0,20240129,6.67,1.5876,1.28,,3.7254
0,20240130,6.47,0.9755,0.71,,3.6137
0,20240131,6.31,1.2163,0.87,,3.5243
0,20240201,6.13,1.2153,0.82,,3.4238
0,20240202,5.85,1.9303,1.39,,3.2674
0,20240205,5.62,1.5527,1.3,,3.1389
0,20240206,6.04,1.6657,1.35,,3.3735
0,20240207,6.21,1.5268,1.09,,3.4685
0,20240208,6.22,2.1245,1.42,,3.4741
0,20240219,6.24,1.541,0.9,,3.4852
0,20240220,6.3,1.0493,0.62,,3.5187
0,20240221,6.33,1.4752,0.93,,3.5355
0,20240222,6.36,0.8885,0.58,,3.5523
0,20240223,6.42,1.4139,1.0,,3.5858
0,20240226,6.52,1.4922,1.17,,3.6416
0,20240227,6.71,1.6168,1.28,,3.7477
0,20240228,6.41,2.276,1.65,,3.5802
0,20240229,6.65,1.2163,0.79,,3.7142
0,20240301,6.6,0.932,0.58,,3.6863
0,20240304,6.68,1.3152,0.87,,3.731
0,20240305,6.5,0.9311,0.63,,3.6305
0,20240306,6.42,0.7405,0.56,,3.5858
0,20240307,6.34,1.0602,1.03,,3.5411
0,20240308,6.29,0.8817,0.89,,3.5132
0,20240311,6.47,0.9797,0.99,,3.6137
0,20240312,6.57,1.3625,1.48,,3.6695
0,20240313,6.59,0.9437,0.94,,3.6807
0,20240314,6.5,0.9244,0.88,,3.6305
0,20240315,6.57,1.0062,0.99,,3.6695
0,20240318,6.62,0.8814,0.84,,3.6975
0,20240319,6.53,0.7915,0.77,,3.6472
0,20240320,6.58,0.909,1.0,,3.6751
0,20240321,6.62,1.515,1.68,,3.6975
0,20240322,6.43,1.2472,1.22,,3.5914
0,20240325,6.31,0.6692,0.63,,3.5243
0,20240326,6.29,0.6145,0.6,,3.5132
0,20240327,6.15,0.5597,0.56,,3.435
0,20240328,6.17,0.6291,0.68,,3.4461
0,20240329,6.21,0.4495,0.6,,3.4685
0,20240401,6.28,0.6458,1.11,,3.5076
0,20240402,6.21,0.6316,1.09,,3.4685
0,20240403,6.14,0.5445,0.93,,3.4294
