,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,58.66,0.0951,0.64,312.0317,14.7522
0,20240103,58.27,0.1191,0.84,309.9572,14.6541
0,20240104,57.64,0.1931,1.42,306.606,14.4956
0,20240105,57.15,0.2423,1.58,303.9995,14.3724
0,20240108,55.84,0.2416,1.49,297.0312,14.043
0,20240109,55.66,0.2225,1.25,296.0737,13.9977
0,20240110,54.75,0.2211,1.09,291.2332,13.7689
0,20240111,54.02,0.3797,1.69,287.35,13.5853
0,20240112,52.71,0.1515,0.58,280.3817,13.2558
0,20240115,51.78,0.2818,1.16,275.4348,13.0219
0,20240116,51.65,0.2101,0.84,274.7432,12.9892
0,20240117,51.01,0.2956,1.19,271.3389,12.8283
0,20240118,52.67,0.4376,1.66,280.169,13.2458
0,20240119,50.0,0.327,1.19,265.9664,12.5743
0,20240122,48.51,0.2675,0.86,258.0406,12.1996
0,20240123,49.19,0.1996,0.65,261.6577,12.3706
0,20240124,48.16,0.2394,0.78,256.1788,12.1116
0,20240125,49.1,0.2189,0.74,261.179,12.348
0,20240126,48.16,0.1695,0.68,256.1788,12.1116
0,20240129,47.83,0.1256,0.57,254.4234,12.0286
0,20240130,46.87,0.1612,0.85,249.3169,11.7871
0,20240131,47.0,0.2426,1.33,250.0084,11.8198
0,20240201,45.31,0.2153,1.17,241.0187,11.3948
0,20240202,44.15,0.2773,1.52,234.8483,11.1031
0,20240205,44.09,0.4847,2.37,234.5291,11.088
0,20240206,46.5,0.372,1.35,247.3487,11.6941
0,20240207,51.15,0.716,2.25,272.0836,12.8635
0,20240208,52.18,0.8224,1.99,277.5625,13.1225
0,20240219,49.14,0.5255,0.98,261.3917,12.358
0,20240220,48.39,0.2525,0.43,257.4022,12.1694
0,20240221,48.08,0.3238,0.6,255.7532,12.0914
0,20240222,47.77,0.3436,0.65,254.1043,12.0135
0,20240223,46.88,0.281,0.62,249.3701,11.7897
0,20240226,47.52,0.2795,0.81,252.7744,11.9506
0,20240227,47.84,0.2787,0.94,254.4766,12.0311
0,20240228,47.15,0.327,1.09,250.8063,11.8576
0,20240229,48.46,0.3092,1.02,257.7746,12.187
0,20240301,47.92,0.2019,0.68,254.9022,12.0512
0,20240304,46.34,0.3831,1.37,246.4976,11.6539
0,20240305,49.63,0.542,1.81,263.9982,12.4812
0,20240306,48.0,0.5009,1.42,255.3277,12.0713
0,20240307,46.93,0.3189,0.82,249.636,11.8022
0,20240308,47.04,0.184,0.47,250.2211,11.8299
0,20240311,48.32,0.3381,0.88,257.0299,12.1518
0,20240312,47.91,0.1825,0.48,254.849,12.0487
0,20240313,47.76,0.1688,0.55,254.0511,12.011
0,20240314,47.45,0.1346,0.56,252.4021,11.933
0,20240315,48.18,0.268,1.33,256.2852,12.1166
0,20240318,47.88,0.183,0.84,254.6894,12.0411
0,20240319,47.42,0.1306,0.7,252.2425,11.9255
0,20240320,47.38,0.1395,0.79,252.0297,11.9154
0,20240321,46.68,0.1781,1.04,248.3062,11.7394
0,20240322,46.02,0.1515,0.84,244.7954,11.5734
0,20240325,44.68,0.1592,1.02,237.6675,11.2364
0,20240326,44.65,0.1323,0.87,237.508,11.2288
0,20240327,43.86,0.0995,0.65,233.3057,11.0302
0,20240328,43.34,0.2155,1.5,230.5396,10.8994
0,20240329,43.81,0.2054,1.35,233.0397,11.0176
0,20240401,44.43,0.1691,1.04,236.3377,11.1735
0,20240402,43.88,0.1795,1.09,233.4121,11.0352
0,20240403,43.33,0.2153,1.24,230.4864,10.8969
