,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.68,0.4092,0.83,11.8954,0.4494
0,20240103,3.71,0.6755,1.38,11.9924,0.453
0,20240104,3.71,0.4152,0.77,11.9924,0.453
0,20240105,3.7,0.5698,1.08,11.9601,0.4518
0,20240108,3.63,0.54,1.01,11.7338,0.4433
0,20240109,3.65,0.3668,0.7,11.7985,0.4457
0,20240110,3.64,0.3508,0.68,11.7661,0.4445
0,20240111,3.67,0.3235,0.72,11.8631,0.4482
0,20240112,3.66,0.3737,0.87,11.8308,0.4469
0,20240115,3.68,0.3597,0.92,11.8954,0.4494
0,20240116,3.63,0.4293,1.21,11.7338,0.4433
0,20240117,3.56,0.4759,1.3,11.5075,0.4347
0,20240118,3.52,0.6502,1.66,11.3782,0.4298
0,20240119,3.53,0.3624,0.79,11.4106,0.4311
0,20240122,3.36,0.5194,1.14,10.8611,0.4103
0,20240123,3.44,0.5194,1.07,11.1196,0.4201
0,20240124,3.63,1.4036,2.78,11.7338,0.4433
0,20240125,3.85,1.841,2.66,12.445,0.4701
0,20240126,3.99,2.1526,2.32,12.8975,0.4872
0,20240129,3.9,1.7348,1.35,12.6066,0.4763
0,20240130,3.74,1.2756,0.83,12.0894,0.4567
0,20240131,3.59,1.1771,0.7,11.6045,0.4384
0,20240201,3.47,1.0956,0.67,11.2166,0.4237
0,20240202,3.44,1.173,0.79,11.1196,0.4201
0,20240205,3.19,1.6251,1.26,10.3115,0.3895
0,20240206,3.33,1.2788,1.01,10.7641,0.4066
0,20240207,3.41,1.1076,0.87,11.0227,0.4164
0,20240208,3.59,1.3461,1.07,11.6045,0.4384
0,20240219,3.62,1.4163,1.08,11.7015,0.4421
0,20240220,3.55,1.0346,0.76,11.4752,0.4335
0,20240221,3.59,1.033,0.84,11.6045,0.4384
0,20240222,3.58,0.8814,0.74,11.5722,0.4372
0,20240223,3.61,0.7187,0.63,11.6692,0.4408
0,20240226,3.57,0.9753,0.96,11.5399,0.436
0,20240227,3.66,0.9571,1.03,11.8308,0.4469
0,20240228,3.56,1.1867,1.3,11.5075,0.4347
0,20240229,3.6,0.8902,0.94,11.6368,0.4396
0,20240301,3.58,0.7559,0.8,11.5722,0.4372
0,20240304,3.5,0.6867,0.72,11.3136,0.4274
0,20240305,3.46,0.6586,0.74,11.1843,0.4225
0,20240306,3.46,0.4365,0.52,11.1843,0.4225
0,20240307,3.42,0.5343,0.78,11.055,0.4176
0,20240308,3.44,0.4004,0.65,11.1196,0.4201
0,20240311,3.5,0.5965,1.1,11.3136,0.4274
0,20240312,3.59,0.7664,1.46,11.6045,0.4384
0,20240313,3.52,0.5917,1.08,11.3782,0.4298
0,20240314,3.53,0.4881,0.84,11.4106,0.4311
0,20240315,3.55,0.5067,0.89,11.4752,0.4335
0,20240318,3.57,0.575,0.97,11.5399,0.436
0,20240319,3.51,0.5205,0.89,11.3459,0.4286
0,20240320,3.51,0.3772,0.7,11.3459,0.4286
0,20240321,3.53,0.5999,1.22,11.4106,0.4311
0,20240322,3.49,0.6222,1.21,11.2813,0.4262
0,20240325,3.52,0.8277,1.54,11.3782,0.4298
0,20240326,3.63,1.0145,1.72,11.7338,0.4433
0,20240327,3.57,0.9821,1.43,11.5399,0.436
0,20240328,3.54,0.7192,0.89,11.4429,0.4323
0,20240329,3.52,0.485,0.58,11.3782,0.4298
0,20240401,3.56,0.6112,0.76,21.6752,0.4329
0,20240402,3.56,0.7055,0.93,21.6752,0.4329
0,20240403,3.52,0.4937,0.7,21.4316,0.428
