,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,30.09,1.6844,0.56,67.4608,3.529
0,20240103,29.55,1.5171,0.57,66.2503,3.4657
0,20240104,30.76,5.311,2.38,68.9631,3.6076
0,20240105,29.41,3.2732,1.16,65.9365,3.4492
0,20240108,29.09,1.6801,0.57,65.219,3.4117
0,20240109,29.75,2.1916,0.82,66.6987,3.4891
0,20240110,28.64,2.0564,0.74,64.2102,3.3589
0,20240111,29.56,2.0076,0.69,66.2728,3.4668
0,20240112,28.91,1.4106,0.63,64.8155,3.3906
0,20240115,28.56,1.2049,0.64,64.0308,3.3495
0,20240116,28.2,1.9857,1.12,63.2237,3.3073
0,20240117,27.57,1.1128,0.64,61.8112,3.2334
0,20240118,26.83,2.177,1.41,60.1522,3.1467
0,20240119,26.68,1.3876,0.88,59.8159,3.1291
0,20240122,24.53,2.1122,1.34,54.9956,2.8769
0,20240123,24.02,1.8094,1.03,53.8522,2.8171
0,20240124,24.15,1.8396,1.07,54.1437,2.8323
0,20240125,25.44,2.3094,1.24,57.0358,2.9836
0,20240126,25.4,1.4408,0.76,56.9462,2.9789
0,20240129,24.29,1.8081,0.95,54.4576,2.8488
0,20240130,23.53,1.7421,0.95,52.7537,2.7596
0,20240131,21.79,2.2157,1.21,48.8526,2.5556
0,20240201,21.4,2.216,1.16,47.9783,2.5098
0,20240202,19.79,2.3797,1.26,44.3687,2.321
0,20240205,17.81,1.2688,0.61,39.9296,2.0888
0,20240206,16.08,4.5632,2.32,36.051,1.8859
0,20240207,14.47,4.3337,1.71,32.4414,1.6971
0,20240208,15.19,7.5995,2.57,34.0556,1.7815
0,20240219,16.71,3.6045,0.89,37.4652,1.9595
0,20240220,17.44,7.1091,1.66,39.1019,2.0451
0,20240221,18.06,5.9885,1.1,40.492,2.1178
0,20240222,19.51,4.8116,0.84,43.743,2.2879
0,20240223,20.68,5.0073,0.86,46.3663,2.4251
0,20240226,20.47,5.2768,0.99,45.8954,2.4005
0,20240227,21.46,4.3669,0.77,48.1151,2.5166
0,20240228,19.31,6.0543,1.19,43.2946,2.2644
0,20240229,19.71,4.8958,0.96,44.1915,2.3113
0,20240301,20.19,3.3989,0.66,45.2677,2.3676
0,20240304,21.32,4.6049,0.96,47.8012,2.5001
0,20240305,20.88,4.2307,0.91,46.8147,2.4485
0,20240306,21.17,4.7603,1.03,47.4649,2.4826
0,20240307,20.68,3.9122,0.89,46.3663,2.4251
0,20240308,22.75,4.2978,1.03,51.0074,2.6678
0,20240311,23.28,10.9896,2.52,52.1957,2.73
0,20240312,22.79,6.3106,1.12,51.0971,2.6725
0,20240313,22.28,4.6282,0.76,49.9536,2.6127
0,20240314,21.87,3.3079,0.55,49.0344,2.5646
0,20240315,24.06,4.0581,0.69,53.9445,2.8215
0,20240318,26.47,7.2554,1.24,59.3479,3.1041
0,20240319,26.78,17.3232,3.39,60.043,3.1404
0,20240320,27.96,13.5017,1.85,62.6886,3.2788
0,20240321,30.13,16.1185,1.77,67.554,3.5333
0,20240322,28.58,9.9034,0.85,64.0787,3.3515
0,20240325,25.88,7.1095,0.55,58.0251,3.0349
0,20240326,24.91,6.5785,0.51,55.8503,2.9211
0,20240327,25.13,6.8309,0.64,56.3436,2.9469
0,20240328,26.86,8.6868,0.93,60.2224,3.1498
0,20240329,26.19,5.1889,0.66,58.7202,3.0712
0,20240401,26.14,3.9283,0.57,58.6081,3.0654
0,20240402,25.47,4.8578,0.78,57.1068,2.9867
0,20240403,24.57,4.3597,0.74,55.0889,2.8811
