,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.82,0.2354,0.88,8.9854,0.9104
0,20240103,9.85,0.2743,1.11,9.0129,0.9131
0,20240104,9.8,0.2072,0.83,8.9671,0.9085
0,20240105,9.77,0.2461,0.97,8.9397,0.9057
0,20240108,9.5,0.282,1.13,8.6926,0.8807
0,20240109,9.58,0.2359,0.95,8.7658,0.8881
0,20240110,9.56,0.1668,0.67,8.7475,0.8862
0,20240111,9.65,0.1537,0.68,8.8299,0.8946
0,20240112,9.74,0.2385,1.1,8.9122,0.9029
0,20240115,9.78,0.188,0.87,8.9488,0.9066
0,20240116,9.74,0.2356,1.2,8.9122,0.9029
0,20240117,9.59,0.2249,1.14,8.775,0.889
0,20240118,9.31,0.4668,2.24,8.5188,0.8631
0,20240119,9.37,0.2909,1.07,8.5737,0.8686
0,20240122,8.9,0.3602,1.28,8.1436,0.8251
0,20240123,9.45,0.9921,3.14,8.6469,0.8761
0,20240124,10.4,2.6628,5.7,9.5161,0.9641
0,20240125,11.44,3.4615,3.63,10.4677,1.0605
0,20240126,12.58,6.2692,4.04,11.5108,1.1662
0,20240129,11.32,6.4589,2.35,10.3579,1.0494
0,20240130,10.81,4.4369,1.12,9.8913,1.0021
0,20240131,10.13,3.2454,0.7,9.2691,0.9391
0,20240201,9.56,2.9063,0.61,8.7475,0.8862
0,20240202,9.94,3.1902,0.68,9.0952,0.9215
0,20240205,8.95,2.4404,0.6,8.1894,0.8297
0,20240206,9.03,2.116,0.65,8.2626,0.8371
0,20240207,9.25,2.1752,0.78,8.4639,0.8575
0,20240208,9.52,1.7504,0.68,8.7109,0.8825
0,20240219,9.44,1.5094,0.65,8.6377,0.8751
0,20240220,9.98,2.4619,1.23,9.1318,0.9252
0,20240221,9.9,2.1958,1.1,9.0586,0.9178
0,20240222,9.88,1.3011,0.64,9.0403,0.9159
0,20240223,9.85,1.1693,0.63,9.0129,0.9131
0,20240226,9.7,0.9876,0.57,8.8756,0.8992
0,20240227,9.85,1.1213,0.69,9.0129,0.9131
0,20240228,9.64,1.5404,1.14,8.8207,0.8937
0,20240229,9.73,1.0464,0.85,8.9031,0.902
0,20240301,9.65,0.9833,0.84,8.8299,0.8946
0,20240304,9.48,0.9631,0.85,8.6743,0.8788
0,20240305,9.4,0.6392,0.57,8.6011,0.8507
0,20240306,9.39,0.482,0.47,8.592,0.8498
0,20240307,9.34,0.508,0.62,8.5462,0.8452
0,20240308,9.36,0.4238,0.59,8.5645,0.847
0,20240311,9.46,0.6816,1.13,8.656,0.8561
0,20240312,9.66,1.1765,2.15,8.839,0.8742
0,20240313,9.45,0.8416,1.29,8.6469,0.8552
0,20240314,9.41,0.4952,0.68,8.6103,0.8516
0,20240315,9.54,0.6424,0.89,8.7292,0.8633
0,20240318,9.58,0.6978,0.91,8.7658,0.867
0,20240319,9.55,0.4842,0.63,8.7384,0.8642
0,20240320,9.57,0.3792,0.6,8.7567,0.8661
0,20240321,9.59,0.5615,1.04,8.775,0.8679
0,20240322,9.42,0.6196,1.12,8.6194,0.8525
0,20240325,9.41,0.5882,1.07,8.6103,0.8516
0,20240326,9.46,0.5513,1.05,8.656,0.8561
0,20240327,9.2,0.4964,0.92,8.4181,0.8326
0,20240328,9.27,0.3829,0.68,8.4822,0.8389
0,20240329,9.23,0.337,0.64,8.4456,0.8353
0,20240401,9.39,0.4499,0.95,8.592,0.8498
0,20240402,9.46,0.5544,1.25,8.656,0.8561
0,20240403,9.44,0.3316,0.75,8.6377,0.8543
