,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,14.86,1.3769,0.99,9.1042,2.1189
0,20240103,14.88,0.7696,0.5,9.1164,2.1217
0,20240104,14.55,0.9653,0.61,8.9142,2.0747
0,20240105,14.45,1.1247,0.7,8.853,2.0604
0,20240108,14.06,1.0019,0.81,8.614,2.0048
0,20240109,14.12,0.9761,0.93,8.6508,2.0134
0,20240110,14.13,1.0236,1.06,8.6569,2.0148
0,20240111,14.56,1.6419,1.61,8.9204,2.0761
0,20240112,14.59,1.0871,0.94,8.9387,2.0804
0,20240115,14.3,0.8731,0.76,8.7611,2.039
0,20240116,14.35,0.8786,0.78,8.7917,2.0462
0,20240117,13.78,1.1563,1.05,8.4425,1.9649
0,20240118,13.84,1.3832,1.23,8.4792,1.9735
0,20240119,13.71,1.0447,0.97,8.3996,1.9549
0,20240122,12.87,1.3394,1.26,7.885,1.8351
0,20240123,13.05,1.0409,0.9,7.9952,1.8608
0,20240124,13.12,1.2272,1.03,8.0381,1.8708
0,20240125,13.33,1.0402,0.86,8.1668,1.9007
0,20240126,13.08,0.972,0.85,8.0136,1.8651
0,20240129,12.73,0.9999,0.89,7.7992,1.8152
0,20240130,12.4,0.8946,0.85,7.597,1.7681
0,20240131,12.14,1.3533,1.32,7.4377,1.731
0,20240201,11.72,1.2961,1.23,7.1804,1.6712
0,20240202,11.16,1.8134,1.64,6.8373,1.5913
0,20240205,10.5,2.3909,1.88,6.4329,1.4972
0,20240206,11.53,2.4823,1.6,7.064,1.6441
0,20240207,12.68,3.2948,1.76,7.7685,1.808
0,20240208,13.13,3.1627,1.4,8.0442,1.8722
0,20240219,12.83,2.2458,0.85,7.8604,1.8294
0,20240220,12.9,1.3257,0.49,7.9033,1.8394
0,20240221,12.84,1.8268,0.73,7.8666,1.8309
0,20240222,12.86,1.2641,0.53,7.8788,1.8337
0,20240223,12.94,1.4656,0.75,7.9278,1.8451
0,20240226,13.27,2.3003,1.42,8.13,1.8922
0,20240227,13.52,1.8518,1.13,8.2832,1.9278
0,20240228,13.11,2.7683,1.59,8.032,1.8694
0,20240229,13.22,2.745,1.42,8.0994,1.6941
0,20240301,13.08,4.3267,2.19,8.0136,1.6762
0,20240304,13.37,4.3161,1.67,8.1913,1.7133
0,20240305,13.1,2.3306,0.77,8.0259,1.6787
0,20240306,13.08,1.9655,0.62,8.0136,1.6762
0,20240307,12.85,1.8262,0.59,7.8727,1.6467
0,20240308,12.87,1.4198,0.48,7.885,1.6493
0,20240311,14.16,3.0029,1.27,8.6753,1.8146
0,20240312,14.35,8.4558,4.01,8.7917,1.8389
0,20240313,14.24,4.0235,1.21,8.7243,1.8248
0,20240314,14.05,3.4093,0.91,8.6079,1.8005
0,20240315,14.32,3.4979,0.86,8.7733,1.8351
0,20240318,14.56,3.7121,0.83,8.9204,1.8658
0,20240319,14.58,2.6959,0.58,8.9326,1.8684
0,20240320,14.73,2.0158,0.58,9.0245,1.8876
0,20240321,14.85,2.9878,0.97,9.098,1.903
0,20240322,14.32,2.3792,0.8,8.7733,1.8351
0,20240325,13.94,1.8021,0.65,8.5405,1.7864
0,20240326,14.98,4.8723,2.05,9.1777,1.9197
0,20240327,14.32,3.6269,1.29,8.7733,1.8351
0,20240328,14.3,2.7752,0.89,8.7611,1.8325
0,20240329,14.18,2.5317,0.82,33.1957,1.8172
0,20240401,14.47,2.4862,0.8,33.8746,1.8544
0,20240402,15.18,6.4415,1.98,35.5367,1.9454
0,20240403,15.4,7.4221,2.08,36.0518,1.9736
