,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.99,0.6048,1.08,43.2926,0.5712
0,20240103,3.0,0.7488,1.33,43.4373,0.5731
0,20240104,2.99,0.62,1.0,43.2926,0.5712
0,20240105,2.99,0.5768,0.9,43.2926,0.5712
0,20240108,2.98,0.7582,1.2,43.1478,0.5693
0,20240109,2.96,0.5626,0.85,42.8582,0.5655
0,20240110,2.95,0.5575,0.85,42.7134,0.5636
0,20240111,2.95,0.4933,0.8,42.7134,0.5636
0,20240112,2.95,0.5985,1.01,42.7134,0.5636
0,20240115,2.97,0.7683,1.29,43.003,0.5674
0,20240116,2.94,0.8459,1.42,42.5686,0.5617
0,20240117,2.92,0.6782,1.04,42.279,0.5578
0,20240118,2.92,2.2426,3.31,42.279,0.5578
0,20240119,2.9,0.8204,0.8,41.9894,0.554
0,20240122,2.89,1.6492,1.54,41.8446,0.5521
0,20240123,2.89,0.6865,0.55,41.8446,0.5521
0,20240124,2.95,1.0876,0.89,42.7134,0.5636
0,20240125,3.04,1.6788,1.29,44.0165,0.5808
0,20240126,3.1,2.3529,1.99,44.8853,0.5922
0,20240129,3.0,1.5701,1.05,43.4373,0.5731
0,20240130,2.93,1.3997,0.95,42.4238,0.5598
0,20240131,2.89,2.2381,1.38,41.8446,0.5521
0,20240201,2.89,1.7076,0.92,41.8446,0.5521
0,20240202,2.79,2.1436,1.16,40.3967,0.533
0,20240205,2.53,1.9976,1.1,36.6322,0.4833
0,20240206,2.5,2.2128,1.17,36.1978,0.4776
0,20240207,2.52,1.9406,0.94,36.4874,0.4814
0,20240208,2.72,2.4145,1.21,39.3832,0.5196
0,20240219,2.73,1.7135,0.8,39.528,0.5215
0,20240220,2.72,0.8971,0.44,39.3832,0.5196
0,20240221,2.85,1.8977,1.03,41.2655,0.5445
0,20240222,2.82,0.8179,0.46,40.8311,0.5387
0,20240223,2.84,0.8992,0.58,41.1207,0.5426
0,20240226,2.82,0.8786,0.71,40.8311,0.5387
0,20240227,2.91,0.89,0.83,42.1342,0.5559
0,20240228,2.82,1.1773,1.09,40.8311,0.5387
0,20240229,2.86,0.617,0.66,41.4103,0.5464
0,20240301,2.89,0.7978,0.89,41.8446,0.5521
0,20240304,2.83,0.7114,0.82,40.9759,0.5407
0,20240305,2.79,0.329,0.39,40.3967,0.533
0,20240306,2.78,0.3528,0.49,40.2519,0.5311
0,20240307,2.95,1.6939,3.02,42.7134,0.5636
0,20240308,2.9,0.886,1.14,41.9894,0.554
0,20240311,2.94,0.5915,0.74,42.5686,0.5617
0,20240312,3.01,1.3485,1.75,43.5821,0.575
0,20240313,2.99,0.5775,0.59,43.2926,0.5712
0,20240314,2.98,0.7757,0.76,43.1478,0.5693
0,20240315,3.0,0.4163,0.5,43.4373,0.5731
0,20240318,2.97,0.457,0.62,43.003,0.5674
0,20240319,2.94,0.3595,0.5,42.5686,0.5617
0,20240320,2.95,0.2227,0.43,42.7134,0.5636
0,20240321,2.94,0.3211,0.72,42.5686,0.5617
0,20240322,2.93,0.4748,1.34,42.4238,0.5598
0,20240325,2.96,1.2043,3.28,42.8582,0.5655
0,20240326,3.01,0.9177,1.78,43.5821,0.575
0,20240327,2.96,0.6148,0.98,42.8582,0.5655
0,20240328,3.06,0.8688,1.23,44.3061,0.5846
0,20240329,3.2,1.6685,2.04,46.3332,0.6113
0,20240401,3.2,1.0139,0.96,46.3332,0.6113
0,20240402,3.3,1.3876,1.36,47.7811,0.6304
0,20240403,3.39,1.1031,0.99,49.0842,0.6476
