,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.5,0.9555,2.39,,1.5668
0,20240103,2.58,1.0539,1.99,,1.617
0,20240104,2.58,0.7649,1.14,,1.617
0,20240105,2.57,0.7583,1.05,,1.6107
0,20240108,2.52,0.4816,0.62,,1.5794
0,20240109,2.55,0.506,0.63,,1.5982
0,20240110,2.52,0.324,0.45,,1.5794
0,20240111,2.48,0.5796,1.02,,1.5543
0,20240112,2.56,0.9201,1.74,,1.6044
0,20240115,2.56,0.5279,0.94,,1.6044
0,20240116,2.52,0.7347,1.29,,1.5794
0,20240117,2.47,0.5104,0.83,,1.548
0,20240118,2.39,1.0988,1.68,,1.4979
0,20240119,2.32,1.042,1.37,,1.454
0,20240122,2.23,0.7879,1.01,,1.3976
0,20240123,2.3,0.6524,0.78,,1.4415
0,20240124,2.37,0.7046,0.86,,1.4853
0,20240125,2.5,0.8201,0.96,,1.5668
0,20240126,2.5,0.6484,0.81,,1.5668
0,20240129,2.51,0.8006,1.11,,1.5731
0,20240130,2.48,0.7854,1.08,,1.5543
0,20240131,2.44,0.9983,1.33,,1.5292
0,20240201,2.39,0.7411,0.91,,1.4979
0,20240202,2.35,0.772,0.97,,1.4728
0,20240205,2.28,1.0113,1.23,,1.4289
0,20240206,2.38,0.9922,1.15,,1.4916
0,20240207,2.51,1.1903,1.32,,1.5731
0,20240208,2.51,1.0445,1.11,,1.5731
0,20240219,2.54,0.8785,0.88,,1.5919
0,20240220,2.55,0.5816,0.57,,1.5982
0,20240221,2.54,0.8083,0.86,,1.5919
0,20240222,2.55,0.604,0.67,,1.5982
0,20240223,2.6,0.9497,1.21,,1.6295
0,20240226,2.53,0.9765,1.28,,1.5856
0,20240227,2.55,0.6333,0.81,,1.5982
0,20240228,2.54,1.0887,1.37,,1.5919
0,20240229,2.57,0.6863,0.81,,1.6107
0,20240301,2.57,0.851,0.98,,1.6107
0,20240304,2.65,1.0648,1.26,,1.6608
0,20240305,2.65,1.2653,1.46,,1.6608
0,20240306,2.7,1.0292,1.04,,1.6922
0,20240307,2.71,1.0778,1.1,,1.6984
0,20240308,2.8,1.4921,1.41,,1.7548
0,20240311,2.78,1.3649,1.15,,1.7423
0,20240312,2.69,1.1706,0.94,,1.6859
0,20240313,2.72,0.7891,0.64,,1.7047
0,20240314,2.73,0.695,0.59,,1.711
0,20240315,2.79,1.0858,0.99,,1.7486
0,20240318,2.86,1.3361,1.31,,1.7924
0,20240319,2.81,0.8202,0.81,,1.7611
0,20240320,2.84,0.7369,0.78,,1.7799
0,20240321,2.88,0.9376,1.0,,1.805
0,20240322,2.83,0.9507,0.97,,1.7736
0,20240325,2.78,0.889,0.93,37.6879,1.8788
0,20240326,2.86,0.9851,1.14,38.7724,1.9329
0,20240327,2.84,0.8608,0.96,38.5013,1.9194
0,20240328,2.85,0.8137,0.88,38.6368,1.9262
0,20240329,2.93,0.9919,1.1,39.7214,1.9802
0,20240401,2.92,0.8603,0.95,39.5858,1.9735
0,20240402,3.0,1.178,1.31,40.6704,2.0275
0,20240403,3.03,0.9835,1.05,41.0771,2.0478
