,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,20.59,7.1901,2.36,,8.9292
0,20240103,22.65,9.0658,2.37,,9.8226
0,20240104,24.92,6.715,1.28,,10.807
0,20240105,27.41,1.4609,0.24,,11.8868
0,20240108,30.15,11.6065,2.01,,13.0751
0,20240109,33.17,6.3736,0.88,,14.3848
0,20240110,31.1,21.3244,3.03,,13.4871
0,20240111,30.2,17.4016,1.83,,13.0968
0,20240112,27.66,18.0105,1.55,,11.9953
0,20240115,30.43,14.219,0.95,,13.1965
0,20240116,33.47,13.4913,0.87,,14.5149
0,20240117,34.64,20.211,1.2,,15.0223
0,20240118,31.18,12.711,0.76,,13.5218
0,20240119,28.06,14.0454,0.89,,12.1687
0,20240122,25.81,15.3846,1.03,,11.193
0,20240123,23.23,9.7842,0.65,,10.0741
0,20240124,24.94,13.4421,0.93,,10.8157
0,20240125,23.83,10.2838,0.79,,10.3343
0,20240126,23.9,8.7764,0.7,,10.3647
0,20240129,22.22,7.9108,0.69,,9.6361
0,20240130,21.89,7.2853,0.73,,9.493
0,20240131,20.13,7.6853,0.81,,8.7297
0,20240201,19.96,5.5878,0.67,,8.656
0,20240202,19.35,5.3234,0.71,,8.3915
0,20240205,17.42,4.7189,0.7,,7.5545
0,20240206,16.16,7.4399,1.22,,7.0081
0,20240207,14.54,7.5845,1.23,,6.3055
0,20240208,15.61,8.7253,1.42,,6.7696
0,20240219,17.17,7.6682,1.13,,7.4461
0,20240220,17.3,5.9427,0.82,,7.5025
0,20240221,17.68,4.9819,0.67,,7.6673
0,20240222,18.45,7.352,1.05,,8.0012
0,20240223,18.86,7.1859,1.04,,8.179
0,20240226,18.69,5.2741,0.8,,8.1053
0,20240227,19.17,5.2769,0.86,,8.3134
0,20240228,17.53,7.635,1.27,,7.6022
0,20240229,17.88,4.4616,0.68,,7.754
0,20240301,18.07,3.4521,0.58,,7.8364
0,20240304,18.74,4.4054,0.84,,8.1269
0,20240305,20.61,4.4436,0.88,,8.9379
0,20240306,22.67,13.2241,2.71,,9.8313
0,20240307,24.94,15.2203,2.54,,10.8157
0,20240308,22.45,13.2833,1.63,,9.7359
0,20240311,21.59,10.6126,1.05,,9.3629
0,20240312,21.9,9.77,0.86,,9.4973
0,20240313,21.07,7.9239,0.64,,9.1374
0,20240314,21.32,8.2593,0.73,,9.2458
0,20240315,21.44,7.3293,0.74,,9.2978
0,20240318,21.69,7.7241,0.88,,9.4063
0,20240319,21.58,6.7744,0.83,,9.3586
0,20240320,21.54,4.823,0.63,,9.3412
0,20240321,23.69,11.7896,1.69,,10.2736
0,20240322,23.36,16.6109,2.16,,10.1305
0,20240325,24.19,12.5118,1.31,,10.4904
0,20240326,22.83,9.4725,0.9,,9.9006
0,20240327,23.32,12.2114,1.11,,10.1131
0,20240328,24.44,12.0089,0.96,,10.5989
0,20240329,26.88,13.9964,1.11,,11.657
0,20240401,26.26,13.6043,1.13,,11.3881
0,20240402,27.67,14.2815,1.17,,11.9996
0,20240403,27.02,12.8614,0.97,,11.7177
