,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,13.39,0.5627,1.43,41.7523,3.421
0,20240103,13.36,0.4,1.0,41.6588,3.4133
0,20240104,13.18,0.3396,0.82,41.0975,3.3673
0,20240105,13.03,0.3307,0.8,40.6298,3.329
0,20240108,12.82,0.3134,0.82,39.975,3.2753
0,20240109,12.71,0.3779,0.97,39.632,3.2472
0,20240110,12.89,0.3165,0.9,40.1932,3.2932
0,20240111,12.92,0.3156,0.94,40.2868,3.3009
0,20240112,12.99,0.2704,0.82,40.505,3.3188
0,20240115,12.89,0.3126,0.98,40.1932,3.2932
0,20240116,12.95,0.3244,1.02,40.3803,3.3086
0,20240117,12.58,0.3096,1.01,39.2266,3.214
0,20240118,12.44,0.4879,1.59,38.7901,3.1783
0,20240119,12.35,0.2593,0.76,38.5094,3.1553
0,20240122,11.51,0.5099,1.51,35.8902,2.9407
0,20240123,11.86,0.5434,1.44,36.9815,2.9272
0,20240124,12.16,0.549,1.3,37.917,3.0013
0,20240125,12.21,0.5421,1.15,38.0729,3.0136
0,20240126,12.05,0.3862,0.8,37.574,2.9741
0,20240129,11.95,0.5887,1.16,37.2621,2.9494
0,20240130,11.49,0.4685,0.9,35.8278,2.8359
0,20240131,11.14,0.542,1.07,34.7364,2.7495
0,20240201,11.1,0.5426,1.07,34.6117,2.7396
0,20240202,10.73,0.6632,1.31,33.458,2.6483
0,20240205,10.54,0.9876,1.76,32.8655,2.6014
0,20240206,11.42,0.7973,1.24,35.6095,2.8186
0,20240207,12.56,1.276,1.81,39.1642,3.1
0,20240208,12.46,1.4007,1.64,38.8524,3.0753
0,20240219,12.21,1.0072,0.98,38.0729,3.0136
0,20240220,12.02,0.7576,0.69,37.4804,2.9667
0,20240221,12.47,0.9478,0.9,38.8836,3.0778
0,20240222,12.37,0.614,0.57,38.5718,3.0531
0,20240223,12.28,0.6167,0.65,38.2911,3.0309
0,20240226,12.11,0.6954,0.88,37.7611,2.9889
0,20240227,12.28,0.4789,0.66,38.2911,3.0309
0,20240228,12.05,0.7778,1.16,37.574,2.9741
0,20240229,12.28,0.5692,0.89,38.2868,3.0312
0,20240301,12.18,0.6124,0.98,37.9751,3.0066
0,20240304,12.12,0.511,0.82,37.788,2.9918
0,20240305,12.1,0.4775,0.81,37.7256,2.9868
0,20240306,11.9,0.5475,0.93,37.1021,2.9374
0,20240307,11.7,0.4255,0.78,36.4785,2.8881
0,20240308,11.69,0.3227,0.63,36.4473,2.8856
0,20240311,12.19,0.5937,1.3,38.0062,3.009
0,20240312,12.48,0.6289,1.33,38.9104,3.0806
0,20240313,12.58,0.6058,1.2,39.2222,3.1053
0,20240314,12.44,0.43,0.83,38.7857,3.0707
0,20240315,12.77,0.603,1.17,39.8146,3.1522
0,20240318,12.65,0.607,1.06,39.4404,3.1226
0,20240319,12.72,0.4806,0.84,39.6587,3.1399
0,20240320,12.79,0.3106,0.57,39.8769,3.1571
0,20240321,12.8,0.3673,0.76,39.9081,3.1596
0,20240322,12.6,0.4043,0.85,39.2845,3.1102
0,20240325,12.39,0.3083,0.71,38.6298,3.0584
0,20240326,12.51,0.3317,0.89,39.0039,3.088
0,20240327,12.4,0.3228,0.94,38.661,3.0609
0,20240328,12.78,1.0369,2.99,29.8129,3.1473
0,20240329,12.98,0.7251,1.51,30.2795,3.1966
0,20240401,13.38,0.739,1.36,31.2126,3.2951
0,20240402,13.64,0.752,1.19,31.8191,3.3591
0,20240403,13.64,0.4391,0.61,31.8191,3.3591
