,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,19.26,3.4405,4.26,61.1949,4.6017
0,20240103,18.83,1.4425,1.09,59.8287,4.499
0,20240104,19.26,2.1843,1.47,61.1949,4.6017
0,20240105,19.18,1.8565,1.02,60.9408,4.5826
0,20240108,19.0,1.9003,0.94,60.3688,4.5396
0,20240109,19.22,1.588,0.73,61.0678,4.5922
0,20240110,19.38,2.2474,1.25,61.5762,4.6304
0,20240111,19.73,2.7046,1.38,62.6883,4.714
0,20240112,19.58,2.1406,1.04,62.2117,4.6782
0,20240115,19.36,1.4402,0.68,61.5127,4.6256
0,20240116,19.03,1.5314,0.76,60.4642,4.5468
0,20240117,18.33,1.0331,0.51,58.24,4.3795
0,20240118,17.24,2.5024,1.41,54.7768,4.1191
0,20240119,16.67,1.6684,0.96,52.9657,3.9829
0,20240122,15.17,1.787,1.09,48.1998,3.6245
0,20240123,15.41,1.441,0.85,48.9623,3.6818
0,20240124,15.61,0.9453,0.56,49.5978,3.7296
0,20240125,17.08,2.4161,1.45,54.2684,4.0808
0,20240126,16.48,1.2403,0.75,52.362,3.9375
0,20240129,15.91,1.0146,0.65,50.551,3.8013
0,20240130,15.58,1.0313,0.73,49.5024,3.7225
0,20240131,14.94,1.3302,1.0,47.469,3.5695
0,20240201,15.2,1.081,0.77,48.2951,3.6317
0,20240202,14.45,1.0937,0.96,45.9121,3.4525
0,20240205,13.33,1.2602,1.14,42.3535,3.1849
0,20240206,13.77,1.8845,1.63,43.7515,3.29
0,20240207,13.7,1.3379,1.01,43.5291,3.2733
0,20240208,14.55,1.7636,1.32,46.2298,3.4764
0,20240219,14.74,1.3813,0.94,46.8335,3.5218
0,20240220,14.79,0.8358,0.55,46.9924,3.5337
0,20240221,14.94,1.2443,0.86,47.469,3.5695
0,20240222,15.44,1.2546,0.96,49.0576,3.689
0,20240223,15.92,1.1382,0.88,50.5827,3.8037
0,20240226,16.02,1.2675,1.08,50.9005,3.8276
0,20240227,16.44,1.3467,1.17,52.2349,3.9279
0,20240228,15.45,1.8129,1.45,49.0894,3.6914
0,20240229,16.06,1.2012,0.88,51.0276,3.8371
0,20240301,16.3,1.0433,0.77,51.7901,3.8945
0,20240304,16.23,0.8428,0.63,51.5677,3.8778
0,20240305,16.11,0.9818,0.79,51.1864,3.8491
0,20240306,16.08,1.0492,0.89,51.0911,3.8419
0,20240307,15.75,0.8758,0.86,50.0426,3.7631
0,20240308,16.0,0.7709,0.8,50.8369,3.8228
0,20240311,16.1,0.9251,1.02,51.1546,3.8467
0,20240312,16.47,1.3559,1.47,52.3303,3.9351
0,20240313,16.57,1.3111,1.32,52.648,3.959
0,20240314,16.15,1.0628,1.01,51.3135,3.7173
0,20240315,16.38,0.8019,0.74,52.0443,3.7702
0,20240318,17.05,1.7965,1.65,54.1731,3.9244
0,20240319,17.16,1.3925,1.1,54.5226,3.9497
0,20240320,17.8,2.1817,1.71,56.5561,4.097
0,20240321,17.81,1.6169,1.12,56.5878,4.0993
0,20240322,17.59,1.2388,0.8,55.8888,4.0487
0,20240325,17.15,1.2173,0.74,54.4908,3.9474
0,20240326,17.11,1.1479,0.75,54.3637,3.9382
0,20240327,16.55,0.9808,0.66,52.5844,3.8093
0,20240328,17.26,1.4911,1.2,54.8403,3.9727
0,20240329,17.82,2.5329,2.08,56.6196,4.1016
0,20240401,17.68,1.8687,1.27,56.1748,4.0694
0,20240402,17.49,1.1255,0.7,55.5711,4.0257
0,20240403,17.19,0.8171,0.51,54.6179,3.9566
