,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.03,1.7091,1.06,168.861,6.0226
0,20240103,10.95,1.5712,0.93,167.6362,5.979
0,20240104,10.92,1.4069,0.82,167.1769,5.9626
0,20240105,10.78,1.4752,0.86,165.0336,5.8861
0,20240108,10.45,1.5841,0.93,159.9816,5.7059
0,20240109,10.47,1.7626,1.14,160.2878,5.7169
0,20240110,10.29,1.7209,1.1,157.5321,5.6186
0,20240111,10.47,1.4435,0.91,160.2878,5.7169
0,20240112,10.31,1.2324,0.77,157.8383,5.6295
0,20240115,10.31,1.3682,0.88,157.8383,5.6295
0,20240116,10.24,1.4098,0.94,156.7667,5.5913
0,20240117,9.99,1.4807,1.03,152.9393,5.4548
0,20240118,9.85,2.1703,1.56,150.796,5.3783
0,20240119,9.6,1.6318,1.06,146.9687,5.2418
0,20240122,8.99,2.4493,1.52,137.6301,4.9087
0,20240123,8.71,3.216,1.76,133.3435,4.7559
0,20240124,8.7,2.4785,1.13,133.1904,4.7504
0,20240125,9.11,2.1323,0.89,139.4672,4.9743
0,20240126,9.06,1.5421,0.65,138.7017,4.947
0,20240129,8.65,2.2029,0.93,132.425,4.7231
0,20240130,8.28,1.7406,0.75,126.7605,4.5211
0,20240131,7.68,2.2369,1.11,117.575,4.1935
0,20240201,7.5,2.5634,1.3,114.8193,4.0952
0,20240202,6.99,2.8248,1.37,107.0116,3.8167
0,20240205,6.29,4.1594,1.8,96.2951,3.4345
0,20240206,6.12,5.4743,2.02,93.6926,3.3417
0,20240207,5.81,7.0467,2.04,88.9467,3.1724
0,20240208,6.28,6.2307,1.41,96.142,3.429
0,20240219,6.59,4.7103,0.92,100.8879,3.5983
0,20240220,6.68,2.4286,0.44,102.2657,3.6474
0,20240221,6.82,3.0552,0.59,104.409,3.7239
0,20240222,7.2,2.8132,0.6,110.2266,3.9314
0,20240223,7.48,2.7562,0.72,114.5131,4.0843
0,20240226,7.69,3.0262,0.96,117.7281,4.1989
0,20240227,8.0,2.747,0.98,122.4739,4.3682
0,20240228,7.2,4.4775,1.55,110.2266,3.9314
0,20240229,7.42,3.8893,1.23,113.5946,4.0515
0,20240301,7.51,2.2171,0.66,114.9724,4.1006
0,20240304,7.42,1.7079,0.52,113.5946,4.0515
0,20240305,7.25,2.0734,0.69,110.992,3.9587
0,20240306,7.32,2.2012,0.77,112.0637,3.9969
0,20240307,7.28,1.9839,0.82,111.4513,3.975
0,20240308,7.61,2.502,1.23,116.5033,4.1552
0,20240311,7.65,2.4921,1.19,117.1157,4.1771
0,20240312,7.71,2.1284,0.95,118.0343,4.2098
0,20240313,7.85,3.6112,1.6,120.1776,4.2863
0,20240314,7.81,3.5021,1.38,119.5652,4.2644
0,20240315,8.07,2.5618,0.9,123.5456,4.4064
0,20240318,8.31,3.1363,1.1,127.2198,4.5375
0,20240319,8.15,4.5238,1.51,124.7703,4.4501
0,20240320,8.27,2.1535,0.62,126.6074,4.5156
0,20240321,8.28,2.0438,0.64,126.7605,4.5211
0,20240322,8.12,1.7046,0.59,124.3111,4.4337
0,20240325,7.84,2.2474,0.83,120.0245,4.2808
0,20240326,8.01,2.2635,0.89,122.627,4.3736
0,20240327,8.18,8.2332,3.95,125.2296,4.4665
0,20240328,8.85,14.2304,4.31,135.4868,4.8323
0,20240329,8.49,10.1328,1.77,129.9755,4.6357
0,20240401,8.59,6.9396,0.94,131.5064,4.6903
0,20240402,8.59,5.8395,0.7,131.5064,4.6903
0,20240403,8.55,4.0992,0.45,130.894,4.6685
