,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,7.6,2.2594,0.86,24.9081,2.2232
0,20240103,7.59,2.1785,0.92,24.8753,2.2203
0,20240104,7.77,6.5023,2.78,25.4653,2.273
0,20240105,7.49,4.3863,1.35,24.5476,2.1911
0,20240108,7.37,2.1087,0.58,24.1543,2.156
0,20240109,7.66,5.042,1.45,25.1048,2.2408
0,20240110,7.69,7.443,1.84,25.2031,2.2496
0,20240111,7.59,6.4845,1.27,24.8753,2.2203
0,20240112,7.44,3.0364,0.6,24.3837,2.1764
0,20240115,7.38,2.033,0.42,24.1871,2.1589
0,20240116,7.33,2.3856,0.5,24.0232,2.1443
0,20240117,7.09,2.0925,0.49,23.2367,2.074
0,20240118,6.85,3.9917,1.24,22.4501,2.0038
0,20240119,6.79,1.9225,0.71,22.2534,1.9863
0,20240122,6.38,2.3203,0.93,20.9097,1.8663
0,20240123,6.42,2.0406,0.8,21.0408,1.878
0,20240124,6.63,2.9762,1.2,21.7291,1.9395
0,20240125,6.82,2.7648,1.04,22.3518,1.9951
0,20240126,6.85,2.2335,0.93,22.4501,2.0038
0,20240129,6.64,1.766,0.72,21.7618,1.9424
0,20240130,6.41,1.4904,0.63,21.008,1.8751
0,20240131,6.13,2.3039,1.03,20.0904,1.7932
0,20240201,6.09,2.2907,1.08,19.9593,1.7815
0,20240202,5.89,2.5485,1.26,19.3038,1.723
0,20240205,5.3,4.0098,1.93,17.3701,1.5504
0,20240206,5.21,3.9085,1.55,17.0752,1.5241
0,20240207,5.0,4.9859,1.66,16.3869,1.4627
0,20240208,5.28,4.6516,1.31,17.3046,1.5446
0,20240219,5.43,3.6467,0.91,17.7962,1.5884
0,20240220,5.45,2.2236,0.52,17.8617,1.5943
0,20240221,5.57,3.192,0.82,18.255,1.6294
0,20240222,5.75,3.1372,0.84,18.845,1.6821
0,20240223,5.88,2.842,0.84,19.271,1.7201
0,20240226,5.94,2.5352,0.84,19.4677,1.7376
0,20240227,6.06,1.9341,0.69,19.861,1.7727
0,20240228,5.78,4.4515,1.63,18.9433,1.6908
0,20240229,5.87,3.3825,1.14,19.2382,1.7172
0,20240301,5.88,2.9845,0.99,19.271,1.7201
0,20240304,5.81,2.4862,0.81,19.0416,1.6996
0,20240305,5.61,2.2294,0.73,18.3861,1.6411
0,20240306,5.7,1.5241,0.49,18.6811,1.6674
0,20240307,5.7,1.6628,0.66,18.6811,1.6674
0,20240308,5.69,1.2014,0.55,18.6483,1.6645
0,20240311,5.78,1.3315,0.73,18.9433,1.6908
0,20240312,5.88,2.5019,1.57,19.271,1.7201
0,20240313,5.9,2.1515,1.31,19.3366,1.7259
0,20240314,5.85,2.0358,1.15,19.1727,1.7113
0,20240315,5.96,2.0659,1.12,19.5332,1.7435
0,20240318,6.04,2.2817,1.13,19.7954,1.7669
0,20240319,6.11,2.932,1.33,20.0248,1.7874
0,20240320,6.14,2.1976,0.96,20.1231,1.7961
0,20240321,6.26,4.1874,1.82,20.5164,1.8312
0,20240322,6.2,5.4116,1.98,20.3198,1.8137
0,20240325,6.82,7.6538,2.25,22.3518,1.9951
0,20240326,6.53,12.1659,2.72,21.4013,1.9102
0,20240327,6.14,7.0732,1.12,20.1231,1.7961
0,20240328,6.75,7.4104,1.02,22.1223,1.9746
0,20240329,7.43,12.5248,1.58,24.351,2.1735
0,20240401,6.95,20.0104,2.14,22.7778,2.0331
0,20240402,6.66,11.9667,1.01,21.8274,1.9483
0,20240403,6.52,6.1146,0.52,21.3685,1.9073
