,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.56,0.6391,0.69,33.0687,2.3525
0,20240103,11.45,0.708,0.78,32.754,2.3301
0,20240104,11.2,0.6902,0.76,32.0389,2.2792
0,20240105,10.89,0.9129,0.98,31.1521,2.2161
0,20240108,10.58,0.7279,0.89,30.2653,2.153
0,20240109,10.54,0.9213,1.25,30.1509,2.1449
0,20240110,10.27,1.1194,1.41,29.3785,2.0899
0,20240111,10.43,1.3218,1.51,29.8362,2.1225
0,20240112,10.38,0.966,0.97,29.6932,2.1123
0,20240115,10.22,0.6718,0.66,29.2355,2.0798
0,20240116,10.58,1.6114,1.61,30.2653,2.153
0,20240117,10.19,0.8679,0.76,29.1497,2.0737
0,20240118,10.15,1.2459,1.15,29.0352,2.0655
0,20240119,9.8,0.7612,0.71,28.034,1.9943
0,20240122,9.45,1.3719,1.33,27.0328,1.9231
0,20240123,9.61,1.0827,0.92,27.4905,1.9556
0,20240124,9.83,1.4278,1.34,28.1199,2.0004
0,20240125,9.91,1.1237,0.95,28.3487,2.0167
0,20240126,9.75,0.784,0.68,27.891,1.9841
0,20240129,9.52,0.7649,0.66,27.2331,1.9373
0,20240130,9.16,1.0393,1.0,26.2032,1.8641
0,20240131,8.91,0.9576,0.93,25.4881,1.8132
0,20240201,8.97,0.8534,0.91,25.6597,1.8254
0,20240202,8.62,1.1198,1.27,24.6585,1.7542
0,20240205,8.15,1.2513,1.32,23.314,1.6585
0,20240206,8.97,1.5949,1.53,25.6597,1.8254
0,20240207,9.87,2.6794,2.32,28.2343,2.0085
0,20240208,9.88,2.0651,1.38,28.2629,2.0106
0,20240219,9.73,1.6259,0.93,27.8338,1.9801
0,20240220,9.84,1.1166,0.61,28.1485,2.0024
0,20240221,9.78,1.165,0.64,27.9768,1.9902
0,20240222,9.79,1.051,0.61,28.0054,1.9923
0,20240223,9.76,1.4748,1.05,27.9196,1.9862
0,20240226,9.79,1.5399,1.2,28.0054,1.9923
0,20240227,9.96,1.5387,1.21,28.4917,2.0269
0,20240228,9.6,2.7663,2.04,27.4619,1.9536
0,20240229,9.99,2.5947,1.55,28.5775,2.033
0,20240301,10.17,1.7988,0.91,29.0925,2.0696
0,20240304,9.94,2.1497,1.05,28.4345,2.0228
0,20240305,9.63,1.6942,0.78,27.5477,1.9597
0,20240306,10.59,3.812,1.73,30.2939,2.1551
0,20240307,10.42,4.8307,2.0,29.8076,2.1205
0,20240308,10.67,3.6911,1.29,30.5228,2.1713
0,20240311,11.28,4.3346,1.34,32.2677,2.2955
0,20240312,11.3,3.3423,0.91,32.325,2.2996
0,20240313,11.21,2.4774,0.62,32.0675,2.2812
0,20240314,10.84,2.3972,0.64,31.0091,2.2059
0,20240315,10.86,3.1696,0.98,31.0663,2.21
0,20240318,11.02,2.1337,0.68,31.524,2.2426
0,20240319,10.81,1.3095,0.48,30.9233,2.1998
0,20240320,10.82,1.1316,0.49,30.9519,2.2019
0,20240321,10.94,1.7589,0.87,31.2951,2.2263
0,20240322,10.81,1.5054,0.79,30.9233,2.1998
0,20240325,10.62,1.1434,0.73,30.3797,2.1612
0,20240326,10.56,1.1605,0.85,30.2081,2.149
0,20240327,10.05,1.1064,0.83,28.7492,2.0452
0,20240328,10.13,0.8608,0.64,28.978,2.0615
0,20240329,10.14,0.7069,0.61,29.0066,2.0635
0,20240401,10.34,1.049,1.05,29.5788,2.1042
0,20240402,10.57,1.9854,2.03,30.2367,2.151
0,20240403,10.3,1.0354,0.91,29.4643,2.0961
