,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,20.78,2.8163,0.83,43.9376,3.0712
0,20240103,20.72,2.5533,0.87,43.8108,3.0623
0,20240104,22.79,7.299,2.61,48.1876,3.3682
0,20240105,21.72,14.2197,3.93,45.9252,3.2101
0,20240108,21.05,7.3913,1.27,44.5085,3.1111
0,20240109,21.82,7.9541,1.16,46.1366,3.2249
0,20240110,22.51,13.8074,1.75,47.5956,3.3268
0,20240111,21.76,10.6407,1.05,46.0097,3.216
0,20240112,20.87,6.8032,0.63,44.1279,3.0845
0,20240115,20.85,4.632,0.5,44.0856,3.0815
0,20240116,21.1,4.7719,0.54,44.6142,3.1185
0,20240117,20.15,3.5618,0.44,42.6055,2.9781
0,20240118,19.44,5.5431,0.91,41.1043,2.8731
0,20240119,19.4,3.1323,0.62,41.0197,2.8672
0,20240122,18.02,3.7604,0.87,38.1018,2.6633
0,20240123,17.67,3.4121,0.82,37.3618,2.6115
0,20240124,18.21,5.0391,1.3,38.5036,2.6913
0,20240125,18.79,5.3664,1.28,39.7299,2.7771
0,20240126,18.72,3.6221,0.87,39.5819,2.7667
0,20240129,17.96,2.7633,0.65,37.975,2.6544
0,20240130,17.36,2.6964,0.67,36.7063,2.5657
0,20240131,16.1,3.4451,0.88,34.0421,2.3795
0,20240201,16.14,3.276,0.92,34.1267,2.3854
0,20240202,16.3,5.7819,1.83,34.465,2.409
0,20240205,14.67,5.4125,1.51,31.0185,2.1681
0,20240206,14.05,6.3086,1.53,29.7076,2.0765
0,20240207,14.66,6.3937,1.32,30.9974,2.1667
0,20240208,15.19,4.9308,0.91,32.118,2.245
0,20240219,15.38,4.2633,0.74,32.5198,2.2731
0,20240220,15.35,2.6887,0.49,32.4563,2.2686
0,20240221,15.61,4.6156,0.94,33.0061,2.3071
0,20240222,16.38,7.3015,1.59,34.6342,2.4209
0,20240223,16.67,6.849,1.44,35.2474,2.4637
0,20240226,17.11,8.1948,1.59,36.1777,2.5288
0,20240227,17.49,5.946,1.0,36.9812,2.5849
0,20240228,16.86,8.672,1.32,35.6491,2.4918
0,20240229,17.27,5.6072,0.76,36.516,2.5524
0,20240301,17.59,5.6307,0.8,37.1926,2.5997
0,20240304,18.25,7.4066,1.09,38.5881,2.6972
0,20240305,17.45,5.5828,0.84,36.8966,2.579
0,20240306,17.43,2.9735,0.45,36.8543,2.5761
0,20240307,17.63,6.4037,1.18,37.2772,2.6056
0,20240308,17.2,4.6988,0.84,36.368,2.5421
0,20240311,17.24,3.0483,0.56,36.4526,2.548
0,20240312,17.39,3.4678,0.76,36.7697,2.5701
0,20240313,17.62,4.3837,1.06,37.2561,2.6041
0,20240314,17.71,6.6263,1.51,37.4464,2.6174
0,20240315,17.73,3.765,0.85,37.4886,2.6204
0,20240318,17.92,3.8201,0.9,37.8904,2.6485
0,20240319,17.97,4.7747,1.08,37.9961,2.6559
0,20240320,18.04,3.2137,0.69,38.1441,2.6662
0,20240321,18.23,5.3667,1.21,38.5458,2.6943
0,20240322,18.14,4.0616,0.97,38.3556,2.681
0,20240325,18.66,7.9405,1.87,39.455,2.7578
0,20240326,17.92,5.4269,1.07,37.8904,2.6485
0,20240327,16.72,4.572,0.88,35.3531,2.4711
0,20240328,17.42,4.4133,0.81,36.8332,2.5746
0,20240329,17.85,4.1981,0.79,37.7424,2.6381
0,20240401,17.96,3.5128,0.66,37.975,2.6544
0,20240402,17.72,2.3014,0.52,37.4675,2.6189
0,20240403,17.6,2.1811,0.57,37.2138,2.6012
