,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,14.14,3.2535,0.71,,1.0396
0,20240103,14.19,2.1401,0.44,,1.0432
0,20240104,14.16,1.4934,0.4,,1.041
0,20240105,13.84,2.1106,0.75,,1.0175
0,20240108,13.68,1.8954,0.79,,1.0057
0,20240109,13.98,2.2243,1.02,,1.0278
0,20240110,14.06,2.6665,1.35,,1.0337
0,20240111,15.47,8.6826,4.18,,1.1373
0,20240112,15.46,24.6282,7.0,,1.1366
0,20240115,14.99,19.9074,2.48,,1.1021
0,20240116,14.59,12.0522,1.04,,1.0726
0,20240117,13.75,10.1412,0.75,,1.0109
0,20240118,13.44,8.5884,0.57,,0.9881
0,20240119,13.11,6.7821,0.45,,0.9638
0,20240122,12.68,6.1397,0.53,,0.9322
0,20240123,12.67,4.2557,0.49,,0.9315
0,20240124,12.71,5.1353,0.72,,0.9344
0,20240125,13.13,7.1845,1.16,,0.9653
0,20240126,13.05,5.7893,0.98,,0.9594
0,20240129,12.43,4.5736,0.8,,0.9138
0,20240130,11.77,3.8205,0.71,,0.8653
0,20240131,11.13,5.6325,1.06,,0.8183
0,20240201,11.05,5.1239,0.95,,0.8124
0,20240202,10.48,4.8432,0.97,,0.7705
0,20240205,9.43,4.7115,0.98,,0.6933
0,20240206,8.58,6.1974,1.28,,0.6308
0,20240207,8.51,6.0589,1.14,,0.6256
0,20240208,9.01,4.417,0.82,,0.6624
0,20240219,9.4,3.5362,0.68,,0.6911
0,20240220,9.6,2.4618,0.5,,0.7058
0,20240221,9.9,2.7635,0.62,,0.7278
0,20240222,10.25,2.6444,0.69,,0.7536
0,20240223,10.59,2.2098,0.7,,0.7786
0,20240226,10.75,2.7672,1.02,,0.7903
0,20240227,10.97,1.5818,0.62,,0.8065
0,20240228,9.87,4.73,1.98,,0.7256
0,20240229,10.13,3.3614,1.21,,0.7448
0,20240301,10.11,2.1698,0.74,,0.7433
0,20240304,10.05,2.4761,0.85,,0.7389
0,20240305,9.68,2.1088,0.74,,0.7117
0,20240306,9.89,2.8702,0.97,,0.7271
0,20240307,10.44,14.8035,5.7,,0.7675
0,20240308,9.83,12.9814,2.66,,0.7227
0,20240311,9.92,5.5366,0.79,,0.7293
0,20240312,10.31,7.935,1.04,,0.758
0,20240313,10.23,4.9797,0.56,,0.7521
0,20240314,10.81,16.5825,1.79,,0.7947
0,20240315,11.23,13.4822,1.4,,0.8256
0,20240318,12.0,12.1679,1.25,,0.8822
0,20240319,13.2,13.6181,1.23,,0.9705
0,20240320,12.99,13.6934,1.13,,0.955
0,20240321,12.51,9.3326,0.67,,0.9197
0,20240322,11.83,9.1327,0.73,,0.8697
0,20240325,11.51,4.8923,0.42,,0.8462
0,20240326,11.57,3.9533,0.39,,0.8506
0,20240327,11.15,3.1047,0.38,,0.8197
0,20240328,11.49,4.9001,0.81,,0.8447
0,20240329,11.73,4.8346,0.93,,0.8624
0,20240401,12.28,5.8322,1.34,,0.9028
0,20240402,11.88,4.6553,1.03,,0.8734
0,20240403,12.2,6.1477,1.32,,0.8969
