,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,29.0,6.9771,0.58,41.2939,2.6148
0,20240103,30.72,24.9189,2.1,43.7431,2.7699
0,20240104,33.45,28.2912,1.83,47.6304,3.0161
0,20240105,31.41,18.2517,1.02,44.7256,2.8321
0,20240108,28.31,13.4087,0.74,40.3114,2.5526
0,20240109,26.23,14.4033,0.78,37.3496,2.3651
0,20240110,26.49,13.0549,0.66,37.7199,2.3885
0,20240111,26.68,8.4898,0.49,37.9904,2.4056
0,20240112,25.85,6.7381,0.5,36.8086,2.3308
0,20240115,26.03,4.3052,0.38,37.0649,2.347
0,20240116,25.58,5.0673,0.54,36.4241,2.3065
0,20240117,24.86,3.3031,0.44,35.3989,2.2415
0,20240118,24.85,4.626,0.83,35.3846,2.2406
0,20240119,24.39,3.2716,0.68,34.7296,2.1992
0,20240122,22.86,4.5791,1.11,32.551,2.0612
0,20240123,22.87,3.5723,0.86,32.5652,2.0621
0,20240124,22.85,4.6937,1.21,32.5368,2.0603
0,20240125,23.91,5.4719,1.32,34.0461,2.1559
0,20240126,23.53,3.6094,0.84,33.505,2.1216
0,20240129,22.73,3.3723,0.77,32.3659,2.0495
0,20240130,21.75,3.1276,0.75,30.9704,1.9611
0,20240131,20.36,3.9157,0.97,28.9912,1.8358
0,20240201,20.22,3.6828,0.94,28.7918,1.8232
0,20240202,19.21,4.0998,1.16,27.3537,1.7321
0,20240205,17.29,3.9301,1.08,24.6197,1.559
0,20240206,16.25,9.0611,2.42,23.1388,1.4652
0,20240207,15.0,10.2417,2.07,21.3589,1.3525
0,20240208,16.5,9.8015,1.58,23.4948,1.4877
0,20240219,18.15,10.9129,1.47,25.8443,1.6365
0,20240220,19.97,11.0107,1.25,28.4359,1.8006
0,20240221,20.5,17.877,1.75,29.1905,1.8484
0,20240222,20.97,15.3559,1.28,29.8598,1.8908
0,20240223,21.4,14.546,1.12,30.4721,1.9296
0,20240226,22.26,15.8689,1.14,31.6966,2.0071
0,20240227,23.24,15.5356,1.04,33.0921,2.0955
0,20240228,20.92,15.4424,0.98,29.7886,1.8863
0,20240229,21.74,11.3741,0.74,30.9562,1.9602
0,20240301,22.45,12.8575,0.88,31.9672,2.0242
0,20240304,24.01,19.0714,1.34,34.1885,2.1649
0,20240305,26.41,6.5508,0.44,37.6059,2.3813
0,20240306,29.05,35.8719,2.75,41.3651,2.6193
0,20240307,31.96,38.5041,2.25,45.5088,2.8817
0,20240308,29.08,37.5199,1.66,41.4078,2.622
0,20240311,26.54,24.5565,0.89,37.7911,2.393
0,20240312,28.03,24.2413,0.85,39.9127,2.5274
0,20240313,27.22,15.8123,0.49,38.7593,2.4543
0,20240314,25.83,14.9217,0.53,36.7801,2.329
0,20240315,26.18,9.7389,0.42,37.2784,2.3606
0,20240318,27.79,19.1745,1.07,39.571,2.5057
0,20240319,27.01,12.664,0.75,38.4603,2.4354
0,20240320,28.6,22.6211,1.56,40.7244,2.5788
0,20240321,28.39,19.5221,1.23,40.4253,2.5598
0,20240322,29.46,24.5842,1.47,41.9489,2.6563
0,20240325,29.93,25.1657,1.28,42.6182,2.6987
0,20240326,27.86,16.1234,0.77,39.6706,2.512
0,20240327,25.07,11.9146,0.55,35.6979,2.2605
0,20240328,25.62,8.5635,0.44,36.481,2.3101
0,20240329,26.37,9.0439,0.52,37.549,2.3777
0,20240401,26.63,7.3365,0.52,37.9192,2.4011
0,20240402,25.82,6.2751,0.59,36.7658,2.3281
0,20240403,26.18,9.9849,1.16,37.2784,2.3606
