,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.44,12.0352,2.23,74.3536,1.5579
0,20240103,3.38,6.4489,0.83,73.0567,1.5307
0,20240104,3.53,9.3911,1.04,76.2989,1.5986
0,20240105,3.42,5.1121,0.47,73.9213,1.5488
0,20240108,3.34,3.5595,0.4,72.1921,1.5126
0,20240109,3.37,2.647,0.36,72.8406,1.5262
0,20240110,3.32,2.5525,0.47,71.7598,1.5035
0,20240111,3.39,4.2208,0.91,73.2728,1.5352
0,20240112,3.3,3.6581,1.01,71.3276,1.4945
0,20240115,3.26,2.1865,0.66,70.463,1.4763
0,20240116,3.22,3.7115,1.22,69.5984,1.4582
0,20240117,3.11,2.1609,0.66,67.2208,1.4084
0,20240118,3.16,3.221,1.01,68.3015,1.4311
0,20240119,3.09,2.0034,0.67,66.7885,1.3994
0,20240122,2.9,2.9083,1.09,62.6818,1.3133
0,20240123,2.92,2.475,0.88,63.1141,1.3224
0,20240124,3.04,2.8615,1.12,65.7078,1.3767
0,20240125,3.18,3.1651,1.17,68.7338,1.4401
0,20240126,3.17,3.4511,1.29,68.5177,1.4356
0,20240129,3.0,2.7188,0.91,64.8432,1.3586
0,20240130,2.89,2.023,0.69,62.4656,1.3088
0,20240131,2.65,3.6689,1.29,57.2782,1.2001
0,20240201,2.62,2.7216,0.91,56.6298,1.1865
0,20240202,2.44,3.3415,1.15,52.7392,1.105
0,20240205,2.2,2.4378,0.84,47.5517,0.9963
0,20240206,2.0,5.5156,1.94,43.2288,0.9057
0,20240207,1.8,4.0383,1.14,38.9059,0.8152
0,20240208,1.89,7.9861,2.21,40.8512,0.8559
0,20240219,2.06,6.2344,1.34,44.5257,0.9329
0,20240220,2.17,4.5187,0.86,46.9033,0.9827
0,20240221,2.39,6.1885,1.09,51.6584,1.0823
0,20240222,2.53,7.394,1.28,54.6845,1.1457
0,20240223,2.78,6.4636,1.0,60.0881,1.259
0,20240226,2.91,8.6289,1.4,62.8979,1.3178
0,20240227,2.93,7.3711,1.11,63.3302,1.3269
0,20240228,2.64,9.9742,1.38,57.062,1.1956
0,20240229,2.87,8.5857,1.08,62.0334,1.2997
0,20240301,2.82,6.3695,0.78,60.9526,1.2771
0,20240304,2.74,6.3419,0.77,59.2235,1.2409
0,20240305,2.65,4.1068,0.53,57.2782,1.2001
0,20240306,2.76,4.8649,0.69,59.6558,1.2499
0,20240307,2.78,6.3139,1.04,60.0881,1.259
0,20240308,2.78,3.0677,0.55,60.0881,1.259
0,20240311,2.87,4.3475,0.88,62.0334,1.2997
0,20240312,2.98,5.0726,1.12,64.4109,1.3495
0,20240313,2.91,4.0127,0.85,62.8979,1.3178
0,20240314,2.85,3.3804,0.74,61.6011,1.2907
0,20240315,2.9,2.5571,0.64,62.6818,1.3133
0,20240318,2.93,3.6543,0.94,63.3302,1.3269
0,20240319,2.97,4.1598,1.11,64.1948,1.345
0,20240320,3.27,5.7491,1.62,70.6791,1.4809
0,20240321,3.6,16.765,4.3,77.8119,1.6303
0,20240322,3.57,19.4928,2.96,77.1634,1.6167
0,20240325,3.52,12.3959,1.24,76.0827,1.5941
0,20240326,3.29,11.5775,0.99,71.1114,1.4899
0,20240327,2.96,2.5149,0.19,63.9787,1.3405
0,20240328,2.88,15.1954,1.21,62.2495,1.3043
0,20240329,2.67,11.1769,0.91,57.7105,1.2092
0,20240401,2.94,4.3596,0.41,63.5464,1.3314
0,20240402,2.98,13.5827,1.52,64.4109,1.3495
0,20240403,2.85,7.8858,0.84,61.6011,1.2907
