,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.88,21.657,1.69,278.8544,4.7158
0,20240103,9.5,15.7373,1.16,268.1293,4.5344
0,20240104,9.81,13.6447,1.02,276.8787,4.6824
0,20240105,9.45,8.0933,0.69,266.7181,4.5106
0,20240108,9.41,8.2174,0.67,265.5891,4.4915
0,20240109,9.25,5.8799,0.44,261.0732,4.4151
0,20240110,9.27,5.6489,0.55,261.6377,4.4246
0,20240111,9.24,5.1833,0.62,260.791,4.4103
0,20240112,9.01,5.2646,0.8,254.2994,4.3005
0,20240115,9.08,3.8114,0.63,256.2751,4.3339
0,20240116,9.0,3.5573,0.69,254.0172,4.2958
0,20240117,8.77,3.1056,0.66,247.5256,4.186
0,20240118,8.67,5.0582,1.21,244.7032,4.1383
0,20240119,8.66,2.951,0.71,244.421,4.1335
0,20240122,8.14,4.0651,1.1,229.7444,3.8853
0,20240123,8.28,2.9252,0.78,233.6958,3.9521
0,20240124,8.23,2.7048,0.75,232.2846,3.9282
0,20240125,8.6,4.1705,1.18,242.7275,4.1048
0,20240126,9.46,3.9827,1.18,267.0003,4.5153
0,20240129,9.14,15.1956,4.26,257.9686,4.3626
0,20240130,8.92,7.4956,1.29,251.7593,4.2576
0,20240131,8.34,6.5456,0.98,235.3893,3.9807
0,20240201,9.17,3.1948,0.43,258.8153,4.3769
0,20240202,9.27,10.7851,1.48,261.6377,4.4246
0,20240205,8.34,6.6654,0.77,235.3893,3.9807
0,20240206,8.32,5.7705,0.83,234.8248,3.9712
0,20240207,8.1,4.064,0.62,228.6155,3.8662
0,20240208,8.51,3.6883,0.61,240.1874,4.0619
0,20240219,8.76,4.75,0.77,247.2434,4.1812
0,20240220,8.83,3.687,0.74,249.2191,4.2146
0,20240221,8.91,5.1212,1.17,251.477,4.2528
0,20240222,9.53,7.1537,1.68,268.976,4.5487
0,20240223,9.41,4.9302,1.01,265.5891,4.4915
0,20240226,9.42,4.6056,0.9,265.8713,4.4962
0,20240227,9.67,4.8462,0.95,272.9274,4.6156
0,20240228,8.92,5.8586,1.1,251.7593,4.2576
0,20240229,9.34,5.0181,0.92,263.6134,4.458
0,20240301,9.3,3.2667,0.65,262.4844,4.439
0,20240304,9.81,7.8892,1.67,276.8787,4.6824
0,20240305,9.31,5.7775,1.07,262.7667,4.4437
0,20240306,9.32,3.1254,0.56,263.0489,4.4485
0,20240307,8.98,3.8848,0.77,253.4527,4.2862
0,20240308,9.5,6.9717,1.46,268.1293,4.5344
0,20240311,9.56,4.5431,0.82,269.8227,4.5631
0,20240312,9.79,6.0573,1.25,276.3143,4.6728
0,20240313,9.7,3.9638,0.81,273.7741,4.6299
0,20240314,9.81,4.385,0.86,276.8787,4.6824
0,20240315,9.92,4.5445,0.88,279.9834,4.7349
0,20240318,9.74,5.0843,1.08,274.9031,4.649
0,20240319,9.6,2.9871,0.62,270.9517,4.5821
0,20240320,9.55,3.7353,0.89,269.5405,4.5583
0,20240321,9.8,5.0635,1.22,276.5965,4.6776
0,20240322,9.35,4.6118,1.08,263.8956,4.4628
0,20240325,9.17,2.6213,0.61,258.8153,4.3769
0,20240326,9.17,2.0892,0.55,258.8153,4.3769
0,20240327,9.15,2.1576,0.6,258.2508,4.3674
0,20240328,9.16,2.5228,0.76,258.5331,4.3721
0,20240329,9.26,2.4834,0.89,261.3555,4.4199
0,20240401,9.23,2.3903,1.01,260.5087,4.4055
0,20240402,9.08,2.4325,1.04,256.2751,4.3339
0,20240403,9.99,8.7111,3.63,281.9591,4.7683
