,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,7.0,20.9836,1.21,11.3533,2.8266
0,20240103,6.67,13.0033,0.64,10.818,2.6934
0,20240104,6.71,10.5665,0.58,10.8829,2.7095
0,20240105,6.34,13.2129,0.76,10.2828,2.5601
0,20240108,6.38,8.3999,0.5,10.3477,2.5763
0,20240109,6.52,9.4983,0.72,10.5748,2.6328
0,20240110,6.2,7.8471,0.72,10.0558,2.5036
0,20240111,6.46,7.7969,0.79,10.4774,2.6086
0,20240112,6.17,6.6918,0.72,10.0071,2.4915
0,20240115,6.07,4.4436,0.55,9.8449,2.4511
0,20240116,5.95,4.7094,0.65,9.6503,2.4026
0,20240117,5.67,4.2236,0.67,9.1961,2.2896
0,20240118,5.5,4.7308,0.85,8.9204,2.2209
0,20240119,5.29,2.9951,0.6,8.5798,2.1361
0,20240122,4.97,3.1916,0.76,8.0608,2.0069
0,20240123,4.87,3.26,0.82,7.8986,1.9665
0,20240124,5.09,5.1876,1.41,8.2555,2.0554
0,20240125,5.24,3.9607,1.02,8.4987,2.1159
0,20240126,5.17,3.2219,0.87,8.3852,2.0877
0,20240129,4.98,2.9007,0.77,8.077,2.0109
0,20240130,4.78,2.0629,0.56,7.7527,1.9302
0,20240131,4.43,3.1505,0.91,7.185,1.7888
0,20240201,4.44,2.7432,0.9,7.2012,1.7929
0,20240202,4.19,2.9247,1.04,6.7957,1.6919
0,20240205,3.77,3.2986,1.2,6.1145,1.5223
0,20240206,3.65,4.8683,1.72,5.9199,1.4739
0,20240207,3.47,4.7694,1.4,5.628,1.4012
0,20240208,3.8,5.7429,1.54,6.1632,1.5345
0,20240219,3.96,4.7783,1.11,6.4227,1.5991
0,20240220,4.04,3.1787,0.68,6.5525,1.6314
0,20240221,4.15,4.4257,0.95,6.7309,1.6758
0,20240222,4.25,3.2406,0.71,6.8931,1.7162
0,20240223,4.68,5.7089,1.34,7.5905,1.8898
0,20240226,5.15,10.9744,2.57,8.3528,2.0796
0,20240227,5.33,18.834,3.42,8.6447,2.1523
0,20240228,4.8,14.15,1.64,7.7851,1.9383
0,20240229,4.93,8.5498,0.81,7.9959,1.9908
0,20240301,4.84,5.8637,0.5,7.85,1.9544
0,20240304,4.89,5.5325,0.47,7.9311,1.9746
0,20240305,4.73,3.8102,0.36,7.6716,1.91
0,20240306,4.9,5.0665,0.67,7.9473,1.9786
0,20240307,4.92,6.7504,1.17,7.9797,1.9867
0,20240308,4.86,3.7478,0.69,7.8824,1.9625
0,20240311,4.87,3.1937,0.64,7.8986,1.9665
0,20240312,5.07,6.6456,1.47,8.223,2.0473
0,20240313,5.0,4.0742,0.8,8.1095,2.019
0,20240314,5.08,6.5003,1.33,8.2392,2.0513
0,20240315,5.17,7.1544,1.48,8.3852,2.0877
0,20240318,5.27,6.7878,1.23,8.5474,2.128
0,20240319,5.18,4.4091,0.71,8.4014,2.0917
0,20240320,5.19,3.3495,0.58,8.4176,2.0957
0,20240321,5.22,4.1461,0.74,8.4663,2.1079
0,20240322,5.13,3.0986,0.6,8.3203,2.0715
0,20240325,4.98,3.1924,0.73,8.077,2.0109
0,20240326,5.0,2.409,0.66,8.1095,2.019
0,20240327,4.77,2.2541,0.7,7.7364,1.9261
0,20240328,4.92,2.2335,0.74,7.9797,1.9867
0,20240329,5.02,1.9535,0.74,8.1419,2.0271
0,20240401,5.1,2.1644,0.9,8.2717,2.0594
0,20240402,5.11,2.018,0.92,8.2879,2.0634
0,20240403,4.99,1.8117,0.85,8.0933,2.015
