,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,15.6,1.4718,1.89,11.6113,1.8224
0,20240103,15.72,0.8899,0.94,11.7006,1.8364
0,20240104,15.84,0.6983,0.68,11.7899,1.8504
0,20240105,15.52,0.6921,0.66,11.5517,1.8131
0,20240108,15.05,0.6241,0.69,11.2019,1.7582
0,20240109,15.19,0.54,0.62,11.3061,1.7745
0,20240110,15.09,0.5022,0.73,13.478,1.5759
0,20240111,15.22,0.4846,0.79,13.5941,1.5895
0,20240112,15.24,0.3776,0.66,13.612,1.5916
0,20240115,15.03,0.6355,1.26,13.4244,1.5697
0,20240116,15.01,0.6452,1.27,13.4066,1.5676
0,20240117,14.71,0.5976,1.13,13.1386,1.5362
0,20240118,14.52,1.1217,2.05,12.9689,1.5164
0,20240119,14.47,0.5956,0.88,12.9243,1.5112
0,20240122,13.51,0.9487,1.32,12.0668,1.4109
0,20240123,13.67,0.8367,1.07,12.2097,1.4276
0,20240124,13.59,0.7582,0.93,12.1383,1.4193
0,20240125,14.26,0.8618,1.02,12.7367,1.4892
0,20240126,14.27,0.5613,0.71,12.7456,1.4903
0,20240129,13.85,0.5671,0.72,12.3705,1.4464
0,20240130,13.38,0.6077,0.85,11.9507,1.3973
0,20240131,12.85,0.8277,1.23,11.4773,1.342
0,20240201,12.48,1.1661,1.7,11.1468,1.3034
0,20240202,12.0,1.1327,1.52,10.7181,1.2532
0,20240205,11.58,1.2244,1.42,10.343,1.2094
0,20240206,11.8,1.2141,1.22,10.5395,1.2323
0,20240207,11.75,1.1617,1.04,10.4948,1.2271
0,20240208,12.87,1.1509,0.98,11.4897,1.3439
0,20240219,13.98,1.8179,1.54,12.4806,1.4598
0,20240220,13.57,0.9222,0.7,12.1146,1.417
0,20240221,13.77,0.7823,0.62,12.2931,1.4379
0,20240222,13.78,0.4416,0.38,12.3021,1.4389
0,20240223,13.84,0.5231,0.51,12.3556,1.4452
0,20240226,13.86,0.5665,0.63,12.3735,1.4473
0,20240227,14.05,0.7614,1.18,12.5431,1.4671
0,20240228,13.42,1.174,1.91,11.9807,1.4014
0,20240229,13.59,0.6191,0.89,12.1324,1.4191
0,20240301,13.69,0.6111,0.84,12.2217,1.4295
0,20240304,13.54,0.5651,0.76,12.0878,1.4139
0,20240305,13.25,0.5241,0.7,11.8289,1.3836
0,20240306,13.22,0.8824,1.26,11.8021,1.3805
0,20240307,13.18,0.8027,1.25,11.7664,1.3763
0,20240308,13.14,0.4617,0.68,11.7307,1.3721
0,20240311,13.23,0.5174,0.8,11.8111,1.3815
0,20240312,13.31,1.0027,1.57,11.8825,1.3899
0,20240313,13.39,0.8555,1.17,11.9539,1.3982
0,20240314,13.32,0.6442,0.88,11.8914,1.3909
0,20240315,13.46,0.5779,0.83,12.0164,1.4055
0,20240318,13.59,0.7889,1.1,12.1324,1.4191
0,20240319,13.57,0.544,0.7,12.1146,1.417
0,20240320,13.86,0.7849,1.15,12.3735,1.4473
0,20240321,13.9,0.6024,0.9,12.4092,1.4515
0,20240322,13.69,0.5665,0.86,12.2217,1.4295
0,20240325,13.43,0.5511,0.84,11.9896,1.4024
0,20240326,13.52,0.6153,1.01,12.07,1.4118
0,20240327,13.26,0.4261,0.68,11.8378,1.3846
0,20240328,13.2,0.4933,0.89,11.7843,1.3784
0,20240329,13.65,0.7336,1.38,12.186,1.4254
0,20240401,13.95,0.9778,1.73,12.4538,1.4567
0,20240402,14.25,1.1562,1.78,12.7217,1.488
0,20240403,14.3,0.864,1.14,12.7663,1.4932
