,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,56.6,0.3882,0.92,28.4238,4.0372
0,20240103,55.85,0.2404,0.55,28.0472,3.9837
0,20240104,55.56,0.3163,0.77,27.9015,3.963
0,20240105,55.31,0.3116,0.81,27.776,3.9452
0,20240108,54.15,0.2986,0.83,27.1934,3.8625
0,20240109,54.63,0.4003,1.29,27.4345,3.8967
0,20240110,55.9,0.5224,1.67,28.0723,3.9873
0,20240111,55.64,0.509,1.38,27.9417,3.9687
0,20240112,54.9,0.2305,0.56,27.5701,3.916
0,20240115,52.45,1.0716,2.73,26.3397,3.7412
0,20240116,51.89,0.7099,1.3,26.0585,3.7013
0,20240117,50.55,0.3388,0.56,25.3856,3.6057
0,20240118,50.53,0.5508,0.96,25.3755,3.6042
0,20240119,49.68,0.3474,0.6,24.9487,3.5436
0,20240122,47.12,0.7576,1.26,23.6631,3.361
0,20240123,47.01,0.5935,1.1,23.6078,3.3532
0,20240124,46.6,0.5835,1.13,23.4019,3.3239
0,20240125,47.74,0.4742,0.84,23.9744,3.4052
0,20240126,47.18,0.3889,0.71,23.6932,3.3653
0,20240129,46.13,0.4547,0.81,23.1659,3.2904
0,20240130,48.07,1.1997,2.4,24.1401,3.4288
0,20240131,47.07,0.5661,0.91,23.638,3.3574
0,20240201,47.71,0.4957,0.8,23.9594,3.4031
0,20240202,49.84,0.9641,1.55,25.029,3.555
0,20240205,49.58,0.8504,1.16,24.8985,3.5365
0,20240206,54.53,1.1385,1.4,27.3843,3.8896
0,20240207,56.92,1.2108,1.51,28.5845,4.06
0,20240208,54.4,1.3725,1.47,27.319,3.8803
0,20240219,55.64,1.0975,0.99,27.9417,3.9687
0,20240220,57.03,0.7503,0.66,28.6397,4.0679
0,20240221,57.04,0.7337,0.66,28.6448,4.0686
0,20240222,58.45,0.5968,0.58,29.3529,4.1692
0,20240223,58.5,0.4221,0.46,29.378,4.1727
0,20240226,60.0,0.4708,0.65,30.1312,4.2797
0,20240227,59.74,0.427,0.72,30.0007,4.2612
0,20240228,62.5,0.9871,1.86,31.3867,4.4581
0,20240229,66.36,0.9708,1.67,33.3252,4.7334
0,20240301,64.1,0.9639,1.47,32.1902,4.5722
0,20240304,63.11,0.8702,1.14,31.693,4.5016
0,20240305,63.77,0.4472,0.53,32.0245,4.5486
0,20240306,63.19,0.3473,0.41,31.7332,4.5073
0,20240307,61.19,0.5191,0.72,30.7288,4.3646
0,20240308,61.35,0.4885,0.78,30.8092,4.376
0,20240311,63.5,0.4868,0.91,31.8889,4.5294
0,20240312,62.7,0.3979,0.87,31.4872,4.4723
0,20240313,62.36,0.2559,0.57,31.3164,4.4481
0,20240314,63.25,0.3808,0.89,31.7634,4.5115
0,20240315,61.93,0.4945,1.23,31.1005,4.4174
0,20240318,62.56,0.3547,0.88,31.4168,4.4623
0,20240319,60.97,0.3575,0.95,30.6184,4.3489
0,20240320,60.88,0.2632,0.71,30.5732,4.3425
0,20240321,59.95,0.4119,1.11,30.1061,4.2762
0,20240322,60.53,0.4453,1.18,30.3974,4.3175
0,20240325,59.98,0.3497,0.95,30.1212,4.2783
0,20240326,59.69,0.2316,0.63,29.9756,4.2576
0,20240327,58.7,0.2299,0.68,29.4784,4.187
0,20240328,56.99,1.352,4.05,28.6197,4.065
0,20240329,56.94,0.8734,1.67,28.5946,4.0615
0,20240401,57.84,0.7217,1.19,29.0465,4.1257
0,20240402,56.4,0.7978,1.17,28.3234,4.0229
0,20240403,54.84,0.8666,1.09,27.54,3.9117
